Jaar-Maand,Inflatie
2012-12,..........2.23%
2013-01,..........1.46%
2013-02,..........1.19%
2013-03,..........1.11%
2013-04,..........1.00%
2013-05,..........1.18%
2013-06,..........1.59%
2013-07,..........1.51%
2013-08,..........1.01%
2013-09,..........0.90%
2013-10,..........0.63%
2013-11,..........0.81%
2013-12,..........0.97%
2014-01,..........1.14%
2014-02,..........0.97%
2014-03,..........0.89%
2014-04,..........0.62%
2014-05,..........0.36%
2014-06,..........0.27%
2014-07,..........0.34%
2014-08,..........0.02%
2014-09,..........-0.12%
2014-10,..........0.09%
2014-11,..........-0.11%
2014-12,..........-0.38%
2015-01,..........-0.65%
2015-02,..........-0.40%
2015-03,..........-0.40%
2015-04,..........0.29%
2015-05,..........0.56%
2015-06,..........0.63%
2015-07,..........0.46%
2015-08,..........0.91%
2015-09,..........1.06%
2015-10,..........1.28%
2015-11,..........1.52%
2015-12,..........1.50%
2016-01,..........1.74%
2016-02,..........1.39%
2016-03,..........2.24%
2016-04,..........2.04%
2016-05,..........2.20%
2016-06,..........2.16%
2016-07,..........2.28%
2016-08,..........2.16%
2016-09,..........1.87%
2016-10,..........1.81%
2016-11,..........1.77%
2016-12,..........2.03%
2017-01,..........2.65%
2017-02,..........2.97%
2017-03,..........2.28%
2017-04,..........2.28%
2017-05,..........1.86%
2017-06,..........1.60%
2017-07,..........1.78%
2017-08,..........1.90%
2017-09,..........2.01%
2017-10,..........2.00%
2017-11,..........2.07%
2017-12,..........2.13%
2018-01,..........1.71%
2018-02,..........1.48%
2018-03,..........1.39%
2018-04,..........1.52%
2018-05,..........1.82%
2018-06,..........2.08%
2018-07,..........2.17%
2018-08,..........2.24%
2018-09,..........2.35%
2018-10,..........2.75%
2018-11,..........2.78%
2018-12,..........2.34%
2019-01,..........1.99%
2019-02,..........2.17%
2019-03,..........2.33%
2019-04,..........2.08%
2019-05,..........1.89%
2019-06,..........1.73%
2019-07,..........1.42%
2019-08,..........1.26%
2019-09,..........0.80%
2019-10,..........0.48%
2019-11,..........0.39%
2019-12,..........0.76%
2020-01,..........1.41%
2020-02,..........1.10%
2020-03,..........0.62%
2020-04,..........0.57%
2020-05,..........0.48%
2020-06,..........0.60%
2020-07,..........0.73%
2020-08,..........0.82%
2020-09,..........0.90%
2020-10,..........0.74%
2020-11,..........0.51%
2020-12,..........0.41%
2021-01,..........0.26%
2021-02,..........0.46%
2021-03,..........0.89%
2021-04,..........1.23%
2021-05,..........1.46%
2021-06,..........1.63%
2021-07,..........2.27%
2021-08,..........2.73%
2021-09,..........2.86%
2021-10,..........4.16%
2021-11,..........5.64%
2021-12,..........5.71%
2022-01,..........7.59%
2022-02,..........8.04%
2022-03,..........8.31%
2022-04,..........8.31%
2022-05,..........8.97%
2022-06,..........9.65%
2022-07,..........9.62%
2022-08,..........9.94%
2022-09,..........11.3%
2022-10,..........12.3%
2022-11,..........10.6%
