Date,Australische dollar
2015-11-06,1.5204
2015-11-09,1.5263
2015-11-10,1.5189
2015-11-11,1.5183
2015-11-12,1.5073
2015-11-13,1.5077
2015-11-16,1.511
2015-11-17,1.496
2015-11-18,1.5028
2015-11-19,1.4925
2015-11-20,1.4825
2015-11-23,1.4793
2015-11-24,1.4763
2015-11-25,1.4601
2015-11-26,1.4685
2015-11-27,1.4689
2015-11-30,1.4671
2015-12-01,1.454
2015-12-02,1.4489
2015-12-03,1.455
2015-12-04,1.4899
2015-12-07,1.4849
2015-12-08,1.5099
2015-12-09,1.5182
2015-12-10,1.5
2015-12-11,1.518
2015-12-14,1.5231
2015-12-15,1.52
2015-12-16,1.5186
2015-12-17,1.5097
2015-12-18,1.5206
2015-12-21,1.5168
2015-12-22,1.5109
2015-12-23,1.5115
2015-12-24,1.5074
2015-12-28,1.5089
2015-12-29,1.5056
2015-12-30,1.499
2015-12-31,1.4897
2016-01-04,1.5153
2016-01-05,1.4982
2016-01-06,1.5187
2016-01-07,1.555
2016-01-08,1.5495
2016-01-11,1.5516
2016-01-12,1.546
2016-01-13,1.5413
2016-01-14,1.5695
2016-01-15,1.5895
2016-01-18,1.581
2016-01-19,1.5673
2016-01-20,1.5916
2016-01-21,1.5755
2016-01-22,1.538
2016-01-25,1.5496
2016-01-26,1.555
2016-01-27,1.5461
2016-01-28,1.5419
2016-01-29,1.5388
2016-02-01,1.5377
2016-02-02,1.5475
2016-02-03,1.5484
2016-02-04,1.5546
2016-02-05,1.5583
2016-02-08,1.5726
2016-02-09,1.6083
2016-02-10,1.5848
2016-02-11,1.6018
2016-02-12,1.5901
2016-02-15,1.5624
2016-02-16,1.5605
2016-02-17,1.5629
2016-02-18,1.5496
2016-02-19,1.5605
2016-02-22,1.5322
2016-02-23,1.5202
2016-02-24,1.5319
2016-02-25,1.5292
2016-02-26,1.5275
2016-02-29,1.526
2016-03-01,1.5196
2016-03-02,1.501
2016-03-03,1.4852
2016-03-04,1.4859
2016-03-07,1.4776
2016-03-08,1.4794
2016-03-09,1.465
2016-03-10,1.4522
2016-03-11,1.4766
2016-03-14,1.4755
2016-03-15,1.4877
2016-03-16,1.4911
2016-03-17,1.4828
2016-03-18,1.4804
2016-03-21,1.4819
2016-03-22,1.4751
2016-03-23,1.478
2016-03-24,1.4858
2016-03-29,1.4901
2016-03-30,1.4766
2016-03-31,1.4807
2016-04-01,1.4884
2016-04-04,1.4917
2016-04-05,1.5085
2016-04-06,1.5029
2016-04-07,1.5092
2016-04-08,1.5091
2016-04-11,1.506
2016-04-12,1.4882
2016-04-13,1.4768
2016-04-14,1.461
2016-04-15,1.4648
2016-04-18,1.4685
2016-04-19,1.4547
2016-04-20,1.4556
2016-04-21,1.4496
2016-04-22,1.457
2016-04-25,1.4587
2016-04-26,1.46
2016-04-27,1.4885
2016-04-28,1.4906
2016-04-29,1.4948
2016-05-02,1.5025
2016-05-03,1.5303
2016-05-04,1.5379
2016-05-05,1.5266
2016-05-06,1.5501
2016-05-09,1.5544
2016-05-10,1.5486
2016-05-11,1.5474
2016-05-12,1.5541
2016-05-13,1.5579
2016-05-16,1.5526
2016-05-17,1.5457
2016-05-18,1.5521
2016-05-19,1.5563
2016-05-20,1.5519
2016-05-23,1.5542
2016-05-24,1.5597
2016-05-25,1.5475
2016-05-26,1.5481
2016-05-27,1.5483
2016-05-30,1.5504
2016-05-31,1.5366
2016-06-01,1.537
2016-06-02,1.5516
2016-06-03,1.5397
2016-06-06,1.5417
2016-06-07,1.526
2016-06-08,1.5228
2016-06-09,1.525
2016-06-10,1.5274
2016-06-13,1.5228
2016-06-14,1.5277
2016-06-15,1.5188
2016-06-16,1.5212
2016-06-17,1.5234
2016-06-20,1.5188
2016-06-21,1.5073
2016-06-22,1.5033
2016-06-23,1.506
2016-06-24,1.491
2016-06-27,1.4857
2016-06-28,1.4984
2016-06-29,1.4911
2016-06-30,1.4929
2016-07-01,1.4884
2016-07-04,1.4792
2016-07-05,1.4902
2016-07-06,1.4812
2016-07-07,1.4737
2016-07-08,1.4731
2016-07-11,1.4617
2016-07-12,1.4532
2016-07-13,1.4517
2016-07-14,1.4588
2016-07-15,1.4538
2016-07-18,1.4557
2016-07-19,1.4727
2016-07-20,1.4712
2016-07-21,1.471
2016-07-22,1.4717
2016-07-25,1.4666
2016-07-26,1.4599
2016-07-27,1.4715
2016-07-28,1.4735
2016-07-29,1.4782
2016-08-01,1.4751
2016-08-02,1.4717
2016-08-03,1.475
