Date,Braziliaanse real
2015-11-06,4.1206
2015-11-09,4.0896
2015-11-10,4.0627
2015-11-11,4.0013
2015-11-12,4.0793
2015-11-13,4.0847
2015-11-16,4.1144
2015-11-17,4.0684
2015-11-18,4.0563
2015-11-19,4.0154
2015-11-20,3.966
2015-11-23,3.9654
2015-11-24,3.955
2015-11-25,3.989
2015-11-26,3.9935
2015-11-27,3.9359
2015-11-30,4.0709
2015-12-01,4.1255
2015-12-02,4.0884
2015-12-03,4.0476
2015-12-04,4.118
2015-12-07,4.0425
2015-12-08,4.1297
2015-12-09,4.1247
2015-12-10,4.1177
2015-12-11,4.219
2015-12-14,4.2883
2015-12-15,4.2609
2015-12-16,4.3042
2015-12-17,4.2031
2015-12-18,4.2265
2015-12-21,4.3219
2015-12-22,4.3619
2015-12-23,4.3311
2015-12-24,4.3142
2015-12-28,4.3034
2015-12-29,4.2187
2015-12-30,4.259
2015-12-31,4.3117
2016-01-04,4.4023
2016-01-05,4.3023
2016-01-06,4.3331
2016-01-07,4.4001
2016-01-08,4.3685
2016-01-11,4.3786
2016-01-12,4.3704
2016-01-13,4.3214
2016-01-14,4.373
2016-01-15,4.4139
2016-01-18,4.3929
2016-01-19,4.3758
2016-01-20,4.4559
2016-01-21,4.523
2016-01-22,4.455
2016-01-25,4.4276
2016-01-26,4.4465
2016-01-27,4.3963
2016-01-28,4.4753
2016-01-29,4.4294
2016-02-01,4.3511
2016-02-02,4.3565
2016-02-03,4.328
2016-02-04,4.3486
2016-02-05,4.3454
2016-02-08,4.3245
2016-02-09,4.3741
2016-02-10,4.3758
2016-02-11,4.4836
2016-02-12,4.5087
2016-02-15,4.4567
2016-02-16,4.4833
2016-02-17,4.4866
2016-02-18,4.4527
2016-02-19,4.4854
2016-02-22,4.3755
2016-02-23,4.357
2016-02-24,4.3793
2016-02-25,4.3527
2016-02-26,4.3356
2016-02-29,4.3394
2016-03-01,4.3519
2016-03-02,4.2523
2016-03-03,4.1949
2016-03-04,4.0834
2016-03-07,4.1228
2016-03-08,4.169
2016-03-09,4.074
2016-03-10,3.972
2016-03-11,4.0401
2016-03-14,4.0261
2016-03-15,4.1191
2016-03-16,4.2224
2016-03-17,4.1438
2016-03-18,4.0794
2016-03-21,4.0897
2016-03-22,4.0526
2016-03-23,4.06
2016-03-24,4.1316
2016-03-29,4.0795
2016-03-30,4.1275
2016-03-31,4.1174
2016-04-01,4.1296
2016-04-04,4.042
2016-04-05,4.1395
2016-04-06,4.2
