Date,Canadese dollar
2015-11-05,1.432
2015-11-06,1.4342
2015-11-09,1.4285
2015-11-10,1.4204
2015-11-11,1.4213
2015-11-12,1.4293
2015-11-13,1.4322
2015-11-16,1.4293
2015-11-17,1.42
2015-11-18,1.4223
2015-11-19,1.4203
2015-11-20,1.4229
2015-11-23,1.4222
2015-11-24,1.4229
2015-11-25,1.4108
2015-11-26,1.4119
2015-11-27,1.4121
2015-11-30,1.4143
2015-12-01,1.4118
2015-12-02,1.4204
2015-12-03,1.4213
2015-12-04,1.454
2015-12-07,1.455
2015-12-08,1.4793
2015-12-09,1.4847
2015-12-10,1.4817
2015-12-11,1.4962
2015-12-14,1.5106
2015-12-15,1.5069
2015-12-16,1.505
2015-12-17,1.4995
2015-12-18,1.5123
2015-12-21,1.5169
2015-12-22,1.5242
2015-12-23,1.5176
2015-12-24,1.5183
2015-12-28,1.5207
2015-12-29,1.5241
2015-12-30,1.5171
2015-12-31,1.5116
2016-01-04,1.5172
2016-01-05,1.4976
2016-01-06,1.5137
2016-01-07,1.536
2016-01-08,1.5321
2016-01-11,1.5336
2016-01-12,1.537
2016-01-13,1.5381
2016-01-14,1.5647
2016-01-15,1.5849
2016-01-18,1.58
2016-01-19,1.575
2016-01-20,1.5965
2016-01-21,1.575
2016-01-22,1.5316
2016-01-25,1.5351
2016-01-26,1.5411
2016-01-27,1.5331
2016-01-28,1.5357
2016-01-29,1.5363
2016-02-01,1.5253
2016-02-02,1.5292
2016-02-03,1.5234
2016-02-04,1.5366
2016-02-05,1.5404
2016-02-08,1.5487
2016-02-09,1.5623
2016-02-10,1.5601
2016-02-11,1.5842
2016-02-12,1.5698
2016-02-15,1.5454
2016-02-16,1.543
2016-02-17,1.5387
2016-02-18,1.5168
2016-02-19,1.5274
2016-02-22,1.5128
2016-02-23,1.5116
2016-02-24,1.5197
2016-02-25,1.5025
2016-02-26,1.4909
2016-02-29,1.4767
2016-03-01,1.4699
2016-03-02,1.4595
2016-03-03,1.4644
2016-03-04,1.4717
2016-03-07,1.4652
2016-03-08,1.4695
2016-03-09,1.4705
2016-03-10,1.4424
2016-03-11,1.4698
2016-03-14,1.4737
2016-03-15,1.4832
2016-03-16,1.4798
2016-03-17,1.4701
2016-03-18,1.4627
2016-03-21,1.4703
2016-03-22,1.4679
2016-03-23,1.4676
2016-03-24,1.4821
2016-03-29,1.4741
2016-03-30,1.4755
2016-03-31,1.4738
2016-04-01,1.4894
2016-04-04,1.4832
2016-04-05,1.4968
2016-04-06,1.4912
2016-04-07,1.4906
2016-04-08,1.4861
2016-04-11,1.4794
2016-04-12,1.4674
2016-04-13,1.4466
2016-04-14,1.4434
2016-04-15,1.4535
2016-04-18,1.4612
2016-04-19,1.4418
2016-04-20,1.4421
2016-04-21,1.4346
2016-04-22,1.4342
2016-04-25,1.4286
2016-04-26,1.4276
2016-04-27,1.4223
2016-04-28,1.4262
2016-04-29,1.4286
2016-05-02,1.4388
2016-05-03,1.4559
2016-05-04,1.467
2016-05-05,1.4665
2016-05-06,1.4717
2016-05-09,1.4743
2016-05-10,1.4744
2016-05-11,1.4686
2016-05-12,1.4594
2016-05-13,1.4619
