Date,Britse pond
2017-01-17,0.8679
2017-01-18,0.86833
2017-01-19,0.86555
2017-01-20,0.86595
2017-01-23,0.86148
2017-01-24,0.8635
2017-01-25,0.85323
2017-01-26,0.85143
2017-01-27,0.8517
2017-01-30,0.84935
2017-01-31,0.86105
2017-02-01,0.85418
2017-02-02,0.86068
2017-02-03,0.86013
2017-02-06,0.8595
2017-02-07,0.8633
2017-02-08,0.85315
2017-02-09,0.8509
2017-02-10,0.8529
2017-02-13,0.8489
2017-02-14,0.85098
2017-02-15,0.84998
2017-02-16,0.8511
2017-02-17,0.8572
2017-02-20,0.85145
2017-02-21,0.8486
2017-02-22,0.8445
2017-02-23,0.84628
2017-02-24,0.84503
2017-02-27,0.8528
2017-02-28,0.85305
2017-03-01,0.8555
2017-03-02,0.8556
2017-03-03,0.86355
2017-03-06,0.863
2017-03-07,0.8671
2017-03-08,0.86753
2017-03-09,0.86653
2017-03-10,0.8725
2017-03-13,0.87258
2017-03-14,0.87563
2017-03-15,0.87073
2017-03-16,0.8681
2017-03-17,0.86868
2017-03-20,0.86793
2017-03-21,0.86753
2017-03-22,0.8679
2017-03-23,0.86273
2017-03-24,0.866
2017-03-27,0.86403
2017-03-28,0.86455
2017-03-29,0.86385
2017-03-30,0.8618
2017-03-31,0.85553
2017-04-03,0.8526
2017-04-04,0.85623
2017-04-05,0.8551
2017-04-06,0.8559
2017-04-07,0.85573
2017-04-10,0.85335
2017-04-11,0.8533
2017-04-12,0.8484
2017-04-13,0.84763
2017-04-18,0.84375
2017-04-19,0.8343
2017-04-20,0.8392
2017-04-21,0.8372
2017-04-24,0.8483
2017-04-25,0.84928
2017-04-26,0.84903
2017-04-27,0.8442
2017-04-28,0.84473
2017-05-02,0.8452
2017-05-03,0.8444
2017-05-04,0.84765
2017-05-05,0.8471
2017-05-08,0.84465
2017-05-09,0.843
2017-05-10,0.83985
2017-05-11,0.84485
2017-05-12,0.84588
2017-05-15,0.84928
2017-05-16,0.85868
2017-05-17,0.85745
2017-05-18,0.85363
2017-05-19,0.85908
2017-05-22,0.86353
2017-05-23,0.86463
2017-05-24,0.8634
2017-05-25,0.86528
2017-05-26,0.8719
2017-05-29,0.87093
2017-05-30,0.86793
2017-05-31,0.87365
2017-06-01,0.8723
2017-06-02,0.87268
2017-06-05,0.8713
2017-06-06,0.8723
2017-06-07,0.86908
2017-06-08,0.86755
2017-06-09,0.87638
2017-06-12,0.88545
2017-06-13,0.88075
2017-06-14,0.8796
2017-06-15,0.8764
2017-06-16,0.87453
2017-06-19,0.87518
2017-06-20,0.88143
2017-06-21,0.8781
2017-06-22,0.88168
2017-06-23,0.87805
2017-06-26,0.8783
2017-06-27,0.8837
2017-06-28,0.88525
2017-06-29,0.8799
2017-06-30,0.87933
2017-07-03,0.87705
2017-07-04,0.87805
2017-07-05,0.87735
2017-07-06,0.88013
2017-07-07,0.88488
2017-07-10,0.88443
2017-07-11,0.88318
2017-07-12,0.88925
2017-07-13,0.88215
2017-07-14,0.87983
2017-07-17,0.87755
2017-07-18,0.8878
2017-07-19,0.88485
2017-07-20,0.88718
2017-07-21,0.8961
2017-07-24,0.8935
2017-07-25,0.89395
2017-07-26,0.89275
2017-07-27,0.88978
2017-07-28,0.89568
2017-07-31,0.8942
2017-08-01,0.8944
2017-08-02,0.89425
2017-08-03,0.90318
2017-08-04,0.9028
2017-08-07,0.90435
2017-08-08,0.90678
2017-08-09,0.90338
2017-08-10,0.90303
2017-08-11,0.90645
2017-08-14,0.90935
2017-08-15,0.91145
2017-08-16,0.90993
2017-08-17,0.90895
2017-08-18,0.91188
2017-08-21,0.91318
2017-08-22,0.91713
2017-08-23,0.92133
2017-08-24,0.92
2017-08-25,0.92083
2017-08-28,0.92328
2017-08-29,0.92965
2017-08-30,0.92246
2017-08-31,0.91973
2017-09-01,0.92075
2017-09-04,0.91855
2017-09-05,0.9174
2017-09-06,0.91428
2017-09-07,0.91403
2017-09-08,0.91268
2017-09-11,0.90775
