Date,Hongkongse dollar
2017-08-21,9.2015
2017-08-22,9.2129
2017-08-23,9.2343
2017-08-24,9.2386
2017-08-25,9.2372
2017-08-28,9.3292
2017-08-29,9.4268
2017-08-30,9.3259
2017-08-31,9.2526
2017-09-01,9.3272
2017-09-04,9.315
2017-09-05,9.3043
2017-09-06,9.3362
2017-09-07,9.3553
2017-09-08,9.416
2017-09-11,9.3731
2017-09-12,9.3235
2017-09-13,9.3586
2017-09-14,9.2843
2017-09-15,9.3506
2017-09-18,9.339
2017-09-19,9.3432
2017-09-20,9.3668
2017-09-21,9.291
2017-09-22,9.3414
2017-09-25,9.2738
2017-09-26,9.2083
2017-09-27,9.1714
2017-09-28,9.1977
2017-09-29,9.2214
2017-10-02,9.1739
2017-10-03,9.1809
2017-10-04,9.2007
2017-10-05,9.1701
2017-10-06,9.1387
2017-10-09,9.1685
2017-10-10,9.2067
2017-10-11,9.2344
2017-10-12,9.2573
2017-10-13,9.221
2017-10-16,9.217
2017-10-17,9.1811
2017-10-18,9.1737
2017-10-19,9.2334
2017-10-20,9.2216
2017-10-23,9.1607
2017-10-24,9.1803
2017-10-25,9.1971
2017-10-26,9.1701
2017-10-27,9.0561
2017-10-30,9.0581
2017-10-31,9.0769
2017-11-01,9.0593
2017-11-02,9.0851
2017-11-03,9.0953
2017-11-06,9.0436
2017-11-07,9.0221
2017-11-08,9.0363
2017-11-09,9.0701
2017-11-10,9.093
2017-11-13,9.0906
2017-11-14,9.1645
2017-11-15,9.2435
2017-11-16,9.1919
2017-11-17,9.2144
2017-11-20,9.2036
2017-11-21,9.1545
2017-11-22,9.1775
2017-11-23,9.2528
2017-11-24,9.2744
2017-11-27,9.3249
2017-11-28,9.2745
2017-11-29,9.233
2017-11-30,9.2524
2017-12-01,9.2853
2017-12-04,9.2721
2017-12-05,9.2563
2017-12-06,9.2323
2017-12-07,9.204
2017-12-08,9.1661
2017-12-11,9.2093
2017-12-12,9.1848
2017-12-13,9.1612
2017-12-14,9.2499
2017-12-15,9.2223
2017-12-18,9.2194
2017-12-19,9.2446
2017-12-20,9.2677
2017-12-21,9.2758
2017-12-22,9.2648
2017-12-27,9.2953
2017-12-28,9.3274
2017-12-29,9.372
2018-01-02,9.4283
2018-01-03,9.3985
2018-01-04,9.4323
2018-01-05,9.4188
2018-01-08,9.3656
2018-01-09,9.3323
2018-01-10,9.3809
2018-01-11,9.4002
2018-01-12,9.4962
2018-01-15,9.605
2018-01-16,9.568
2018-01-17,9.5415
2018-01-18,9.5648
2018-01-19,9.5814
2018-01-22,9.5689
2018-01-23,9.576
2018-01-24,9.6556
2018-01-25,9.6996
2018-01-26,9.7222
2018-01-29,9.6783
2018-01-30,9.7117
2018-01-31,9.7413
2018-02-01,9.7429
2018-02-02,9.7692
2018-02-05,9.7288
2018-02-06,9.6403
2018-02-07,9.6463
2018-02-08,9.5795
2018-02-09,9.5985
2018-02-12,9.5892
2018-02-13,9.6467
2018-02-14,9.6585
2018-02-15,9.7723
2018-02-16,9.7479
2018-02-19,9.7075
2018-02-20,9.6549
2018-02-21,9.6341
2018-02-22,9.6059
2018-02-23,9.6219
2018-02-26,9.6387
2018-02-27,9.6272
2018-02-28,9.5595
2018-03-01,9.5263
2018-03-02,9.6397
2018-03-05,9.6398
2018-03-06,9.7218
2018-03-07,9.7295
2018-03-08,9.7356
2018-03-09,9.637
2018-03-12,9.6447
2018-03-13,9.7031
2018-03-14,9.6978
2018-03-15,9.6773
2018-03-16,9.6476
2018-03-19,9.6537
2018-03-20,9.6295
2018-03-21,9.6397
2018-03-22,9.6641
2018-03-23,9.6889
2018-03-26,9.7384
2018-03-27,9.7113
2018-03-28,9.7295
2018-03-29,9.6696
2018-04-03,9.6602
2018-04-04,9.6355
2018-04-05,9.6232
2018-04-06,9.6014
2018-04-09,9.6576
2018-04-10,9.703
2018-04-11,9.7212
2018-04-12,9.6734
2018-04-13,9.6687
2018-04-16,9.7104
2018-04-17,9.7001
2018-04-18,9.7245
2018-04-19,9.7182
2018-04-20,9.6568
2018-04-23,9.5974
2018-04-24,9.5829
2018-04-25,9.5625
2018-04-26,9.5493
2018-04-27,9.4731
2018-04-30,9.4801
2018-05-02,9.425
2018-05-03,9.4131
2018-05-04,9.3952
2018-05-07,9.3428
2018-05-08,9.3178
2018-05-09,9.3248
2018-05-10,9.3241
2018-05-11,9.3681
2018-05-14,9.4103
2018-05-15,9.328
2018-05-16,9.2504
2018-05-17,9.2666
2018-05-18,9.248
2018-05-21,9.23
2018-05-22,9.2565
2018-05-23,9.1904
2018-05-24,9.2043
2018-05-25,9.1589
2018-05-28,9.1354
2018-05-29,9.0681
2018-05-30,9.1268
2018-05-31,9.1818
2018-06-01,9.1547
2018-06-04,9.2091
2018-06-05,9.1611
2018-06-06,9.2328
2018-06-07,9.2868
2018-06-08,9.2222
2018-06-11,9.2508
2018-06-12,9.2499
2018-06-13,9.2325
2018-06-14,9.2058
2018-06-15,9.102
2018-06-18,9.1156
2018-06-19,9.0534
2018-06-20,9.0847
2018-06-21,9.0528
2018-06-22,9.1393
2018-06-25,9.181
2018-06-26,9.1608
2018-06-27,9.1158
2018-06-28,9.0906
2018-06-29,9.1468
2018-07-02,9.1325
2018-07-03,9.1506
2018-07-04,9.1307
2018-07-05,9.1887
2018-07-06,9.2013
2018-07-09,9.2526
2018-07-10,9.1926
2018-07-11,9.2111
2018-07-12,9.1494
2018-07-13,9.1387
2018-07-16,9.1989
2018-07-17,9.1888
2018-07-18,9.1141
2018-07-19,9.0963
2018-07-20,9.1597
2018-07-23,9.1948
2018-07-24,9.1846
2018-07-25,9.1714
2018-07-26,9.1949
2018-07-27,9.1241
2018-07-30,9.1696
2018-07-31,9.2114
2018-08-01,9.1807
2018-08-02,9.1185
2018-08-03,9.0955
2018-08-06,9.0605
2018-08-07,9.1065
2018-08-08,9.0971
2018-08-09,9.1003
2018-08-10,8.9928
2018-08-13,8.9511
2018-08-14,8.9537
2018-08-15,8.8869
2018-08-16,8.925
2018-08-17,8.9412
2018-08-20,8.9645
2018-08-21,9.029
2018-08-22,9.1184
2018-08-23,9.0895
2018-08-24,9.0965
2018-08-27,9.1318
2018-08-28,9.1922
2018-08-29,9.1524
2018-08-30,9.1773
2018-08-31,9.1453
2018-09-03,9.1129
2018-09-04,9.0758
2018-09-05,9.0913
2018-09-06,9.1324
2018-09-07,9.1175
2018-09-10,9.0831
2018-09-11,9.085
2018-09-12,9.0934
2018-09-13,9.1204
2018-09-14,9.1725
2018-09-17,9.1579
2018-09-18,9.1755
2018-09-19,9.1515
2018-09-20,9.2313
2018-09-21,9.184
2018-09-24,9.1941
2018-09-25,9.1974
2018-09-26,9.1676
2018-09-27,9.1478
2018-09-28,9.0579
2018-10-01,9.0848
2018-10-02,9.0442
2018-10-03,9.0498
2018-10-04,9.0114
2018-10-05,9.0137
2018-10-08,8.9874
2018-10-09,8.959
2018-10-10,9.0126
2018-10-11,9.0723
2018-10-12,9.0696
2018-10-15,9.0767
2018-10-16,9.0806
2018-10-17,9.0373
2018-10-18,9.0192
2018-10-19,8.9915
2018-10-22,9.0107
2018-10-23,8.999
2018-10-24,8.9308
2018-10-25,8.9502
2018-10-26,8.895
2018-10-29,8.927
2018-10-30,8.9229
2018-10-31,8.8787
2018-11-01,8.9293
