Date,Kroatische kuna
2015-11-05,7.5545
2015-11-06,7.5575
2015-11-09,7.5658
2015-11-10,7.6
2015-11-11,7.6205
2015-11-12,7.617
2015-11-13,7.6155
2015-11-16,7.6075
2015-11-17,7.6065
2015-11-18,7.6215
2015-11-19,7.631
2015-11-20,7.6278
2015-11-23,7.628
2015-11-24,7.6335
2015-11-25,7.6335
2015-11-26,7.6295
2015-11-27,7.623
2015-11-30,7.633
2015-12-01,7.6365
2015-12-02,7.641
2015-12-03,7.6358
2015-12-04,7.636
2015-12-07,7.638
2015-12-08,7.6368
2015-12-09,7.63
2015-12-10,7.629
2015-12-11,7.639
2015-12-14,7.633
2015-12-15,7.639
2015-12-16,7.6425
2015-12-17,7.653
2015-12-18,7.6495
2015-12-21,7.6505
2015-12-22,7.656
2015-12-23,7.6415
2015-12-24,7.6425
2015-12-28,7.6295
2015-12-29,7.6383
2015-12-30,7.637
2015-12-31,7.638
2016-01-04,7.6415
2016-01-05,7.6388
2016-01-06,7.6405
2016-01-07,7.64
2016-01-08,7.6427
2016-01-11,7.6455
2016-01-12,7.6672
2016-01-13,7.667
2016-01-14,7.666
2016-01-15,7.6655
2016-01-18,7.6635
2016-01-19,7.6555
2016-01-20,7.667
2016-01-21,7.671
2016-01-22,7.669
2016-01-25,7.6695
2016-01-26,7.6658
2016-01-27,7.6685
2016-01-28,7.6593
2016-01-29,7.66
2016-02-01,7.6605
2016-02-02,7.6675
2016-02-03,7.6665
2016-02-04,7.661
2016-02-05,7.654
2016-02-08,7.6455
2016-02-09,7.642
2016-02-10,7.635
2016-02-11,7.6391
2016-02-12,7.632
2016-02-15,7.62
2016-02-16,7.617
2016-02-17,7.6173
2016-02-18,7.6175
2016-02-19,7.618
2016-02-22,7.63
2016-02-23,7.626
2016-02-24,7.626
2016-02-25,7.622
2016-02-26,7.623
2016-02-29,7.6263
2016-03-01,7.6263
2016-03-02,7.604
2016-03-03,7.6015
2016-03-04,7.594
2016-03-07,7.5783
2016-03-08,7.5776
2016-03-09,7.562
2016-03-10,7.567
2016-03-11,7.5745
2016-03-14,7.565
2016-03-15,7.559
2016-03-16,7.5655
2016-03-17,7.5353
2016-03-18,7.5305
2016-03-21,7.5215
2016-03-22,7.538
2016-03-23,7.5415
2016-03-24,7.5358
2016-03-29,7.5255
2016-03-30,7.5168
2016-03-31,7.5255
2016-04-01,7.5105
2016-04-04,7.5115
2016-04-05,7.511
2016-04-06,7.51
2016-04-07,7.5105
2016-04-08,7.496
2016-04-11,7.4875
2016-04-12,7.489
2016-04-13,7.466
2016-04-14,7.4822
2016-04-15,7.5005
2016-04-18,7.505
2016-04-19,7.5005
2016-04-20,7.5023
2016-04-21,7.487
2016-04-22,7.49
2016-04-25,7.4818
2016-04-26,7.4785
2016-04-27,7.4773
2016-04-28,7.48
2016-04-29,7.511
2016-05-02,7.513
2016-05-03,7.51
2016-05-04,7.511
2016-05-05,7.515
2016-05-06,7.502
2016-05-09,7.4793
2016-05-10,7.5034
2016-05-11,7.5218
2016-05-12,7.503
2016-05-13,7.502
2016-05-16,7.4965
2016-05-17,7.4928
2016-05-18,7.488
2016-05-19,7.489
2016-05-20,7.4865
2016-05-23,7.489
2016-05-24,7.495
2016-05-25,7.4968
2016-05-26,7.4951
2016-05-27,7.4905
2016-05-30,7.4848
2016-05-31,7.4895
2016-06-01,7.5118
2016-06-02,7.4975
2016-06-03,7.4958
2016-06-06,7.5075
2016-06-07,7.5128
2016-06-08,7.5285
2016-06-09,7.536
2016-06-10,7.539
2016-06-13,7.5305
2016-06-14,7.5235
2016-06-15,7.5278
2016-06-16,7.524
2016-06-17,7.521
2016-06-20,7.518
2016-06-21,7.5185
2016-06-22,7.52
2016-06-23,7.521
2016-06-24,7.525
2016-06-27,7.5195
2016-06-28,7.515
2016-06-29,7.5273
2016-06-30,7.5281
2016-07-01,7.5235
2016-07-04,7.518
2016-07-05,7.5025
2016-07-06,7.4904
2016-07-07,7.4856
2016-07-08,7.4842
2016-07-11,7.4765
2016-07-12,7.4928
2016-07-13,7.4932
2016-07-14,7.5116
2016-07-15,7.5023
2016-07-18,7.4957
2016-07-19,7.4905
2016-07-20,7.4855
2016-07-21,7.4845
2016-07-22,7.4863
2016-07-25,7.4853
2016-07-26,7.4855
2016-07-27,7.486
2016-07-28,7.4855
2016-07-29,7.4875
2016-08-01,7.4855
2016-08-02,7.4927
2016-08-03,7.4963
2016-08-04,7.4827
2016-08-05,7.4843
2016-08-08,7.4799
2016-08-09,7.4855
2016-08-10,7.4827
2016-08-11,7.4952
2016-08-12,7.4916
2016-08-15,7.4925
2016-08-16,7.483
2016-08-17,7.4759
2016-08-18,7.4826
2016-08-19,7.4851
2016-08-22,7.489
2016-08-23,7.4862
2016-08-24,7.492
2016-08-25,7.4916
2016-08-26,7.4893
2016-08-29,7.4852
2016-08-30,7.4846
2016-08-31,7.4785
2016-09-01,7.4808
2016-09-02,7.4803
2016-09-05,7.501
2016-09-06,7.4942
2016-09-07,7.4865
2016-09-08,7.485
2016-09-09,7.4838
2016-09-12,7.486
2016-09-13,7.4903
2016-09-14,7.5
2016-09-15,7.511
2016-09-16,7.5115
2016-09-19,7.512
2016-09-20,7.5127
2016-09-21,7.508
2016-09-22,7.5055
2016-09-23,7.5005
2016-09-26,7.503
2016-09-27,7.505
2016-09-28,7.516
2016-09-29,7.5153
2016-09-30,7.522
