Date,Hongaarse forint
2015-11-05,313.97
2015-11-06,314.02
2015-11-09,314.44
2015-11-10,312.69
2015-11-11,311.7
2015-11-12,312.25
2015-11-13,312.23
2015-11-16,311.9
2015-11-17,311.64
2015-11-18,310.94
2015-11-19,310.26
2015-11-20,309.96
2015-11-23,311.13
2015-11-24,311.89
2015-11-25,312.11
2015-11-26,312.27
2015-11-27,312.08
2015-11-30,311.58
2015-12-01,310.5
2015-12-02,311.23
2015-12-03,310.93
2015-12-04,313.1
2015-12-07,311.85
2015-12-08,314.53
2015-12-09,314.7
2015-12-10,316.61
2015-12-11,316.66
2015-12-14,317.12
2015-12-15,316.5
2015-12-16,316.41
2015-12-17,315.96
2015-12-18,314.25
2015-12-21,314.15
2015-12-22,313.97
2015-12-23,314.85
2015-12-24,315.91
2015-12-28,314.13
2015-12-29,314.26
2015-12-30,313.15
2015-12-31,315.98
2016-01-04,315.39
2016-01-05,315.2
2016-01-06,314.81
2016-01-07,315.79
2016-01-08,315.53
2016-01-11,317.32
2016-01-12,317.75
2016-01-13,315.43
2016-01-14,315.97
2016-01-15,314.35
2016-01-18,315.42
2016-01-19,314.56
2016-01-20,314.76
2016-01-21,314.42
2016-01-22,312.2
2016-01-25,312.7
2016-01-26,312.73
2016-01-27,313.85
2016-01-28,313.37
2016-01-29,312.03
2016-02-01,311.86
2016-02-02,311.65
2016-02-03,310.55
2016-02-04,310.49
2016-02-05,309.95
2016-02-08,310.69
2016-02-09,311.55
2016-02-10,311.62
2016-02-11,311.98
2016-02-12,310.13
2016-02-15,309.24
2016-02-16,310.75
2016-02-17,309.95
2016-02-18,309.49
2016-02-19,309.11
2016-02-22,307.84
2016-02-23,307.63
2016-02-24,310.55
2016-02-25,310.86
2016-02-26,310.52
2016-02-29,311.26
2016-03-01,310.15
2016-03-02,309.96
2016-03-03,308.94
2016-03-04,309.31
2016-03-07,309.63
2016-03-08,310.19
2016-03-09,309.62
2016-03-10,310.01
2016-03-11,310.28
2016-03-14,310.11
2016-03-15,310.53
2016-03-16,311.43
2016-03-17,310.05
2016-03-18,310.32
2016-03-21,310.49
2016-03-22,312.6
2016-03-23,313.79
2016-03-24,314.24
2016-03-29,314.18
2016-03-30,314.29
2016-03-31,314.12
2016-04-01,313.3
2016-04-04,312.29
2016-04-05,312.62
2016-04-06,312.33
2016-04-07,312.28
2016-04-08,312.67
2016-04-11,312.07
2016-04-12,311.38
2016-04-13,310.73
2016-04-14,311.25
2016-04-15,310.54
2016-04-18,310.33
2016-04-19,310.51
2016-04-20,309.05
2016-04-21,310.7
2016-04-22,310.1
2016-04-25,311.3
2016-04-26,312.2
2016-04-27,312.12
2016-04-28,310.7
2016-04-29,312.23
2016-05-02,310.84
2016-05-03,311.85
2016-05-04,312.58
2016-05-05,312.84
2016-05-06,313.68
2016-05-09,315.05
2016-05-10,314.5
2016-05-11,315.3
2016-05-12,314.91
2016-05-13,315.17
2016-05-16,315.5
2016-05-17,315.25
2016-05-18,316.05
2016-05-19,316.62
2016-05-20,316.78
2016-05-23,317.05
2016-05-24,316.0
2016-05-25,314.29
2016-05-26,314.39
2016-05-27,314.21
2016-05-30,313.81
2016-05-31,314.11
2016-06-01,314.11
2016-06-02,313.02
2016-06-03,312.44
2016-06-06,311.45
2016-06-07,310.48
2016-06-08,310.09
2016-06-09,311.44
2016-06-10,311.39
2016-06-13,312.37
2016-06-14,313.96
2016-06-15,313.86
2016-06-16,315.15
2016-06-17,314.26
2016-06-20,312.92
2016-06-21,314.08
2016-06-22,314.42
2016-06-23,314.28
2016-06-24,317.9
2016-06-27,318.35
2016-06-28,317.67
2016-06-29,316.95
2016-06-30,317.06
2016-07-01,316.52
2016-07-04,316.93
2016-07-05,316.33
2016-07-06,316.6
2016-07-07,315.52
2016-07-08,314.08
2016-07-11,313.07
2016-07-12,313.94
2016-07-13,313.39
2016-07-14,313.64
2016-07-15,314.95
2016-07-18,315.01
2016-07-19,314.73
2016-07-20,315.05
2016-07-21,314.61
2016-07-22,313.34
2016-07-25,312.64
2016-07-26,313.16
2016-07-27,313.56
2016-07-28,312.15
2016-07-29,312.19
2016-08-01,311.01
2016-08-02,311.1
2016-08-03,311.0
2016-08-04,311.18
2016-08-05,310.62
2016-08-08,311.02
2016-08-09,310.37
2016-08-10,310.41
2016-08-11,310.26
2016-08-12,310.02
2016-08-15,309.49
2016-08-16,309.91
2016-08-17,310.63
2016-08-18,310.42
2016-08-19,310.28
2016-08-22,310.15
2016-08-23,310.49
2016-08-24,309.99
2016-08-25,309.8
2016-08-26,308.5
2016-08-29,308.76
2016-08-30,308.97
2016-08-31,310.34
2016-09-01,310.05
2016-09-02,310.13
2016-09-05,309.33
2016-09-06,309.8
2016-09-07,308.65
2016-09-08,308.06
2016-09-09,308.61
2016-09-12,309.98
2016-09-13,309.8
2016-09-14,309.95
2016-09-15,310.25
2016-09-16,309.14
2016-09-19,307.76
2016-09-20,309.12
2016-09-21,308.55
2016-09-22,306.37
2016-09-23,305.51
2016-09-26,306.52
2016-09-27,306.94
2016-09-28,307.95
2016-09-29,308.65
2016-09-30,309.79
2016-10-03,308.18
2016-10-04,307.42
2016-10-05,305.85
2016-10-06,305.07
2016-10-07,303.86
2016-10-10,304.65
2016-10-11,304.43
2016-10-12,306.05
2016-10-13,306.48
2016-10-14,305.31
2016-10-17,306.93
2016-10-18,306.93
2016-10-19,307.08
2016-10-20,307.54
2016-10-21,308.3
2016-10-24,308.53
2016-10-25,308.16
2016-10-26,309.09
2016-10-27,309.23
2016-10-28,309.46
2016-10-31,308.44
2016-11-01,307.73
2016-11-02,308.06
2016-11-03,307.88
2016-11-04,306.13
2016-11-07,306.05
2016-11-08,305.57
2016-11-09,304.95
2016-11-10,307.3
2016-11-11,309.25
2016-11-14,310.13
2016-11-15,309.97
2016-11-16,310.59
2016-11-17,309.36
2016-11-18,309.49
2016-11-21,309.13
2016-11-22,308.89
2016-11-23,310.04
2016-11-24,310.46
2016-11-25,309.33
2016-11-28,310.65
2016-11-29,311.48
2016-11-30,311.51
2016-12-01,313.96
2016-12-02,313.93
2016-12-05,313.97
2016-12-06,313.49
2016-12-07,312.98
2016-12-08,314.29
2016-12-09,314.45
2016-12-12,314.02
2016-12-13,314.31
2016-12-14,314.89
2016-12-15,313.17
2016-12-16,312.45
2016-12-19,311.79
2016-12-20,310.98
2016-12-21,310.28
2016-12-22,310.22
2016-12-23,309.68
2016-12-27,309.13
2016-12-28,309.03
2016-12-29,310.09
2016-12-30,309.83
2017-01-02,309.45
2017-01-03,308.94
2017-01-04,308.35
2017-01-05,308.28
2017-01-06,307.24
2017-01-09,308.21
2017-01-10,308.7
2017-01-11,309.45
2017-01-12,307.15
2017-01-13,307.5
2017-01-16,307.38
2017-01-17,307.79
2017-01-18,307.92
2017-01-19,308.4
2017-01-20,309.09
2017-01-23,309.82
2017-01-24,310.27
2017-01-25,309.72
2017-01-26,310.98
2017-01-27,311.63
2017-01-30,310.8
2017-01-31,310.64
2017-02-01,309.78
2017-02-02,308.85
2017-02-03,309.46
2017-02-06,309.16
2017-02-07,309.71
2017-02-08,309.32
2017-02-09,308.75
2017-02-10,308.45
2017-02-13,308.02
2017-02-14,308.13
2017-02-15,308.42
2017-02-16,308.24
2017-02-17,308.32
2017-02-20,308.26
2017-02-21,306.9
2017-02-22,307.53
2017-02-23,308.21
2017-02-24,308.59
2017-02-27,307.69
2017-02-28,308.25
2017-03-01,307.95
2017-03-02,308.33
2017-03-03,309.68
2017-03-06,309.55
2017-03-07,309.52
2017-03-08,310.7
2017-03-09,311.14
2017-03-10,312.27
2017-03-13,312.43
2017-03-14,311.32
2017-03-15,310.83
2017-03-16,310.04
2017-03-17,308.55
2017-03-20,308.64
2017-03-21,308.29
2017-03-22,309.16
2017-03-23,309.22
2017-03-24,309.81
2017-03-27,310.21
2017-03-28,309.19
2017-03-29,309.62
2017-03-30,309.35
2017-03-31,307.62
2017-04-03,308.68
2017-04-04,309.38
2017-04-05,309.91
2017-04-06,309.76
2017-04-07,310.36
2017-04-10,311.35
2017-04-11,311.4
2017-04-12,311.97
2017-04-13,312.55
2017-04-18,312.58
2017-04-19,313.05
2017-04-20,313.5
2017-04-21,314.18
2017-04-24,311.47
2017-04-25,311.7
2017-04-26,311.93
2017-04-27,312.03
2017-04-28,312.38
2017-05-02,312.2
2017-05-03,312.15
2017-05-04,312.05
2017-05-05,311.47
2017-05-08,311.24
2017-05-09,311.73
2017-05-10,310.59
2017-05-11,310.57
2017-05-12,310.24
2017-05-15,309.17
2017-05-16,309.54
2017-05-17,309.42
2017-05-18,310.69
2017-05-19,309.6
2017-05-22,308.65
2017-05-23,308.48
2017-05-24,308.11
2017-05-25,307.93
2017-05-26,307.4
2017-05-29,307.84
2017-05-30,308.63
