Date,Indonesische roepia
2015-11-09,14710.03
2015-11-10,14601.38
2015-11-11,14551.32
2015-11-12,14615.93
2015-11-13,14764.07
2015-11-16,14776.33
2015-11-17,14646.25
2015-11-18,14746.47
2015-11-19,14714.18
2015-11-20,14529.52
2015-11-23,14542.92
2015-11-24,14618.17
2015-11-25,14490.93
2015-11-26,14609.48
2015-11-27,14628.6
2015-11-30,14645.43
2015-12-01,14641.99
2015-12-02,14646.1
2015-12-03,14733.44
2015-12-04,15094.88
2015-12-07,14965.26
2015-12-08,15299.16
2015-12-09,15361.85
2015-12-10,15262.1
2015-12-11,15441.3
2015-12-14,15526.48
2015-12-15,15423.14
2015-12-16,15293.02
2015-12-17,15204.89
2015-12-18,15096.1
2015-12-21,15015.75
2015-12-22,14963.04
2015-12-23,14913.86
2015-12-24,14922.54
2015-12-28,14967.37
2015-12-29,15029.86
2015-12-30,15081.33
2015-12-31,15039.99
2016-01-04,15194.63
2016-01-05,14879.48
2016-01-06,14988.9
2016-01-07,15139.18
2016-01-08,15111.3
2016-01-11,15076.42
2016-01-12,14965.6
2016-01-13,14947.98
2016-01-14,15155.06
2016-01-15,15268.11
2016-01-18,15163.45
2016-01-19,15009.55
2016-01-20,15228.2
2016-01-21,15149.99
2016-01-22,14952.6
2016-01-25,14985.15
2016-01-26,15004.76
2016-01-27,15090.93
2016-01-28,15116.22
2016-01-29,14967.64
2016-02-01,14846.05
2016-02-02,14945.11
2016-02-03,15038.7
2016-02-04,15269.96
2016-02-05,15177.38
2016-02-08,15178.82
2016-02-09,15307.42
2016-02-10,15136.73
2016-02-11,15286.39
2016-02-12,15211.54
2016-02-15,14947.9
2016-02-16,14997.87
2016-02-17,15019.19
2016-02-18,14951.15
2016-02-19,14988.04
2016-02-22,14824.67
2016-02-23,14736.51
2016-02-24,14766.34
2016-02-25,14787.76
2016-02-26,14715.02
2016-02-29,14559.43
2016-03-01,14500.0
2016-03-02,14445.17
2016-03-03,14427.47
2016-03-04,14409.1
2016-03-07,14337.48
2016-03-08,14494.1
2016-03-09,14452.27
2016-03-10,14168.19
2016-03-11,14484.63
2016-03-14,14504.47
2016-03-15,14638.88
2016-03-16,14679.16
2016-03-17,14749.54
2016-03-18,14754.09
2016-03-21,14874.81
2016-03-22,14772.93
2016-03-23,14760.87
2016-03-24,14781.84
2016-03-29,14957.16
2016-03-30,15004.12
2016-03-31,15024.84
2016-04-01,15007.54
2016-04-04,14961.75
2016-04-05,15035.79
2016-04-06,15025.07
2016-04-07,14955.02
2016-04-08,14936.66
2016-04-11,14956.0
2016-04-12,14917.84
2016-04-13,14867.17
2016-04-14,14844.32
2016-04-15,14862.67
2016-04-18,14890.95
2016-04-19,14858.2
2016-04-20,14973.62
2016-04-21,14903.44
2016-04-22,14871.07
2016-04-25,14864.34
2016-04-26,14917.56
2016-04-27,14915.43
2016-04-28,14977.23
2016-04-29,15034.86
2016-05-02,15125.45
2016-05-03,15276.83
2016-05-04,15320.06
2016-05-05,15260.95
2016-05-06,15276.76
2016-05-09,15135.96
2016-05-10,15138.32
2016-05-11,15155.05
2016-05-12,15131.14
2016-05-13,15112.7
2016-05-16,15069.75
2016-05-17,15074.64
2016-05-18,15101.45
2016-05-19,15245.16
2016-05-20,15285.95
2016-05-23,15232.77
2016-05-24,15278.26
2016-05-25,15203.7
2016-05-26,15192.39
2016-05-27,15157.25
2016-05-30,15199.17
2016-05-31,15180.41
2016-06-01,15273.74
2016-06-02,15268.82
2016-06-03,15146.02
2016-06-06,15162.26
2016-06-07,15032.7
2016-06-08,15025.79
2016-06-09,15073.44
2016-06-10,15029.37
2016-06-13,15011.14
2016-06-14,14992.0
2016-06-15,15010.63
2016-06-16,14970.82
2016-06-17,14996.53
2016-06-20,15024.25
2016-06-21,15005.19
2016-06-22,14988.34
2016-06-23,14961.77
2016-06-24,14837.95
2016-06-27,14733.5
2016-06-28,14595.53
2016-06-29,14577.25
2016-06-30,14601.7
2016-07-01,14597.99
2016-07-04,14586.69
2016-07-05,14633.23
2016-07-06,14617.72
2016-07-07,14603.44
2016-07-08,14605.2
2016-07-11,14476.95
2016-07-12,14555.48
2016-07-13,14443.98
2016-07-14,14562.12
2016-07-15,14563.77
2016-07-18,14468.93
2016-07-19,14443.16
2016-07-20,14433.83
2016-07-21,14448.38
2016-07-22,14445.45
2016-07-25,14426.5
2016-07-26,14488.8
2016-07-27,14447.16
2016-07-28,14530.67
2016-07-29,14559.7
2016-08-01,14549.55
2016-08-02,14627.57
2016-08-03,14738.64
2016-08-04,14649.41
2016-08-05,14617.71
2016-08-08,14552.8
2016-08-09,14547.53
2016-08-10,14627.55
2016-08-11,14610.43
2016-08-12,14623.67
2016-08-15,14641.33
2016-08-16,14774.99
2016-08-17,14827.94
2016-08-18,14871.27
2016-08-19,14941.26
2016-08-22,14955.58
2016-08-23,14991.29
2016-08-24,14969.54
2016-08-25,14973.93
2016-08-26,14906.0
2016-08-29,14819.24
2016-08-30,14814.35
2016-08-31,14786.64
2016-09-01,14804.78
2016-09-02,14827.37
2016-09-05,14658.43
2016-09-06,14637.26
2016-09-07,14675.52
2016-09-08,14720.3
2016-09-09,14796.65
2016-09-12,14705.5
2016-09-13,14830.3
2016-09-14,14845.9
2016-09-15,14827.15
2016-09-16,14770.61
