Date,Israëlische shekel
2015-11-06,4.2298
2015-11-09,4.2222
2015-11-10,4.1989
2015-11-11,4.1841
2015-11-12,4.1748
2015-11-13,4.1836
2015-11-16,4.1736
2015-11-17,4.1655
2015-11-18,4.1638
2015-11-19,4.1597
2015-11-20,4.1473
2015-11-23,4.1278
2015-11-24,4.13
2015-11-25,4.1098
2015-11-26,4.1199
2015-11-27,4.113
2015-11-30,4.0972
2015-12-01,4.1114
2015-12-02,4.1137
2015-12-03,4.1291
2015-12-04,4.1816
2015-12-07,4.1678
2015-12-08,4.2278
2015-12-09,4.2494
2015-12-10,4.231
2015-12-11,4.2287
2015-12-14,4.2379
2015-12-15,4.241
2015-12-16,4.241
2015-12-17,4.22
2015-12-18,4.221
2015-12-21,4.2416
2015-12-22,4.27
2015-12-23,4.2485
2015-12-24,4.2574
2015-12-28,4.257
2015-12-29,4.254
2015-12-30,4.2606
2015-12-31,4.2481
2016-01-04,4.2659
2016-01-05,4.2144
2016-01-06,4.2389
2016-01-07,4.27
2016-01-08,4.2597
2016-01-11,4.2827
2016-01-12,4.2711
2016-01-13,4.2635
2016-01-14,4.2986
2016-01-15,4.3125
2016-01-18,4.309
2016-01-19,4.3025
2016-01-20,4.336
2016-01-21,4.3277
2016-01-22,4.2945
2016-01-25,4.3031
2016-01-26,4.3084
2016-01-27,4.3252
2016-01-28,4.313
2016-01-29,4.3084
2016-02-01,4.3
2016-02-02,4.3161
2016-02-03,4.332
2016-02-04,4.379
2016-02-05,4.3415
2016-02-08,4.3215
2016-02-09,4.3655
2016-02-10,4.3589
2016-02-11,4.4151
2016-02-12,4.3761
2016-02-15,4.3482
2016-02-16,4.3662
2016-02-17,4.3471
2016-02-18,4.3306
2016-02-19,4.341
2016-02-22,4.3086
2016-02-23,4.2965
2016-02-24,4.3112
2016-02-25,4.3015
2016-02-26,4.293
2016-02-29,4.2556
2016-03-01,4.2332
2016-03-02,4.2191
2016-03-03,4.2402
2016-03-04,4.285
2016-03-07,4.2865
2016-03-08,4.3113
2016-03-09,4.2779
2016-03-10,4.2357
2016-03-11,4.3022
2016-03-14,4.3133
2016-03-15,4.3235
2016-03-16,4.3171
2016-03-17,4.3565
2016-03-18,4.3387
2016-03-21,4.3446
2016-03-22,4.3194
2016-03-23,4.2938
2016-03-24,4.2753
2016-03-29,4.2886
2016-03-30,4.2899
2016-03-31,4.295
2016-04-01,4.3182
2016-04-04,4.3079
2016-04-05,4.323
2016-04-06,4.3296
2016-04-07,4.3087
2016-04-08,4.3006
2016-04-11,4.3075
2016-04-12,4.2923
2016-04-13,4.2697
2016-04-14,4.2642
2016-04-15,4.2675
2016-04-18,4.2702
2016-04-19,4.2746
2016-04-20,4.2766
2016-04-21,4.2705
2016-04-22,4.2401
2016-04-25,4.2447
2016-04-26,4.2484
2016-04-27,4.2542
2016-04-28,4.2697
2016-04-29,4.2666
2016-05-02,4.3056
2016-05-03,4.3376
2016-05-04,4.3407
2016-05-05,4.3221
2016-05-06,4.3191
2016-05-09,4.3089
2016-05-10,4.3042
2016-05-11,4.295
2016-05-12,4.2833
2016-05-13,4.2824
2016-05-16,4.318
2016-05-17,4.323
2016-05-18,4.3277
2016-05-19,4.3208
2016-05-20,4.3523
2016-05-23,4.3459
2016-05-24,4.3129
2016-05-25,4.2949
2016-05-26,4.2839
2016-05-27,4.2938
2016-05-30,4.2847
2016-05-31,4.2961
2016-06-01,4.3042
2016-06-02,4.3105
2016-06-03,4.3239
2016-06-06,4.3502
2016-06-07,4.3356
2016-06-08,4.3531
2016-06-09,4.361
2016-06-10,4.3532
2016-06-13,4.3609
2016-06-14,4.3405
2016-06-15,4.3531
2016-06-16,4.3228
2016-06-17,4.3572
2016-06-20,4.3632
2016-06-21,4.3667
2016-06-22,4.3471
2016-06-23,4.3552
2016-06-24,4.3113
2016-06-27,4.2873
2016-06-28,4.2972
2016-06-29,4.2793
2016-06-30,4.2761
2016-07-01,4.2795
2016-07-04,4.2916
2016-07-05,4.3121
2016-07-06,4.3114
2016-07-07,4.3006
2016-07-08,4.3011
2016-07-11,4.2913
2016-07-12,4.2962
2016-07-13,4.2832
2016-07-14,4.2923
2016-07-15,4.2818
2016-07-18,4.265
2016-07-19,4.2582
2016-07-20,4.2491
2016-07-21,4.2463
2016-07-22,4.2232
2016-07-25,4.2229
2016-07-26,4.226
2016-07-27,4.2213
2016-07-28,4.2383
2016-07-29,4.2494
2016-08-01,4.2513
2016-08-02,4.2704
2016-08-03,4.2811
2016-08-04,4.2612
2016-08-05,4.2633
2016-08-08,4.2435
2016-08-09,4.2319
2016-08-10,4.2597
2016-08-11,4.252
2016-08-12,4.2553
2016-08-15,4.2585
2016-08-16,4.2662
