Date,Indiase roepie
2015-11-09,71.5769
2015-11-10,70.9818
2015-11-11,70.978
2015-11-12,71.1282
2015-11-13,71.2
2015-11-16,70.7613
2015-11-17,70.4322
2015-11-18,70.6304
2015-11-19,70.78
2015-11-20,70.7492
2015-11-23,70.5699
2015-11-24,70.6582
2015-11-25,70.1855
2015-11-26,70.6402
2015-11-27,70.6449
2015-11-30,70.5275
2015-12-01,70.5123
2015-12-02,70.6171
2015-12-03,71.1343
2015-12-04,72.802
2015-12-07,72.1325
2015-12-08,72.6871
2015-12-09,73.1296
2015-12-10,73.0416
2015-12-11,73.3719
2015-12-14,73.7454
2015-12-15,73.5161
2015-12-16,72.935
2015-12-17,71.84
2015-12-18,71.955
2015-12-21,72.085
2015-12-22,72.5474
2015-12-23,72.2748
2015-12-24,72.4801
2015-12-28,72.4616
2015-12-29,72.6458
2015-12-30,72.535
2015-12-31,72.0215
2016-01-04,72.617
2016-01-05,71.5539
2016-01-06,71.8242
2016-01-07,72.7012
2016-01-08,72.4206
2016-01-11,72.7413
2016-01-12,72.4603
2016-01-13,72.3212
2016-01-14,73.4516
2016-01-15,73.986
2016-01-18,73.7266
2016-01-19,73.484
2016-01-20,74.1627
2016-01-21,74.0684
2016-01-22,73.0945
2016-01-25,73.2973
2016-01-26,73.5797
2016-01-27,74.0928
2016-01-28,74.3857
2016-01-29,74.1039
2016-02-01,73.91
2016-02-02,74.2325
2016-02-03,74.39
2016-02-04,75.86
2016-02-05,75.7857
2016-02-08,75.5245
2016-02-09,76.4549
2016-02-10,76.3844
2016-02-11,77.655
2016-02-12,76.9418
2016-02-15,76.1045
2016-02-16,76.3985
2016-02-17,76.28
2016-02-18,75.9461
2016-02-19,75.9715
2016-02-22,75.5948
2016-02-23,75.4059
2016-02-24,75.2885
2016-02-25,75.9485
2016-02-26,75.601
2016-02-29,74.3825
2016-03-01,73.77
2016-03-02,73.3115
2016-03-03,73.3365
2016-03-04,73.591
2016-03-07,73.4825
2016-03-08,74.2265
2016-03-09,73.684
2016-03-10,72.6645
2016-03-11,74.317
2016-03-14,74.5653
2016-03-15,74.8283
2016-03-16,74.3888
2016-03-17,75.379
2016-03-18,74.7625
2016-03-21,74.9933
2016-03-22,74.7605
2016-03-23,74.6175
2016-03-24,74.579
2016-03-29,74.4743
2016-03-30,75.176
2016-03-31,75.4298
2016-04-01,75.8528
2016-04-04,75.2275
2016-04-05,75.5435
2016-04-06,75.578
2016-04-07,75.7135
2016-04-08,75.677
2016-04-11,75.7055
2016-04-12,75.668
2016-04-13,75.249
2016-04-14,74.8648
2016-04-15,75.1425
2016-04-18,75.274
2016-04-19,75.4905
2016-04-20,75.327
2016-04-21,75.2595
2016-04-22,74.9425
2016-04-25,75.019
2016-04-26,75.1373
2016-04-27,75.1273
2016-04-28,75.531
2016-04-29,75.6985
2016-05-02,76.3185
2016-05-03,76.8128
2016-05-04,76.611
2016-05-05,76.0745
2016-05-06,76.141
2016-05-09,75.896
2016-05-10,75.8435
2016-05-11,75.9935
2016-05-12,75.929
2016-05-13,75.7825
2016-05-16,75.694
2016-05-17,75.6285
2016-05-18,75.546
2016-05-19,75.5418
2016-05-20,75.6975
2016-05-23,75.7263
2016-05-24,75.578
2016-05-25,75.1
2016-05-26,74.9155
2016-05-27,74.867
2016-05-30,74.7865
2016-05-31,74.951
2016-06-01,75.378
2016-06-02,75.297
2016-06-03,75.011
2016-06-06,75.9995
2016-06-07,75.7405
2016-06-08,75.721
2016-06-09,75.6925
2016-06-10,75.52
2016-06-13,75.6125
2016-06-14,75.555
2016-06-15,75.367
2016-06-16,75.201
2016-06-17,75.4975
2016-06-20,76.328
2016-06-21,76.4493
2016-06-22,76.1553
2016-06-23,76.651
2016-06-24,75.254
2016-06-27,74.7365
2016-06-28,75.207
2016-06-29,74.9693
2016-06-30,74.9603
2016-07-01,74.9698
2016-07-04,74.9065
2016-07-05,75.2034
2016-07-06,74.6283
2016-07-07,74.7044
2016-07-08,74.5132
2016-07-11,74.1865
2016-07-12,74.422
2016-07-13,74.2155
2016-07-14,74.594
2016-07-15,74.585
2016-07-18,74.2758
2016-07-19,74.0824
2016-07-20,74.0123
2016-07-21,74.0373
2016-07-22,73.8783
2016-07-25,73.9624
2016-07-26,74.042
2016-07-27,73.87
2016-07-28,74.3543
2016-07-29,74.407
2016-08-01,74.464
2016-08-02,74.673
2016-08-03,74.9224
2016-08-04,74.474
2016-08-05,74.4919
2016-08-08,74.1
2016-08-09,74.099
2016-08-10,74.531
2016-08-11,74.5558
2016-08-12,74.6069
2016-08-15,74.7779
2016-08-16,75.4101
2016-08-17,75.3999
2016-08-18,75.6332
2016-08-19,76.085
2016-08-22,75.992
2016-08-23,76.0496
2016-08-24,75.6268
2016-08-25,75.6974
2016-08-26,75.647
2016-08-29,75.0335
2016-08-30,74.8703
2016-08-31,74.5562
2016-09-01,74.633
2016-09-02,74.762
2016-09-05,74.14
2016-09-06,74.1975
2016-09-07,74.5655
2016-09-08,74.983
2016-09-09,75.203
2016-09-12,75.1105
2016-09-13,75.237
2016-09-14,75.071
2016-09-15,75.309
2016-09-16,75.237
2016-09-19,74.7835
2016-09-20,74.962
2016-09-21,74.68
2016-09-22,74.872
2016-09-23,74.711
2016-09-26,75.06
2016-09-27,74.5795
2016-09-28,74.5915
2016-09-29,75.0305
2016-09-30,74.3655
2016-10-03,74.766
2016-10-04,74.2035
2016-10-05,74.6349
2016-10-06,74.6445
2016-10-07,74.3105
2016-10-10,74.2325
2016-10-11,73.776
2016-10-12,73.61
2016-10-13,73.8375
2016-10-14,73.438
2016-10-17,73.4565
2016-10-18,73.3345
2016-10-19,73.189
2016-10-20,73.3445
2016-10-21,72.825
2016-10-24,72.7975
2016-10-25,72.637
2016-10-26,73.0255
2016-10-27,73.0135
2016-10-28,72.9575
2016-10-31,73.094
2016-11-01,73.5425
2016-11-02,73.971
2016-11-03,73.846
2016-11-04,74.0395
2016-11-07,73.844
2016-11-08,73.5085
2016-11-09,73.3765
2016-11-10,72.7085
2016-11-11,73.3295
2016-11-14,73.08
2016-11-15,72.9385
2016-11-16,72.847
2016-11-17,72.735
2016-11-18,72.217
2016-11-21,72.449
2016-11-22,72.509
2016-11-23,72.8745
2016-11-24,72.5245
2016-11-25,72.5925
2016-11-28,72.761
2016-11-29,72.6565
2016-11-30,72.859
2016-12-01,72.637
2016-12-02,72.638
2016-12-05,72.9495
2016-12-06,72.7775
2016-12-07,72.583
2016-12-08,72.5055
2016-12-09,71.341
2016-12-12,71.4485
2016-12-13,71.659
2016-12-14,71.8245
2016-12-15,70.6425
2016-12-16,70.7765
2016-12-19,70.7225
2016-12-20,70.5475
2016-12-21,70.738
2016-12-22,71.0005
2016-12-23,70.8275
2016-12-27,71.043
2016-12-28,70.9685
2016-12-29,71.095
2016-12-30,71.5935
2017-01-02,71.308
2017-01-03,71.001
2017-01-04,71.039
2017-01-05,71.3394
2017-01-06,71.9945
2017-01-09,71.6875
2017-01-10,72.0855
2017-01-11,71.8315
2017-01-12,72.5955
2017-01-13,72.6685
2017-01-16,72.167
2017-01-17,72.6335
2017-01-18,72.6365
2017-01-19,72.6875
2017-01-20,72.4825
2017-01-23,73.033
2017-01-24,73.189
2017-01-25,73.1385
