Date,Zuid-Koreaanse won
2015-11-06,1243.27
2015-11-09,1251.28
2015-11-10,1242.06
2015-11-11,1238.51
2015-11-12,1245.87
2015-11-13,1257.07
2015-11-16,1257.58
2015-11-17,1247.07
2015-11-18,1247.9
2015-11-19,1241.54
2015-11-20,1234.46
2015-11-23,1232.02
2015-11-24,1229.46
2015-11-25,1211.88
2015-11-26,1219.31
2015-11-27,1221.76
2015-11-30,1224.21
2015-12-01,1229.0
2015-12-02,1234.96
2015-12-03,1240.24
2015-12-04,1268.29
2015-12-07,1264.0
2015-12-08,1287.02
2015-12-09,1293.16
2015-12-10,1287.37
2015-12-11,1300.93
2015-12-14,1304.72
2015-12-15,1292.34
2015-12-16,1285.09
2015-12-17,1285.85
2015-12-18,1280.16
2015-12-21,1280.05
2015-12-22,1283.3
2015-12-23,1281.86
2015-12-24,1279.4
2015-12-28,1280.83
2015-12-29,1282.17
2015-12-30,1284.79
2015-12-31,1280.78
2016-01-04,1297.87
2016-01-05,1277.02
2016-01-06,1289.2
2016-01-07,1306.87
2016-01-08,1304.78
2016-01-11,1309.12
2016-01-12,1308.87
2016-01-13,1301.18
2016-01-14,1320.77
2016-01-15,1328.97
2016-01-18,1317.44
2016-01-19,1306.89
2016-01-20,1326.46
2016-01-21,1321.64
2016-01-22,1292.83
2016-01-25,1293.53
2016-01-26,1303.82
2016-01-27,1308.94
2016-01-28,1316.36
2016-01-29,1318.6
2016-02-01,1310.43
2016-02-02,1322.58
2016-02-03,1329.87
2016-02-04,1336.75
2016-02-05,1333.89
2016-02-08,1343.41
2016-02-09,1356.24
2016-02-10,1340.37
2016-02-11,1362.83
2016-02-12,1359.98
2016-02-15,1352.15
2016-02-16,1358.7
2016-02-17,1368.24
2016-02-18,1362.2
2016-02-19,1368.69
2016-02-22,1351.19
2016-02-23,1353.46
2016-02-24,1359.58
2016-02-25,1366.74
2016-02-26,1360.34
2016-02-29,1347.54
2016-03-01,1340.06
2016-03-02,1334.29
2016-03-03,1322.61
2016-03-04,1319.78
2016-03-07,1318.99
2016-03-08,1329.87
2016-03-09,1329.63
2016-03-10,1302.89
2016-03-11,1319.89
2016-03-14,1318.77
2016-03-15,1326.8
2016-03-16,1321.98
2016-03-17,1312.85
2016-03-18,1306.11
2016-03-21,1308.05
2016-03-22,1302.05
2016-03-23,1300.58
2016-03-24,1302.21
2016-03-29,1306.67
2016-03-30,1293.67
2016-03-31,1294.88
2016-04-01,1315.78
2016-04-04,1308.19
2016-04-05,1317.17
2016-04-06,1318.35
2016-04-07,1318.1
2016-04-08,1310.43
2016-04-11,1306.55
2016-04-12,1302.88
2016-04-13,1298.14
2016-04-14,1298.53
2016-04-15,1295.12
2016-04-18,1299.62
2016-04-19,1277.28
2016-04-20,1285.04
2016-04-21,1286.36
2016-04-22,1287.41
2016-04-25,1291.46
2016-04-26,1299.14
2016-04-27,1299.53
2016-04-28,1295.54
2016-04-29,1301.53
2016-05-02,1307.85
2016-05-03,1323.75
2016-05-04,1338.14
2016-05-05,1333.95
2016-05-06,1339.64
2016-05-09,1337.36
2016-05-10,1334.99
2016-05-11,1332.79
2016-05-12,1331.57
2016-05-13,1330.91
2016-05-16,1335.9
2016-05-17,1331.66
2016-05-18,1340.31
2016-05-19,1333.5
2016-05-20,1332.02
