Date,Nieuw-Zeelandse dollar
2015-11-09,1.6465
2015-11-10,1.636
2015-11-11,1.6344
2015-11-12,1.6447
2015-11-13,1.6483
2015-11-16,1.6554
2015-11-17,1.6447
2015-11-18,1.6505
2015-11-19,1.6404
2015-11-20,1.6296
2015-11-23,1.6322
2015-11-24,1.6368
2015-11-25,1.616
2015-11-26,1.6144
2015-11-27,1.6189
2015-11-30,1.612
2015-12-01,1.5935
2015-12-02,1.5945
2015-12-03,1.6038
2015-12-04,1.6319
2015-12-07,1.6238
2015-12-08,1.643
2015-12-09,1.6517
2015-12-10,1.6191
2015-12-11,1.6258
2015-12-14,1.627
2015-12-15,1.6186
2015-12-16,1.6196
2015-12-17,1.6078
2015-12-18,1.616
2015-12-21,1.6114
2015-12-22,1.6036
2015-12-23,1.6117
2015-12-24,1.6052
2015-12-28,1.6019
2015-12-29,1.5949
2015-12-30,1.5959
2015-12-31,1.5923
2016-01-04,1.6146
2016-01-05,1.6001
2016-01-06,1.6166
2016-01-07,1.6464
2016-01-08,1.645
2016-01-11,1.6577
2016-01-12,1.6547
2016-01-13,1.6519
2016-01-14,1.6903
2016-01-15,1.7103
2016-01-18,1.6862
2016-01-19,1.6763
2016-01-20,1.7134
2016-01-21,1.694
2016-01-22,1.6606
2016-01-25,1.6728
2016-01-26,1.6777
2016-01-27,1.6739
2016-01-28,1.6874
2016-01-29,1.6788
2016-02-01,1.682
2016-02-02,1.6839
2016-02-03,1.656
2016-02-04,1.6678
2016-02-05,1.6655
2016-02-08,1.6802
2016-02-09,1.7085
2016-02-10,1.6916
2016-02-11,1.6973
2016-02-12,1.6965
2016-02-15,1.6772
2016-02-16,1.6931
2016-02-17,1.6902
2016-02-18,1.6728
2016-02-19,1.6761
2016-02-22,1.6521
2016-02-23,1.6452
2016-02-24,1.662
2016-02-25,1.6487
2016-02-26,1.6347
2016-02-29,1.6557
2016-03-01,1.6475
2016-03-02,1.6404
2016-03-03,1.6257
2016-03-04,1.6223
2016-03-07,1.6221
2016-03-08,1.6302
2016-03-09,1.6192
2016-03-10,1.6277
2016-03-11,1.6578
2016-03-14,1.6591
2016-03-15,1.6709
2016-03-16,1.6809
2016-03-17,1.6555
2016-03-18,1.655
2016-03-21,1.6645
2016-03-22,1.6626
2016-03-23,1.6676
2016-03-24,1.6645
2016-03-29,1.6597
2016-03-30,1.6356
2016-03-31,1.6411
2016-04-01,1.6518
2016-04-04,1.6605
2016-04-05,1.678
2016-04-06,1.6705
2016-04-07,1.6731
2016-04-08,1.6757
2016-04-11,1.6669
2016-04-12,1.654
2016-04-13,1.6337
2016-04-14,1.6395
2016-04-15,1.6334
2016-04-18,1.6303
2016-04-19,1.6127
2016-04-20,1.6231
2016-04-21,1.6262
2016-04-22,1.6364
2016-04-25,1.6399
2016-04-26,1.6417
2016-04-27,1.6504
2016-04-28,1.6287
2016-04-29,1.6357
2016-05-02,1.6368
