Date,Filipijnse peso
2015-11-05,51.047
2015-11-06,50.981
2015-11-09,50.819
2015-11-10,50.6
2015-11-11,50.475
2015-11-12,50.475
2015-11-13,50.722
2015-11-16,50.644
2015-11-17,50.339
2015-11-18,50.341
2015-11-19,50.259
2015-11-20,50.231
2015-11-23,50.129
2015-11-24,50.145
2015-11-25,49.834
2015-11-26,50.013
2015-11-27,49.921
2015-11-30,49.921
2015-12-01,50.009
2015-12-02,50.034
2015-12-03,50.269
2015-12-04,51.327
2015-12-07,50.88
2015-12-08,51.339
2015-12-09,51.641
2015-12-10,51.688
2015-12-11,51.96
2015-12-14,52.127
2015-12-15,52.057
2015-12-16,51.754
2015-12-17,51.434
2015-12-18,51.253
2015-12-21,51.388
2015-12-22,51.789
2015-12-23,51.597
2015-12-24,51.504
2015-12-28,51.566
2015-12-29,51.514
2015-12-30,51.281
2015-12-31,50.999
2016-01-04,51.393
2016-01-05,50.371
2016-01-06,50.588
2016-01-07,51.226
2016-01-08,51.204
2016-01-11,51.326
2016-01-12,51.296
2016-01-13,51.283
2016-01-14,52.076
2016-01-15,52.281
2016-01-18,52.036
2016-01-19,51.74
2016-01-20,52.219
2016-01-21,52.166
2016-01-22,51.58
2016-01-25,51.89
2016-01-26,52.051
2016-01-27,52.162
2016-01-28,52.116
2016-01-29,52.082
2016-02-01,51.932
2016-02-02,52.256
2016-02-03,52.37
2016-02-04,53.366
2016-02-05,53.271
2016-02-08,53.084
2016-02-09,53.641
2016-02-10,53.388
2016-02-11,53.953
2016-02-12,53.561
2016-02-15,53.0
2016-02-16,53.05
2016-02-17,53.039
2016-02-18,52.695
2016-02-19,52.843
2016-02-22,52.517
2016-02-23,52.397
2016-02-24,52.346
2016-02-25,52.532
2016-02-26,52.276
2016-02-29,51.615
2016-03-01,51.341
2016-03-02,51.327
2016-03-03,51.211
2016-03-04,51.325
2016-03-07,51.383
2016-03-08,51.773
2016-03-09,51.417
2016-03-10,50.581
2016-03-11,51.565
2016-03-14,51.785
2016-03-15,51.915
2016-03-16,51.752
2016-03-17,52.385
2016-03-18,52.351
2016-03-21,52.296
2016-03-22,51.922
2016-03-23,51.848
2016-03-24,51.766
2016-03-29,51.869
2016-03-30,52.056
2016-03-31,52.284
2016-04-01,52.615
2016-04-04,52.562
2016-04-05,52.593
2016-04-06,52.456
2016-04-07,52.579
2016-04-08,52.469
2016-04-11,52.552
2016-04-12,52.517
2016-04-13,52.065
2016-04-14,51.982
2016-04-15,52.051
2016-04-18,52.253
2016-04-19,52.29
2016-04-20,52.626
2016-04-21,52.822
2016-04-22,52.658
2016-04-25,52.808
2016-04-26,52.864
2016-04-27,52.973
2016-04-28,53.309
2016-04-29,53.504
2016-05-02,54.068
2016-05-03,54.425
2016-05-04,54.352
2016-05-05,54.171
2016-05-06,53.884
2016-05-09,53.832
2016-05-10,53.126
2016-05-11,53.055
2016-05-12,53.015
2016-05-13,52.933
2016-05-16,52.652
2016-05-17,52.581
2016-05-18,52.624
2016-05-19,52.447
2016-05-20,52.477
2016-05-23,52.481
2016-05-24,52.267
2016-05-25,52.109
2016-05-26,52.131
2016-05-27,52.096
2016-05-30,52.053
2016-05-31,52.149
2016-06-01,52.11
2016-06-02,52.107
2016-06-03,51.821
2016-06-06,52.398
2016-06-07,52.229
2016-06-08,52.223
2016-06-09,52.188
2016-06-10,51.978
2016-06-13,52.002
2016-06-14,51.986
2016-06-15,52.032
