Date,Poolse zloty
2016-12-21,4.4082
2016-12-22,4.4096
2016-12-23,4.4098
2016-12-27,4.409
2016-12-28,4.4028
2016-12-29,4.4141
2016-12-30,4.4103
2017-01-02,4.4123
2017-01-03,4.3934
2017-01-04,4.3778
2017-01-05,4.368
2017-01-06,4.3552
2017-01-09,4.3777
2017-01-10,4.3721
2017-01-11,4.3703
2017-01-12,4.3765
2017-01-13,4.3739
2017-01-16,4.3729
2017-01-17,4.3693
2017-01-18,4.3673
2017-01-19,4.3728
2017-01-20,4.3699
2017-01-23,4.3719
2017-01-24,4.3725
2017-01-25,4.3641
2017-01-26,4.3435
2017-01-27,4.34
2017-01-30,4.331
2017-01-31,4.3239
2017-02-01,4.3186
2017-02-02,4.3071
2017-02-03,4.2972
2017-02-06,4.2767
2017-02-07,4.3035
2017-02-08,4.3118
2017-02-09,4.3096
2017-02-10,4.2953
2017-02-13,4.3137
2017-02-14,4.3012
2017-02-15,4.3015
2017-02-16,4.3176
2017-02-17,4.3305
2017-02-20,4.3246
2017-02-21,4.3064
2017-02-22,4.2987
2017-02-23,4.308
2017-02-24,4.3107
2017-02-27,4.3148
2017-02-28,4.3148
2017-03-01,4.2958
2017-03-02,4.2941
2017-03-03,4.3007
2017-03-06,4.3091
2017-03-07,4.3075
2017-03-08,4.313
2017-03-09,4.3171
2017-03-10,4.3259
2017-03-13,4.3376
2017-03-14,4.3221
2017-03-15,4.3206
2017-03-16,4.2974
2017-03-17,4.2982
2017-03-20,4.282
2017-03-21,4.2628
2017-03-22,4.2816
2017-03-23,4.2685
2017-03-24,4.2695
2017-03-27,4.2641
2017-03-28,4.247
2017-03-29,4.2389
2017-03-30,4.2233
2017-03-31,4.2265
2017-04-03,4.2279
2017-04-04,4.2571
2017-04-05,4.2315
2017-04-06,4.2271
2017-04-07,4.2249
2017-04-10,4.2296
2017-04-11,4.2414
2017-04-12,4.2485
2017-04-13,4.245
2017-04-18,4.2363
2017-04-19,4.2358
2017-04-20,4.2588
2017-04-21,4.2727
2017-04-24,4.242
2017-04-25,4.2273
2017-04-26,4.2241
2017-04-27,4.2216
2017-04-28,4.2224
2017-05-02,4.2088
2017-05-03,4.1913
2017-05-04,4.2107
2017-05-05,4.2173
2017-05-08,4.2011
2017-05-09,4.2223
2017-05-10,4.218
2017-05-11,4.2242
2017-05-12,4.217
2017-05-15,4.2089
2017-05-16,4.1984
2017-05-17,4.1867
2017-05-18,4.2232
2017-05-19,4.2005
2017-05-22,4.1927
2017-05-23,4.198
2017-05-24,4.1867
2017-05-25,4.1793
2017-05-26,4.183
2017-05-29,4.1797
2017-05-30,4.176
2017-05-31,4.1712
2017-06-01,4.183
2017-06-02,4.1925
2017-06-05,4.1838
2017-06-06,4.1992
2017-06-07,4.1913
2017-06-08,4.2065
2017-06-09,4.1903
2017-06-12,4.1899
2017-06-13,4.1936
2017-06-14,4.1967
2017-06-15,4.2122
2017-06-16,4.2184
2017-06-19,4.2125
2017-06-20,4.2306
2017-06-21,4.2368
2017-06-22,4.2402
2017-06-23,4.232
2017-06-26,4.2108
2017-06-27,4.2151
2017-06-28,4.2375
2017-06-29,4.2489
2017-06-30,4.2259
2017-07-03,4.2355
2017-07-04,4.2426
2017-07-05,4.2463
2017-07-06,4.2478
2017-07-07,4.2322
2017-07-10,4.234
2017-07-11,4.246
2017-07-12,4.2444
2017-07-13,4.2332
2017-07-14,4.2172
2017-07-17,4.208
2017-07-18,4.2029
2017-07-19,4.2127
2017-07-20,4.21
2017-07-21,4.2364
2017-07-24,4.2408
2017-07-25,4.2571
2017-07-26,4.2613
2017-07-27,4.2541
2017-07-28,4.2493
2017-07-31,4.2493
2017-08-01,4.2563
2017-08-02,4.254
2017-08-03,4.2526
2017-08-04,4.241
2017-08-07,4.2518
2017-08-08,4.2554
2017-08-09,4.267
2017-08-10,4.2717
2017-08-11,4.2888
2017-08-14,4.2816
2017-08-15,4.2791
2017-08-16,4.2749
2017-08-17,4.2575
2017-08-18,4.2807
2017-08-21,4.2738
2017-08-22,4.2818
2017-08-23,4.2848
2017-08-24,4.2754
2017-08-25,4.2598
2017-08-28,4.2581
2017-08-29,4.2676
2017-08-30,4.2598
2017-08-31,4.2582
2017-09-01,4.2406
2017-09-04,4.2406
2017-09-05,4.2361
2017-09-06,4.2415
2017-09-07,4.2433
2017-09-08,4.2534
2017-09-11,4.244
2017-09-12,4.2549
2017-09-13,4.2798
2017-09-14,4.2843
2017-09-15,4.2761
2017-09-18,4.2884
2017-09-19,4.2785
2017-09-20,4.2774
2017-09-21,4.2805
2017-09-22,4.2672
2017-09-25,4.2681
2017-09-26,4.2824
2017-09-27,4.3027
2017-09-28,4.3122
2017-09-29,4.3042
2017-10-02,4.3132
2017-10-03,4.3102
2017-10-04,4.2971
2017-10-05,4.3
2017-10-06,4.3039
2017-10-09,4.3077
2017-10-10,4.2931
2017-10-11,4.2851
2017-10-12,4.273
2017-10-13,4.2555
2017-10-16,4.2378
2017-10-17,4.2298
2017-10-18,4.2277
2017-10-19,4.2392
2017-10-20,4.2363
2017-10-23,4.2266
2017-10-24,4.2403
2017-10-25,4.2355
2017-10-26,4.235
2017-10-27,4.2462
2017-10-30,4.2432
2017-10-31,4.244
2017-11-01,4.2338
2017-11-02,4.2376
2017-11-03,4.2383
2017-11-06,4.2408
2017-11-07,4.2396
2017-11-08,4.2341
2017-11-09,4.2346
2017-11-10,4.2308
2017-11-13,4.2349
2017-11-14,4.2381
2017-11-15,4.2473
2017-11-16,4.234
2017-11-17,4.2342
2017-11-20,4.2311
2017-11-21,4.229
2017-11-22,4.2155
2017-11-23,4.2124
2017-11-24,4.2109
2017-11-27,4.2087
2017-11-28,4.2069
2017-11-29,4.2006
2017-11-30,4.1955
2017-12-01,4.2129
2017-12-04,4.2026
2017-12-05,4.202
2017-12-06,4.2142
2017-12-07,4.2129
2017-12-08,4.202
2017-12-11,4.2033
2017-12-12,4.2044
2017-12-13,4.2146
2017-12-14,4.222
2017-12-15,4.2167
2017-12-18,4.207
2017-12-19,4.1993
2017-12-20,4.2041
2017-12-21,4.1998
2017-12-22,4.1975
2017-12-27,4.1884
2017-12-28,4.1808
2017-12-29,4.177
2018-01-02,4.1633
2018-01-03,4.1652
2018-01-04,4.1555
2018-01-05,4.1554
2018-01-08,4.1663
2018-01-09,4.1795
2018-01-10,4.1814
2018-01-11,4.1785
2018-01-12,4.1722
2018-01-15,4.1686
2018-01-16,4.1713
2018-01-17,4.1713
2018-01-18,4.1665
2018-01-19,4.1716
2018-01-22,4.1707
2018-01-23,4.1696
2018-01-24,4.1563
2018-01-25,4.1469
2018-01-26,4.1422
2018-01-29,4.1436
2018-01-30,4.1449
2018-01-31,4.1503
2018-02-01,4.1543
2018-02-02,4.1541
2018-02-05,4.1585
2018-02-06,4.1644
2018-02-07,4.1595
2018-02-08,4.1695
2018-02-09,4.1903
2018-02-12,4.1748
2018-02-13,4.1781
2018-02-14,4.1719
2018-02-15,4.1532
2018-02-16,4.1597
2018-02-19,4.146
2018-02-20,4.1467
2018-02-21,4.1589
2018-02-22,4.1819
2018-02-23,4.1698
2018-02-26,4.1697
2018-02-27,4.167
2018-02-28,4.1781
2018-03-01,4.1853
2018-03-02,4.1944
2018-03-05,4.1909
2018-03-06,4.1815
2018-03-07,4.1939
2018-03-08,4.2042
2018-03-09,4.2018
2018-03-12,4.2013
2018-03-13,4.2119
2018-03-14,4.2023
2018-03-15,4.2122
2018-03-16,4.2173
2018-03-19,4.2171
2018-03-20,4.2277
2018-03-21,4.2364
2018-03-22,4.2217
2018-03-23,4.2262
2018-03-26,4.23
2018-03-27,4.2196
2018-03-28,4.2072
2018-03-29,4.2106
2018-04-03,4.2087
2018-04-04,4.2035
2018-04-05,4.2041
2018-04-06,4.1983
2018-04-09,4.1952
2018-04-10,4.193
2018-04-11,4.1915
2018-04-12,4.1844
2018-04-13,4.1763
2018-04-16,4.1627
2018-04-17,4.1602
2018-04-18,4.1697
2018-04-19,4.1664
2018-04-20,4.1677
