Date,Singaporese dollar
2015-11-05,1.531
2015-11-06,1.5314
2015-11-09,1.535
2015-11-10,1.5234
2015-11-11,1.5236
2015-11-12,1.5246
2015-11-13,1.5305
2015-11-16,1.5253
2015-11-17,1.5175
2015-11-18,1.5185
2015-11-19,1.5129
2015-11-20,1.5093
2015-11-23,1.508
2015-11-24,1.5074
2015-11-25,1.4888
2015-11-26,1.4944
2015-11-27,1.4927
2015-11-30,1.494
2015-12-01,1.4947
2015-12-02,1.496
2015-12-03,1.501
2015-12-04,1.5216
2015-12-07,1.5191
2015-12-08,1.5363
2015-12-09,1.5383
2015-12-10,1.5338
2015-12-11,1.5436
2015-12-14,1.549
2015-12-15,1.5457
2015-12-16,1.5407
2015-12-17,1.5351
2015-12-18,1.53
2015-12-21,1.5307
2015-12-22,1.5379
2015-12-23,1.5366
2015-12-24,1.5396
2015-12-28,1.5436
2015-12-29,1.5467
2015-12-30,1.5449
2015-12-31,1.5417
2016-01-04,1.5533
2016-01-05,1.531
2016-01-06,1.5409
2016-01-07,1.5612
2016-01-08,1.5606
2016-01-11,1.5607
2016-01-12,1.557
2016-01-13,1.5492
2016-01-14,1.567
2016-01-15,1.5735
2016-01-18,1.5674
2016-01-19,1.5592
2016-01-20,1.5697
2016-01-21,1.567
2016-01-22,1.5421
2016-01-25,1.5469
2016-01-26,1.5498
2016-01-27,1.5542
2016-01-28,1.5556
2016-01-29,1.555
2016-02-01,1.55
2016-02-02,1.5586
2016-02-03,1.5631
2016-02-04,1.572
2016-02-05,1.5636
2016-02-08,1.564
2016-02-09,1.5767
2016-02-10,1.5674
2016-02-11,1.5774
2016-02-12,1.5756
2016-02-15,1.5643
2016-02-16,1.5656
2016-02-17,1.5703
2016-02-18,1.5564
2016-02-19,1.5617
2016-02-22,1.5469
2016-02-23,1.5484
2016-02-24,1.5478
2016-02-25,1.5463
2016-02-26,1.5428
2016-02-29,1.5325
2016-03-01,1.5238
2016-03-02,1.5226
2016-03-03,1.5158
2016-03-04,1.515
2016-03-07,1.5138
2016-03-08,1.5259
2016-03-09,1.5171
2016-03-10,1.5013
2016-03-11,1.5271
2016-03-14,1.5281
2016-03-15,1.5324
2016-03-16,1.5315
2016-03-17,1.5314
2016-03-18,1.5277
2016-03-21,1.5324
2016-03-22,1.526
2016-03-23,1.528
2016-03-24,1.5268
2016-03-29,1.5311
2016-03-30,1.5311
2016-03-31,1.5304
2016-04-01,1.5389
2016-04-04,1.5373
2016-04-05,1.543
2016-04-06,1.5373
2016-04-07,1.5369
2016-04-08,1.5335
2016-04-11,1.5341
2016-04-12,1.5354
2016-04-13,1.5265
2016-04-14,1.5346
2016-04-15,1.533
2016-04-18,1.5328
2016-04-19,1.5197
2016-04-20,1.5246
2016-04-21,1.5252
2016-04-22,1.5211
2016-04-25,1.5215
2016-04-26,1.528
2016-04-27,1.5251
2016-04-28,1.5273
2016-04-29,1.5311
2016-05-02,1.541
2016-05-03,1.5574
2016-05-04,1.5605
2016-05-05,1.5531
2016-05-06,1.5526
2016-05-09,1.5572
2016-05-10,1.5577
2016-05-11,1.561
2016-05-12,1.562
2016-05-13,1.5552
2016-05-16,1.5511
2016-05-17,1.5501
2016-05-18,1.5539
2016-05-19,1.545
2016-05-20,1.5499
2016-05-23,1.5478
2016-05-24,1.5445
2016-05-25,1.5372
2016-05-26,1.5381
2016-05-27,1.536
2016-05-30,1.5384
2016-05-31,1.5367
2016-06-01,1.5375
2016-06-02,1.5399
2016-06-03,1.5351
2016-06-06,1.5424
2016-06-07,1.5362
2016-06-08,1.5337
2016-06-09,1.5336
2016-06-10,1.5307
2016-06-13,1.5272
2016-06-14,1.5229
2016-06-15,1.5215
2016-06-16,1.5116
2016-06-17,1.5187
2016-06-20,1.5225
2016-06-21,1.5169
2016-06-22,1.5112
2016-06-23,1.5252
2016-06-24,1.4973
2016-06-27,1.4955
2016-06-28,1.5006
2016-06-29,1.4951
2016-06-30,1.4957
2016-07-01,1.4959
2016-07-04,1.4989
2016-07-05,1.504
2016-07-06,1.4969
2016-07-07,1.4934
2016-07-08,1.4903
2016-07-11,1.491
2016-07-12,1.4939
2016-07-13,1.4903
2016-07-14,1.4978
2016-07-15,1.4961
2016-07-18,1.49
2016-07-19,1.4921
2016-07-20,1.4962
2016-07-21,1.4931
2016-07-22,1.4934
