Datum,Prijs per MWh
2021-08-23,20.582
2021-08-24,21.017
2021-08-25,20.887
2021-08-26,20.932
2021-08-27,21.113
2021-08-30,21.437
2021-08-31,21.409
2021-09-01,21.41
2021-09-02,21.608
2021-09-03,21.592
2021-09-06,21.766
2021-09-07,21.581
2021-09-08,21.639
2021-09-09,21.857
2021-09-10,21.719
2021-09-13,21.861
2021-09-14,22.181
2021-09-15,22.718
2021-09-16,22.261
2021-09-17,22.493
2021-09-20,22.691
2021-09-21,22.779
2021-09-22,23.186
2021-09-23,24.01
2021-09-24,25.075
2021-09-27,25.882
2021-09-28,25.924
2021-09-29,26.636
2021-09-30,27.248
2021-10-01,27.179
2021-10-04,28.5
2021-10-05,29.031
2021-10-06,27.406
2021-10-07,26.958
2021-10-08,26.936
2021-10-11,26.888
2021-10-12,27.22
2021-10-13,27.017
2021-10-14,26.981
2021-10-15,27.685
2021-10-18,28.343
2021-10-19,28.211
2021-10-20,28.296
2021-10-21,27.86
2021-10-22,27.946
2021-10-25,28.278
2021-10-26,28.257
2021-10-27,27.794
2021-10-28,26.793
2021-10-29,26.718
2021-11-01,26.393
2021-11-02,26.867
2021-11-03,27.244
2021-11-04,26.892
2021-11-05,26.935
2021-11-08,27.536
2021-11-09,26.368
2021-11-10,26.576
2021-11-11,26.683
2021-11-12,26.718
2021-11-15,26.944
2021-11-16,27.656
2021-11-17,27.736
2021-11-18,29.392
2021-11-19,28.731
2021-11-22,28.391
2021-11-23,28.879
2021-11-24,30.082
2021-11-25,31.057
2021-11-26,29.767
2021-11-29,30.745
2021-11-30,30.781
2021-12-01,31.065
2021-12-02,31.005
2021-12-03,31.058
2021-12-06,31.438
2021-12-07,32.337
2021-12-08,33.297
2021-12-09,31.862
2021-12-10,32.742
2021-12-13,32.765
2021-12-14,32.023
2021-12-15,32.099
2021-12-16,33.751
2021-12-17,34.169
2021-12-20,36.683
2021-12-21,38.257
2021-12-22,37.024
2021-12-23,36.96
2021-12-24,35.77
2021-12-27,34.532
2021-12-28,36.491
2021-12-29,36.648
2021-12-30,35.35
2021-12-31,33.896
2022-01-03,35.643
2022-01-04,37.13
2022-01-05,38.097
2022-01-06,38.947
2022-01-07,36.989
2022-01-10,36.891
2022-01-11,36.59
2022-01-12,35.901
2022-01-13,36.181
2022-01-14,35.892
2022-01-17,35.768
