,Datum,Totaal aantal patiënten in ICU
0,2020-03-06,0.0
1,2020-03-07,0.0
2,2020-03-08,0.0
3,2020-03-09,0.0
4,2020-03-10,0.0
5,2020-03-11,2.0
6,2020-03-12,15.0
7,2020-03-13,26.0
8,2020-03-14,35.0
9,2020-03-15,53.0
10,2020-03-16,79.0
11,2020-03-17,100.0
12,2020-03-18,130.0
13,2020-03-19,164.0
14,2020-03-20,229.0
15,2020-03-21,290.0
16,2020-03-22,326.0
17,2020-03-23,385.0
18,2020-03-24,487.0
19,2020-03-25,612.0
20,2020-03-26,699.0
21,2020-03-27,789.0
22,2020-03-28,867.0
23,2020-03-29,961.0
24,2020-03-30,1021.0
25,2020-03-31,1088.0
26,2020-04-01,1144.0
27,2020-04-02,1205.0
28,2020-04-03,1256.0
29,2020-04-04,1261.0
30,2020-04-05,1267.0
31,2020-04-06,1260.0
32,2020-04-07,1276.0
33,2020-04-08,1286.0
34,2020-04-09,1279.0
35,2020-04-10,1262.0
36,2020-04-11,1251.0
37,2020-04-12,1253.0
38,2020-04-13,1226.0
39,2020-04-14,1204.0
40,2020-04-15,1182.0
41,2020-04-16,1150.0
42,2020-04-17,1119.0
43,2020-04-18,1081.0
44,2020-04-19,1071.0
45,2020-04-20,1079.0
46,2020-04-21,1020.0
47,2020-04-22,993.0
48,2020-04-23,970.0
49,2020-04-24,934.0
50,2020-04-25,901.0
51,2020-04-26,903.0
52,2020-04-27,876.0
53,2020-04-28,797.0
54,2020-04-29,769.0
55,2020-04-30,749.0
56,2020-05-01,690.0
57,2020-05-02,684.0
58,2020-05-03,655.0
59,2020-05-04,646.0
60,2020-05-05,582.0
61,2020-05-06,542.0
62,2020-05-07,508.0
63,2020-05-08,502.0
64,2020-05-09,475.0
65,2020-05-10,477.0
66,2020-05-11,465.0
67,2020-05-12,427.0
68,2020-05-13,407.0
69,2020-05-14,380.0
70,2020-05-15,364.0
71,2020-05-16,345.0
72,2020-05-17,342.0
73,2020-05-18,345.0
74,2020-05-19,313.0
75,2020-05-20,277.0
76,2020-05-21,268.0
77,2020-05-22,259.0
78,2020-05-23,256.0
79,2020-05-24,251.0
80,2020-05-25,249.0
81,2020-05-26,223.0
82,2020-05-27,209.0
83,2020-05-28,187.0
84,2020-05-29,173.0
85,2020-05-30,168.0
86,2020-05-31,164.0
87,2020-06-01,166.0
88,2020-06-02,172.0
89,2020-06-03,145.0
90,2020-06-04,137.0
91,2020-06-05,121.0
92,2020-06-06,111.0
93,2020-06-07,116.0
94,2020-06-08,115.0
95,2020-06-09,102.0
96,2020-06-10,99.0
97,2020-06-11,89.0
98,2020-06-12,88.0
99,2020-06-13,82.0
100,2020-06-14,85.0
101,2020-06-15,76.0
102,2020-06-16,67.0
103,2020-06-17,60.0
104,2020-06-18,52.0
105,2020-06-19,50.0
106,2020-06-20,53.0
107,2020-06-21,50.0
108,2020-06-22,42.0
109,2020-06-23,41.0
110,2020-06-24,40.0
111,2020-06-25,38.0
112,2020-06-26,36.0
113,2020-06-27,34.0
114,2020-06-28,36.0
115,2020-06-29,41.0
116,2020-06-30,37.0
117,2020-07-01,36.0
118,2020-07-02,35.0
119,2020-07-03,32.0
120,2020-07-04,29.0
121,2020-07-05,30.0
122,2020-07-06,27.0
123,2020-07-07,32.0
124,2020-07-08,32.0
125,2020-07-09,36.0
126,2020-07-10,32.0
127,2020-07-11,28.0
128,2020-07-12,27.0
129,2020-07-13,23.0
130,2020-07-14,27.0
131,2020-07-15,27.0
132,2020-07-16,28.0
133,2020-07-17,28.0
134,2020-07-18,30.0
135,2020-07-19,31.0
136,2020-07-20,36.0
137,2020-07-21,33.0
138,2020-07-22,41.0
139,2020-07-23,40.0
140,2020-07-24,41.0
141,2020-07-25,44.0
142,2020-07-26,47.0
143,2020-07-27,52.0
144,2020-07-28,49.0
145,2020-07-29,47.0
146,2020-07-30,42.0
147,2020-07-31,48.0
148,2020-08-01,56.0
149,2020-08-02,58.0
150,2020-08-03,54.0
151,2020-08-04,63.0
152,2020-08-05,61.0
153,2020-08-06,65.0
154,2020-08-07,69.0
155,2020-08-08,67.0
156,2020-08-09,69.0
157,2020-08-10,73.0
158,2020-08-11,77.0
159,2020-08-12,76.0
160,2020-08-13,74.0
161,2020-08-14,80.0
162,2020-08-15,82.0
163,2020-08-16,86.0
164,2020-08-17,91.0
165,2020-08-18,89.0
166,2020-08-19,83.0
167,2020-08-20,82.0
168,2020-08-21,84.0
169,2020-08-22,85.0
170,2020-08-23,87.0
171,2020-08-24,89.0
172,2020-08-25,85.0
173,2020-08-26,81.0
174,2020-08-27,82.0
175,2020-08-28,77.0
176,2020-08-29,72.0
177,2020-08-30,71.0
178,2020-08-31,74.0
179,2020-09-01,68.0
180,2020-09-02,60.0
181,2020-09-03,58.0
182,2020-09-04,52.0
183,2020-09-05,53.0
184,2020-09-06,53.0
185,2020-09-07,52.0
186,2020-09-08,59.0
187,2020-09-09,60.0
188,2020-09-10,65.0
189,2020-09-11,67.0
190,2020-09-12,68.0
191,2020-09-13,71.0
192,2020-09-14,72.0
193,2020-09-15,67.0
194,2020-09-16,74.0
195,2020-09-17,69.0
196,2020-09-18,78.0
197,2020-09-19,78.0
198,2020-09-20,77.0
199,2020-09-21,87.0
200,2020-09-22,94.0
201,2020-09-23,95.0
202,2020-09-24,104.0
203,2020-09-25,110.0
204,2020-09-26,120.0
205,2020-09-27,135.0
206,2020-09-28,140.0
207,2020-09-29,150.0
208,2020-09-30,157.0
209,2020-10-01,156.0
210,2020-10-02,163.0
211,2020-10-03,185.0
212,2020-10-04,186.0
213,2020-10-05,195.0
214,2020-10-06,189.0
215,2020-10-07,201.0
216,2020-10-08,213.0
217,2020-10-09,214.0
218,2020-10-10,228.0
219,2020-10-11,245.0
220,2020-10-12,268.0
221,2020-10-13,281.0
222,2020-10-14,313.0
223,2020-10-15,327.0
224,2020-10-16,358.0
225,2020-10-17,384.0
226,2020-10-18,412.0
227,2020-10-19,446.0
228,2020-10-20,487.0
229,2020-10-21,525.0
230,2020-10-22,573.0
231,2020-10-23,633.0
232,2020-10-24,694.0
233,2020-10-25,756.0
234,2020-10-26,812.0
235,2020-10-27,912.0
236,2020-10-28,994.0
237,2020-10-29,1057.0
238,2020-10-30,1105.0
239,2020-10-31,1161.0
240,2020-11-01,1223.0
241,2020-11-02,1302.0
242,2020-11-03,1353.0
243,2020-11-04,1412.0
244,2020-11-05,1428.0
245,2020-11-06,1459.0
246,2020-11-07,1464.0
247,2020-11-08,1470.0
248,2020-11-09,1474.0
249,2020-11-10,1470.0
250,2020-11-11,1463.0
251,2020-11-12,1456.0
252,2020-11-13,1457.0
253,2020-11-14,1423.0
254,2020-11-15,1439.0
255,2020-11-16,1408.0
256,2020-11-17,1356.0
257,2020-11-18,1323.0
258,2020-11-19,1286.0
259,2020-11-20,1256.0
260,2020-11-21,1201.0
261,2020-11-22,1194.0
262,2020-11-23,1168.0
263,2020-11-24,1105.0
264,2020-11-25,1071.0
265,2020-11-26,1034.0
266,2020-11-27,997.0
267,2020-11-28,946.0
268,2020-11-29,904.0
269,2020-11-30,900.0
270,2020-12-01,854.0
271,2020-12-02,829.0
272,2020-12-03,786.0
273,2020-12-04,789.0
274,2020-12-05,753.0
275,2020-12-06,744.0
276,2020-12-07,724.0
277,2020-12-08,677.0
278,2020-12-09,662.0
279,2020-12-10,658.0
280,2020-12-11,646.0
281,2020-12-12,627.0
282,2020-12-13,617.0
283,2020-12-14,615.0
284,2020-12-15,594.0
285,2020-12-16,571.0
286,2020-12-17,562.0
287,2020-12-18,547.0
288,2020-12-19,541.0
289,2020-12-20,543.0
290,2020-12-21,546.0
291,2020-12-22,536.0
292,2020-12-23,512.0
293,2020-12-24,514.0
294,2020-12-25,511.0
295,2020-12-26,493.0
296,2020-12-27,491.0
297,2020-12-28,510.0
298,2020-12-29,498.0
299,2020-12-30,496.0
300,2020-12-31,494.0
301,2021-01-01,489.0
302,2021-01-02,481.0
303,2021-01-03,468.0
304,2021-01-04,464.0
305,2021-01-05,430.0
306,2021-01-06,404.0
307,2021-01-07,381.0
308,2021-01-08,377.0
309,2021-01-09,379.0
310,2021-01-10,371.0
311,2021-01-11,378.0
312,2021-01-12,356.0
313,2021-01-13,360.0
314,2021-01-14,346.0
315,2021-01-15,345.0
316,2021-01-16,352.0
317,2021-01-17,367.0
318,2021-01-18,369.0
319,2021-01-19,361.0
320,2021-01-20,337.0
321,2021-01-21,338.0
322,2021-01-22,338.0
323,2021-01-23,327.0
324,2021-01-24,322.0
325,2021-01-25,325.0
326,2021-01-26,322.0
327,2021-01-27,313.0
328,2021-01-28,323.0
329,2021-01-29,315.0
330,2021-01-30,315.0
331,2021-01-31,315.0
332,2021-02-01,325.0
333,2021-02-02,311.0
334,2021-02-03,310.0
335,2021-02-04,306.0
336,2021-02-05,304.0
337,2021-02-06,292.0
338,2021-02-07,300.0
339,2021-02-08,302.0
340,2021-02-09,308.0
341,2021-02-10,303.0
342,2021-02-11,294.0
343,2021-02-12,295.0
344,2021-02-13,298.0
345,2021-02-14,307.0
346,2021-02-15,319.0
347,2021-02-16,311.0
348,2021-02-17,315.0
349,2021-02-18,314.0
350,2021-02-19,314.0
351,2021-02-20,316.0
352,2021-02-21,329.0
353,2021-02-22,348.0
354,2021-02-23,353.0
355,2021-02-24,362.0
356,2021-02-25,369.0
357,2021-02-26,393.0
358,2021-02-27,397.0
359,2021-02-28,407.0
360,2021-03-01,413.0
361,2021-03-02,426.0
362,2021-03-03,434.0
363,2021-03-04,426.0
364,2021-03-05,433.0
365,2021-03-06,416.0
366,2021-03-07,425.0
367,2021-03-08,436.0
368,2021-03-09,441.0
369,2021-03-10,452.0
370,2021-03-11,448.0
371,2021-03-12,468.0
372,2021-03-13,474.0
373,2021-03-14,485.0
374,2021-03-15,503.0
375,2021-03-16,522.0
376,2021-03-17,534.0
377,2021-03-18,543.0
378,2021-03-19,550.0
379,2021-03-20,557.0
380,2021-03-21,569.0
381,2021-03-22,589.0
382,2021-03-23,601.0
383,2021-03-24,636.0
384,2021-03-25,652.0
385,2021-03-26,667.0
386,2021-03-27,701.0
387,2021-03-28,712.0
388,2021-03-29,740.0
389,2021-03-30,737.0
390,2021-03-31,756.0
391,2021-04-01,790.0
392,2021-04-02,801.0
393,2021-04-03,821.0
394,2021-04-04,831.0
395,2021-04-05,866.0
396,2021-04-06,892.0
397,2021-04-07,909.0
398,2021-04-08,911.0
399,2021-04-09,925.0
400,2021-04-10,905.0
401,2021-04-11,899.0
402,2021-04-12,919.0
403,2021-04-13,947.0
404,2021-04-14,941.0
405,2021-04-15,930.0
406,2021-04-16,923.0
407,2021-04-17,923.0
408,2021-04-18,931.0
409,2021-04-19,946.0
410,2021-04-20,926.0
411,2021-04-21,935.0
412,2021-04-22,910.0
413,2021-04-23,901.0
414,2021-04-24,886.0
415,2021-04-25,886.0
416,2021-04-26,892.0
417,2021-04-27,892.0
418,2021-04-28,888.0
419,2021-04-29,864.0
420,2021-04-30,855.0
421,2021-05-01,824.0
422,2021-05-02,825.0
423,2021-05-03,831.0
424,2021-05-04,795.0
425,2021-05-05,757.0
426,2021-05-06,744.0
427,2021-05-07,727.0
428,2021-05-08,707.0
429,2021-05-09,702.0
430,2021-05-10,710.0
431,2021-05-11,686.0
432,2021-05-12,660.0
433,2021-05-13,644.0
434,2021-05-14,643.0
435,2021-05-15,621.0
436,2021-05-16,619.0
437,2021-05-17,613.0
438,2021-05-18,595.0
439,2021-05-19,589.0
440,2021-05-20,562.0
441,2021-05-21,540.0
442,2021-05-22,544.0
443,2021-05-23,542.0
444,2021-05-24,542.0
445,2021-05-25,531.0
446,2021-05-26,508.0
447,2021-05-27,491.0
448,2021-05-28,469.0
449,2021-05-29,451.0
450,2021-05-30,442.0
451,2021-05-31,439.0
452,2021-06-01,404.0
453,2021-06-02,378.0
454,2021-06-03,365.0
455,2021-06-04,342.0
456,2021-06-05,337.0
457,2021-06-06,331.0
458,2021-06-07,336.0
459,2021-06-08,319.0
460,2021-06-09,309.0
461,2021-06-10,302.0
462,2021-06-11,300.0
463,2021-06-12,285.0
464,2021-06-13,274.0
465,2021-06-14,276.0
466,2021-06-15,256.0
467,2021-06-16,247.0
468,2021-06-17,234.0
469,2021-06-18,212.0
470,2021-06-19,203.0
471,2021-06-20,204.0
472,2021-06-21,206.0
473,2021-06-22,184.0
474,2021-06-23,183.0
475,2021-06-24,175.0
476,2021-06-25,157.0
477,2021-06-26,149.0
478,2021-06-27,150.0
479,2021-06-28,147.0
480,2021-06-29,143.0
481,2021-06-30,134.0
482,2021-07-01,126.0
483,2021-07-02,123.0
484,2021-07-03,115.0
485,2021-07-04,113.0
486,2021-07-05,112.0
487,2021-07-06,101.0
488,2021-07-07,99.0
489,2021-07-08,96.0
490,2021-07-09,93.0
491,2021-07-10,87.0
492,2021-07-11,83.0
493,2021-07-12,89.0
494,2021-07-13,90.0
495,2021-07-14,82.0
496,2021-07-15,86.0
497,2021-07-16,81.0
498,2021-07-17,81.0
499,2021-07-18,88.0
500,2021-07-19,84.0
501,2021-07-20,87.0
502,2021-07-21,85.0
503,2021-07-22,83.0
504,2021-07-23,84.0
505,2021-07-24,89.0
506,2021-07-25,94.0
507,2021-07-26,97.0
508,2021-07-27,94.0
509,2021-07-28,96.0
510,2021-07-29,93.0
511,2021-07-30,96.0
512,2021-07-31,93.0
513,2021-08-01,95.0
514,2021-08-02,97.0
515,2021-08-03,94.0
516,2021-08-04,92.0
517,2021-08-05,94.0
518,2021-08-06,98.0
519,2021-08-07,102.0
520,2021-08-08,106.0
521,2021-08-09,120.0
522,2021-08-10,120.0
523,2021-08-11,124.0
524,2021-08-12,132.0
525,2021-08-13,136.0
526,2021-08-14,142.0
527,2021-08-15,147.0
528,2021-08-16,158.0
529,2021-08-17,162.0
530,2021-08-18,172.0
531,2021-08-19,178.0
532,2021-08-20,179.0
533,2021-08-21,178.0
534,2021-08-22,176.0
535,2021-08-23,173.0
536,2021-08-24,171.0
537,2021-08-25,176.0
538,2021-08-26,182.0
539,2021-08-27,185.0
540,2021-08-28,194.0
541,2021-08-29,191.0
542,2021-08-30,201.0
543,2021-08-31,192.0
544,2021-09-01,193.0
545,2021-09-02,195.0
546,2021-09-03,200.0
547,2021-09-04,218.0
548,2021-09-05,229.0
549,2021-09-06,237.0
550,2021-09-07,226.0
551,2021-09-08,220.0
552,2021-09-09,217.0
553,2021-09-10,228.0
554,2021-09-11,219.0
555,2021-09-12,218.0
556,2021-09-13,224.0
557,2021-09-14,219.0
558,2021-09-15,215.0
559,2021-09-16,220.0
560,2021-09-17,213.0
561,2021-09-18,213.0
562,2021-09-19,215.0
563,2021-09-20,222.0
564,2021-09-21,214.0
565,2021-09-22,217.0
566,2021-09-23,216.0
567,2021-09-24,209.0
568,2021-09-25,196.0
569,2021-09-26,202.0
570,2021-09-27,206.0
571,2021-09-28,207.0
572,2021-09-29,217.0
573,2021-09-30,213.0
574,2021-10-01,204.0
575,2021-10-02,203.0
576,2021-10-03,197.0
577,2021-10-04,211.0
578,2021-10-05,210.0
579,2021-10-06,209.0
580,2021-10-07,195.0
581,2021-10-08,204.0
582,2021-10-09,196.0
583,2021-10-10,193.0
584,2021-10-11,197.0
585,2021-10-12,201.0
586,2021-10-13,201.0
587,2021-10-14,193.0
588,2021-10-15,190.0
589,2021-10-16,202.0
590,2021-10-17,209.0
591,2021-10-18,232.0
592,2021-10-19,230.0
593,2021-10-20,240.0
594,2021-10-21,232.0
595,2021-10-22,251.0
596,2021-10-23,246.0
597,2021-10-24,256.0
598,2021-10-25,264.0
599,2021-10-26,260.0
600,2021-10-27,256.0
601,2021-10-28,257.0
602,2021-10-29,277.0
603,2021-10-30,298.0
604,2021-10-31,305.0
605,2021-11-01,324.0
606,2021-11-02,337.0
607,2021-11-03,343.0
608,2021-11-04,363.0
609,2021-11-05,384.0
610,2021-11-06,379.0
611,2021-11-07,391.0
612,2021-11-08,418.0
613,2021-11-09,434.0
614,2021-11-10,451.0
615,2021-11-11,471.0
616,2021-11-12,487.0
617,2021-11-13,489.0
618,2021-11-14,507.0
619,2021-11-15,540.0
620,2021-11-16,557.0
621,2021-11-17,568.0
622,2021-11-18,577.0
623,2021-11-19,603.0
624,2021-11-20,618.0
625,2021-11-21,632.0
626,2021-11-22,654.0
627,2021-11-23,657.0
628,2021-11-24,659.0
629,2021-11-25,669.0
630,2021-11-26,682.0
631,2021-11-27,696.0
632,2021-11-28,722.0
633,2021-11-29,760.0
634,2021-11-30,780.0
635,2021-12-01,793.0
636,2021-12-02,821.0
637,2021-12-03,804.0
638,2021-12-04,804.0
639,2021-12-05,809.0
640,2021-12-06,817.0
641,2021-12-07,815.0
642,2021-12-08,825.0
643,2021-12-09,827.0
644,2021-12-10,838.0
645,2021-12-11,839.0
646,2021-12-12,827.0
647,2021-12-13,838.0
648,2021-12-14,815.0
649,2021-12-15,804.0
650,2021-12-16,789.0
651,2021-12-17,761.0
652,2021-12-18,766.0
653,2021-12-19,743.0
654,2021-12-20,730.0
655,2021-12-21,709.0
656,2021-12-22,692.0
657,2021-12-23,660.0
658,2021-12-24,651.0
659,2021-12-25,640.0
660,2021-12-26,629.0
661,2021-12-27,613.0
662,2021-12-28,580.0
663,2021-12-29,564.0
664,2021-12-30,537.0
665,2021-12-31,532.0
666,2022-01-01,513.0
667,2022-01-02,508.0
668,2022-01-03,520.0
669,2022-01-04,503.0
670,2022-01-05,471.0
671,2022-01-06,473.0
672,2022-01-07,464.0
673,2022-01-08,438.0
674,2022-01-09,442.0
675,2022-01-10,439.0
676,2022-01-11,450.0
677,2022-01-12,423.0
678,2022-01-13,406.0
679,2022-01-14,404.0
680,2022-01-15,393.0
681,2022-01-16,391.0
682,2022-01-17,396.0
683,2022-01-18,389.0
684,2022-01-19,388.0
685,2022-01-20,367.0
686,2022-01-21,364.0
687,2022-01-22,359.0
688,2022-01-23,361.0
689,2022-01-24,371.0
690,2022-01-25,366.0
691,2022-01-26,353.0
692,2022-01-27,359.0
693,2022-01-28,367.0
694,2022-01-29,376.0
695,2022-01-30,387.0
696,2022-01-31,406.0
697,2022-02-01,419.0
698,2022-02-02,432.0
699,2022-02-03,431.0
700,2022-02-04,428.0
701,2022-02-05,415.0
702,2022-02-06,429.0
703,2022-02-07,440.0
704,2022-02-08,433.0
705,2022-02-09,430.0
706,2022-02-10,403.0
707,2022-02-11,397.0
708,2022-02-12,381.0
709,2022-02-13,371.0
710,2022-02-14,380.0
711,2022-02-15,364.0
712,2022-02-16,352.0
713,2022-02-17,350.0
714,2022-02-18,338.0
715,2022-02-19,330.0
716,2022-02-20,315.0
717,2022-02-21,315.0
718,2022-02-22,285.0
719,2022-02-23,289.0
720,2022-02-24,269.0
721,2022-02-25,250.0
722,2022-02-26,231.0
723,2022-02-27,241.0
724,2022-02-28,240.0
725,2022-03-01,224.0
726,2022-03-02,214.0
727,2022-03-03,227.0
728,2022-03-04,217.0
729,2022-03-05,212.0
730,2022-03-06,208.0
731,2022-03-07,206.0
