maand,medewerkers
2018-01-15,13514.0
2018-02-15,11364.0
2018-03-15,14727.0
2018-04-15,9766.0
2018-05-15,13789.0
2018-06-15,11188.0
2018-07-15,4681.0
2018-08-15,3559.0
2018-09-15,10257.0
2018-10-15,13505.0
2018-11-15,12949.0
2018-12-15,9300.0
2019-01-15,13661.0
2019-02-15,12836.0
2019-03-15,12584.0
2019-04-15,10113.0
2019-05-15,13800.0
2019-06-15,11023.0
2019-07-15,5382.0
2019-08-15,4163.0
2019-09-15,11224.0
2019-10-15,12958.0
2019-11-15,12537.0
2019-12-15,8101.0
2020-01-15,11814.0
2020-02-15,10192.0
2020-03-15,5529.0
2020-04-15,1119.0
2020-05-15,3506.0
2020-06-15,7240.0
2020-07-15,4530.0
2020-08-15,3824.0
2020-09-15,8815.0
2020-10-15,9761.0
2020-11-15,7685.0
2020-12-15,6404.0
2021-01-15,9510.0
2021-02-15,9259.0
2021-03-15,10470.0
2021-04-15,7347.0
2021-05-15,9042.0
2021-06-15,9706.0
2021-07-15,3903.0
2021-08-15,3801.0
2021-09-15,8338.0
2021-10-15,8765.0
2021-11-15,7856.0
2021-12-15,5533.0
2022-01-15,7280.0
2022-02-15,8501.0
2022-03-15,8325.0
2022-04-15,5923.0
2022-05-15,8348.0
2022-06-15,8213.0
2022-07-15,3171.0
2022-08-15,3615.0
2022-09-15,9042.0
2022-10-15,8989.0
2022-11-15,8750.0
2022-12-15,6881.0
2023-01-15,10139.0
2023-02-15,8082.0
2023-03-15,9894.0
2023-04-15,7684.0
2023-05-15,8361.0
2023-06-15,8935.0
2023-07-15,3696.0
2023-08-15,3643.0
2023-09-15,8205.0
2023-10-15,9573.0
2023-11-15,9308.0
2023-12-15,5519.0
2024-01-15,8133.0
2024-02-15,8405.0
2024-03-15,8144.0
2024-04-15,7304.0
2024-05-15,1771.0
