maand,opleidingsdagen
2018-01-15,13514.0
2018-02-15,11364.0
2018-03-15,14727.0
2018-04-15,9766.0
2018-05-15,13789.0
2018-06-15,11188.0
2018-07-15,4681.0
2018-08-15,3559.0
2018-09-15,10257.0
2018-10-15,13505.0
2018-11-15,12949.0
2018-12-15,9300.0
2019-01-15,13662.0
2019-02-15,12837.0
2019-03-15,12584.0
2019-04-15,10114.0
2019-05-15,13800.0
2019-06-15,11024.0
2019-07-15,5382.0
2019-08-15,4164.0
2019-09-15,11224.0
2019-10-15,12959.0
2019-11-15,12538.0
2019-12-15,8101.0
2020-01-15,11815.0
2020-02-15,10193.0
2020-03-15,5529.0
2020-04-15,1119.0
2020-05-15,3506.0
2020-06-15,7241.0
2020-07-15,4531.0
2020-08-15,3824.0
2020-09-15,8816.0
2020-10-15,9762.0
2020-11-15,7686.0
2020-12-15,6404.0
2021-01-15,9512.0
2021-02-15,9260.0
2021-03-15,10471.0
2021-04-15,7347.0
2021-05-15,9042.0
2021-06-15,9708.0
2021-07-15,3903.0
2021-08-15,3801.0
2021-09-15,8339.0
2021-10-15,8765.0
2021-11-15,7857.0
2021-12-15,5533.0
2022-01-15,7281.0
2022-02-15,8503.0
2022-03-15,8326.0
2022-04-15,5924.0
2022-05-15,8348.0
2022-06-15,8214.0
2022-07-15,3171.0
2022-08-15,3615.0
2022-09-15,9043.0
2022-10-15,8990.0
2022-11-15,8752.0
2022-12-15,6882.0
2023-01-15,10140.0
2023-02-15,8083.0
2023-03-15,9894.0
2023-04-15,7685.0
2023-05-15,8363.0
2023-06-15,8939.0
2023-07-15,3696.0
2023-08-15,3650.0
2023-09-15,8214.0
2023-10-15,9578.0
2023-11-15,9312.0
2023-12-15,5520.0
2024-01-15,8132.0
2024-02-15,8406.0
2024-03-15,8144.0
2024-04-15,7311.0
2024-05-15,6710.0
2024-06-15,6357.0
2024-07-15,3315.0
2024-08-15,2883.0
2024-09-15,1403.0
