maand,Totaal afgeschafte treinen,Aantal gedeeltelijk afgeschafte treinen,Aantal volledig afgeschafte treinen,Aantal treinen,Percentage afgeschafte treinen
2022-02,4121,2499,1622,86586,4.543199532560883
2023-02,4712,3025,1687,86587,5.161064195664794
2023-04,3265,2417,848,86211,3.649023201752425
2020-02,2640,1982,658,90604,2.831281369310626
2020-03,2843,1526,1317,83259,3.301897749181203
2020-08,2032,1337,695,92161,2.157272833437729
2020-12,1841,1327,514,95739,1.8866571018651364
2021-10,3081,2207,874,97323,3.0686028445081868
2021-11,3132,2255,877,93026,3.257139291582604
2022-04,3883,2152,1731,88920,4.184131978492075
2022-10,3774,2704,1070,93931,3.8626477662350953
2022-12,5665,3525,2140,93580,5.7080961257494085
2023-03,3996,2797,1199,95159,4.030053955927588
2024-02,4217,3154,1063,94404,4.275965565143326
2021-01,2245,1645,600,96572,2.2718762965886437
2021-05,2282,1689,593,94959,2.3467467426291377
2021-07,4786,2360,2426,91487,4.971279590331661
2022-05,3587,2436,1151,94391,3.6610259445998077
2022-09,3469,2278,1191,96277,3.4778336975918833
2023-08,2895,2113,782,91167,3.0777572239586655
2023-10,4127,2962,1165,96485,4.101896394068302
2020-10,1920,1405,515,97959,1.9223260144775176
2020-11,1920,1507,413,88245,2.1294293794709698
2021-03,2722,2055,667,96579,2.7411607133865723
2022-03,3704,2420,1284,99095,3.6031478905436822
2022-06,3867,2476,1391,94911,3.9148393366944054
2022-11,3202,2247,955,84264,3.660851073560012
2023-09,3560,2610,950,92743,3.6966657321163408
2020-01,2026,1388,638,97908,2.027338043108452
2020-04,694,421,273,53148,1.2889565766501987
2020-05,1615,1213,402,88333,1.7954818339485035
2020-06,1824,1375,449,92151,1.9409417398244213
2020-07,1650,1208,442,93674,1.7309386932986444
2020-09,2153,1576,577,95789,2.198239774560454
2021-02,3505,2220,1285,87632,3.8458584329086976
2021-04,1928,1522,406,90396,2.0882977340669817
2021-06,3085,2298,787,97017,3.0818565063635095
2021-08,2063,1458,605,93845,2.1510197272386034
2021-09,2673,2007,666,96086,2.7065887665934247
2021-12,2764,1859,905,97831,2.747651473731299
2022-01,2695,1658,1037,93742,2.7945705486483403
2022-07,3549,2243,1306,92051,3.712343096234309
2022-08,2563,1690,873,93494,2.6682074185119253
2023-01,3028,2166,862,97203,3.0210214404725084
2023-05,4563,3254,1309,92355,4.708103757815885
2023-06,4532,3201,1331,93562,4.6200583114155815
2023-07,2583,1897,686,88457,2.8372144112478033
2023-11,4771,3421,1350,86765,5.212156965565461
2023-12,4054,2743,1311,90761,4.275694774033644
2024-01,6081,3867,2214,98184,5.832254351891814
