Datum,Aangemelde instantie,Goederen,Reizigers,Toeristische verenigingen
2007-02-15,0.0,5874234.1,20997967.18,0.0
2007-05-15,0.0,4877220.7,20740508.45,0.0
2007-08-15,0.0,4587141.98,21070631.89,0.0
2007-11-15,0.0,4763648.52,20675983.27,0.0
2008-02-15,0.0,5004787.48,21054748.19,699.5
2008-05-15,0.0,4900164.71,20784968.48,2222.08
2008-08-15,0.0,4825880.28,21387544.01,1000.73
2008-11-15,0.0,4147937.55,20970388.21,580.67
2009-02-15,0.0,3458557.89,21003079.55,1275.24
2009-05-15,0.0,3074236.59,21124345.05,2056.63
2009-08-15,0.0,3067105.38,21702211.13,3404.58
2009-11-15,0.0,3309455.06,21282034.38,675.17
2010-02-15,0.0,3394626.24,21221590.5,1336.55
2010-05-15,0.0,3674258.64,21326561.68,4653.4
2010-08-15,2818.52,3550028.77,21910522.27,3999.19
2010-11-15,14642.81,3354182.55,21347243.53,2618.74
2011-02-15,14703.14,3761212.36,21551992.37,635.44
2011-05-15,19287.63,3705561.95,21453864.23,3166.86
2011-08-15,3467.42,3714216.85,21625421.62,3968.86
2011-11-15,11514.78,3493260.15,21277501.87,2598.72
2012-02-15,6061.55,3634172.58,21326088.79,1818.42
2012-05-15,4934.88,3435993.44,21329672.04,4136.93
2012-08-15,10140.46,3231259.57,21573340.88,2284.36
2012-11-15,4364.83,3080420.88,21094612.41,1306.06
2013-02-15,5479.87,3135654.83,20698716.34,3350.75
2013-05-15,5353.46,3215472.8,20913009.83,4250.81
2013-08-15,3655.746,3142739.256,21408229.793,1981.479
2013-11-15,4955.705,3080406.753,21069005.688,1823.89
2014-02-15,3210.668,3247804.878,21058212.98,118.879
2014-05-15,2660.326,3162908.106,20783524.005,2027.28
2014-08-15,2652.033,3158138.45,21359568.705,1074.565
2014-11-15,11797.596,3026335.314,20535016.441,2360.476
2015-02-15,5073.553,3276056.395,20940128.269,717.563
2015-05-15,7020.451,3287145.688,20355939.324,2400.008
2015-08-15,8280.192,3196457.211,21107351.5,0.0
2015-11-15,5483.233,3225648.857,20950346.48,65.181
2016-02-15,6147.38,3284587.2,20724455.96,283.05
2016-05-15,7461.06,3325779.52,19979336.99,61.26
2016-08-15,5925.77,3222281.41,21200385.14,0.0
2016-11-15,14710.68,3213396.55,21128935.2,13.52
2017-02-15,5838.58,3331902.43,21344854.29,0.0
2017-05-15,4951.95,3635275.06,21062601.7,0.0
2017-08-15,8730.212,3415529.259,21216025.789,0.0
2017-11-15,3369.42,3269503.66,21399779.26,0.0
2018-02-15,7388.29,3401018.17,21942369.18,0.0
2018-05-15,8214.76,3254871.98,21408083.57,0.0
2018-08-15,14444.486,3199454.196,21619564.96,0.0
2018-11-15,16692.7,3324426.27,22234159.57,0.0
2019-02-15,6607.79,3367660.13,21748425.39,0.0
2019-05-15,13752.93,3323187.7,21557945.92,0.0
2019-08-15,20590.941,3290336.546,21620181.9,0.0
2019-11-15,17392.985,3117298.622,21569634.99,0.0
2020-02-15,26742.92,3152968.56,20970256.43,0.0
2020-05-15,35038.89,2609098.59,17376482.62,0.0
2020-08-15,33139.89,2960039.72,21108164.37,0.0
2020-11-15,12522.72,3120859.54,21361384.0,0.0
2021-02-15,16079.3,3018343.74,21422426.34,0.0
2021-05-15,8632.96,3123483.47,21340847.63,0.0
2021-08-15,15713.85,2943543.47,21432710.26,0.0
2021-11-15,6124.21,3021176.14,22122807.81,0.0
2022-02-15,7821.08,2927460.05,21712700.51,0.0
2022-05-15,9922.834,2777552.3269999996,21797101.112000003,0.0
2022-08-15,13983.184000000001,2742764.939,22178355.266,0.0
2022-11-15,7663.0419999999995,2621285.0270000007,21457656.851999998,0.0
2023-02-15,14362.330999999998,2693691.0569999996,22175373.817,0.0
2023-05-15,17243.37,2830655.81,21821691.52,0.0
2023-08-15,5472.044000000001,2677762.151,22051041.680999998,0.0
2023-11-15,6132.34,2744080.047,21597483.422000002,0.0
