Jaar,Binnenvaart,Luchtvervoer,Spoorweg,Weg
2008,,1250.31,73023.987,317598.52567655867
2009,,953.006,50703.696,297824.1908545831
2010,,118.284,59558.26,296148.7130079509
2011,,1158.347,58189.355,289140.21917502297
2012,,1090.246,55488.84,291342.84537999996
2013,,1038.038,50644.429,300563.38883999997
2014,,1070.01,51093.464,299422.82557
2015,,1158.718,49383.574,295008.15799000004
2016,,1177.216,51685.879,292428.50786
2017,,1278.207,60407.544,300075.87372000003
2018,151972.392,1447.523,62713.75,285484.41311
2019,155695.324,1430.502,60725.711,283938.01608000003
2020,156131.274,1679.296,59023.782,274337.46689
2021,166162.488,2143.987326,62990.048,278254.0
