mannen,vrouwen,Datum
112,44,2024-04-15
110,44,2024-03-15
111,43,2024-02-15
106,43,2024-01-15
101,41,2023-12-15
104,41,2023-11-15
103,41,2023-10-15
99,40,2023-09-15
99,38,2023-08-15
98,37,2023-07-15
99,38,2023-06-15
98,39,2023-05-15
98,39,2023-04-15
96,38,2023-03-15
93,37,2023-02-15
93,36,2023-01-15
93,34,2022-12-15
93,34,2022-11-15
94,34,2022-10-15
93,35,2022-09-15
93,34,2022-08-15
90,33,2022-07-15
94,31,2022-06-15
93,31,2022-05-15
94,31,2022-04-15
93,30,2022-03-15
96,30,2022-02-15
97,30,2022-01-15
96,29,2021-12-15
96,29,2021-11-15
96,29,2021-10-15
98,28,2021-09-15
96,29,2021-08-15
94,28,2021-07-15
96,29,2021-06-15
95,29,2021-05-15
95,29,2021-04-15
95,29,2021-03-15
98,28,2021-02-15
98,28,2021-01-15
93,28,2020-12-15
93,28,2020-11-15
93,28,2020-10-15
92,26,2020-09-15
92,27,2020-08-15
89,25,2020-07-15
88,26,2020-06-15
104,30,2020-05-15
104,30,2020-04-15
104,30,2020-03-15
105,30,2020-02-15
106,30,2020-01-15
108,28,2019-12-15
108,28,2019-11-15
108,28,2019-10-15
108,28,2019-09-15
109,26,2019-08-15
106,25,2019-07-15
110,27,2019-06-15
109,27,2019-05-15
109,27,2019-04-15
109,27,2019-03-15
109,26,2019-02-15
110,26,2019-01-15
