employees,fte,Datum
9503,9313.78,2024-06-15
9495,9302.96,2024-05-15
9527,9334.1,2024-04-15
9514,9326.5,2024-03-15
9532,9349.6,2024-02-15
9559,9375.34,2024-01-15
9541,9363.6,2023-12-15
9552,9372.7,2023-11-15
9537,9360.2,2023-10-15
9546,9369.86,2023-09-15
9490,9309.9,2023-08-15
9428,9248.2,2023-07-15
9501,9323.74,2023-06-15
9500,9323.28,2023-05-15
9509,9333.66,2023-04-15
9498,9325.84,2023-03-15
9496,9322.92,2023-02-15
9507,9333.7,2023-01-15
9534,9360.56,2022-12-15
9556,9379.6,2022-11-15
9551,9370.62,2022-10-15
9568,9386.4,2022-09-15
9537,9348.48,2022-08-15
9458,9265.24,2022-07-15
9529,9333.96,2022-06-15
9510,9314.54,2022-05-15
9566,9361.48,2022-04-15
9561,9356.9,2022-03-15
9582,9375.34,2022-02-15
9602,9393.26,2022-01-15
9622,9411.66,2021-12-15
9652,9437.36,2021-11-15
9648,9432.32,2021-10-15
9676,9455.8,2021-09-15
9668,9447.68,2021-08-15
9664,9433.74,2021-07-15
9750,9520.5,2021-06-15
9792,9561.36,2021-05-15
9883,9645.571,2021-04-15
9912,9674.591,2021-03-15
9931,9691.271,2021-02-15
9987,9740.611,2021-01-15
10048,9796.211,2020-12-15
10073,9810.751,2020-11-15
10040,9774.971,2020-10-15
9975,9704.991,2020-09-15
9927,9650.811,2020-08-15
9921,9639.451,2020-07-15
10010,9661.691,2020-06-15
10038,9689.171,2020-05-15
10131,9834.96,2020-04-15
10143,9844.22,2020-03-15
10196,9896.12,2020-02-15
10264,9958.28,2020-01-15
10303,9994.12,2019-12-15
10345,10028.26,2019-11-15
10377,10053.1,2019-10-15
10370,10042.14,2019-09-15
10347,10013.12,2019-08-15
10298,9957.78,2019-07-15
10401,10062.34,2019-06-15
10429,10090.86,2019-05-15
10468,10131.18,2019-04-15
10457,10121.72,2019-03-15
10479,10144.96,2019-02-15
10474,10139.82,2019-01-15
10476,10143.622,2018-12-15
10474,10134.162,2018-11-15
10496,10147.322,2018-10-15
10491,10141.142,2018-09-15
10494,10136.642,2018-08-15
10497,10135.582,2018-07-15
10588,10223.262,2018-06-15
10634,10262.082,2018-05-15
10700,10326.682,2018-04-15
10753,10376.822,2018-03-15
10776,10399.382,2018-02-15
10791,10410.482,2018-01-15
