ANDERE,DERDEN,INFRABEL,NMBS
68.0,782.0,277.0,565.0
41.0,2452.0,289.0,654.0
41.0,917.0,255.0,658.0
15.0,619.0,257.0,557.0
67.0,920.0,322.0,720.0
40.0,1283.0,250.0,913.0
57.0,957.0,354.0,665.0
71.0,1026.0,267.0,677.0
18.0,1268.0,393.0,1026.0
164.0,860.0,402.0,886.0
69.0,954.0,490.0,945.0
56.0,888.0,305.0,866.0
277.0,1050.0,422.0,1004.0
58.0,946.0,342.0,774.0
126.0,1405.0,356.0,618.0
85.0,1067.0,506.0,603.0
234.0,2031.0,342.0,678.0
71.0,1021.0,577.0,761.0
239.0,1287.0,323.0,1036.0
71.0,816.0,340.0,685.0
119.0,921.0,499.0,812.0
89.0,750.0,590.0,937.0
60.0,721.0,598.0,1092.0
80.0,1018.0,463.0,783.0
56.0,966.0,330.0,674.0
115.0,1437.0,485.0,603.0
52.0,1508.0,344.0,939.0
29.0,387.0,108.0,170.0
95.0,787.0,276.0,457.0
27.0,713.0,511.0,573.0
39.0,870.0,219.0,522.0
153.0,751.0,371.0,757.0
45.0,732.0,606.0,770.0
136.0,712.0,382.0,690.0
153.0,775.0,378.0,614.0
95.0,786.0,300.0,660.0
71.0,787.0,535.0,852.0
397.0,1473.0,481.0,1154.0
52.0,1223.0,532.0,915.0
66.0,838.0,338.0,686.0
53.0,944.0,675.0,610.0
89.0,1088.0,632.0,1276.0
48.0,3777.0,270.0,691.0
85.0,850.0,413.0,715.0
79.0,1000.0,623.0,971.0
32.0,1281.0,443.0,1325.0
63.0,1355.0,430.0,1284.0
69.0,961.0,491.0,1243.0
59.0,999.0,356.0,1281.0
101.0,2946.0,297.0,777.0
141.0,1557.0,575.0,1431.0
229.0,1902.0,439.0,1313.0
188.0,1321.0,681.0,1397.0
84.0,1458.0,427.0,1898.0
130.0,1244.0,519.0,1656.0
143.0,825.0,282.0,1313.0
86.0,1346.0,633.0,1404.0
50.0,1543.0,740.0,1441.0
57.0,1329.0,549.0,1267.0
62.0,1859.0,724.0,3020.0
75.0,1352.0,359.0,1242.0
209.0,1341.0,776.0,2386.0
285.0,1506.0,590.0,1615.0
82.0,1155.0,498.0,1530.0
86.0,1705.0,1043.0,1729.0
210.0,1466.0,984.0,1872.0
101.0,1105.0,361.0,1016.0
67.0,1226.0,531.0,1071.0
117.0,1306.0,497.0,1640.0
173.0,1487.0,717.0,1750.0
129.0,2069.0,749.0,1824.0
121.0,1493.0,589.0,1851.0
91.0,1603.0,846.0,2129.0
77.0,1670.0,869.0,1601.0
111.0,1224.0,1042.0,1362.0
90.0,1429.0,585.0,1281.0
92.0,1720.0,693.0,1427.0
112.0,1342.0,715.0,1396.0
116.0,1772.0,553.0,1268.0
128.0,1234.0,535.0,1213.0
96.0,1666.0,726.0,1656.0
139.0,1458.0,729.0,1699.0
