Man,Vrouw
9710,1081
9692,1084
9670,1083
9618,1082
9557,1077
9516,1072
9431,1066
9423,1071
9410,1081
9402,1094
9380,1094
9367,1109
9359,1115
9354,1125
9326,1131
9327,1141
9292,1137
9255,1146
9166,1132
9199,1148
9211,1159
9210,1167
9181,1164
9139,1164
9093,1171
9021,1175
8962,1181
8939,1192
8842,1196
8814,1196
8741,1180
8732,1195
8764,1211
8820,1220
8850,1223
8826,1222
8757,1230
8699,1232
8673,1239
8643,1240
8552,1240
8514,1236
8439,1225
8438,1230
8431,1245
8406,1242
8405,1247
8376,1246
8348,1254
8329,1253
8307,1254
8308,1258
8260,1250
8277,1252
8218,1240
8267,1270
8293,1275
8275,1276
8271,1285
8244,1290
8214,1293
8205,1291
8196,1302
8199,1310
8193,1307
8185,1317
8131,1298
8169,1322
8206,1341
8198,1340
8212,1340
8201,1340
8214,1347
8189,1345
8167,1349
8174,1355
8148,1352
