25-,26 - 30,31 - 35,36 - 40,41 - 45,46 - 50,51 - 55,56 - 60,61 - 65,> 65
8,209,889,1296,1522,1483,1205,730,2730,719
8,213,904,1303,1525,1483,1203,729,2719,689
8,215,914,1304,1535,1480,1208,731,2702,656
8,216,919,1306,1534,1479,1206,730,2684,618
8,220,925,1302,1537,1478,1207,732,2668,557
8,220,930,1311,1541,1474,1207,729,2652,516
8,222,933,1310,1524,1456,1204,730,2634,476
12,229,939,1317,1533,1465,1204,733,2611,451
13,241,941,1328,1547,1474,1210,733,2569,435
19,253,958,1330,1546,1481,1215,736,2534,424
23,261,959,1336,1550,1486,1217,736,2492,414
23,270,973,1343,1557,1490,1223,734,2462,401
24,279,993,1352,1568,1498,1221,741,2423,375
24,287,1009,1361,1572,1501,1224,739,2394,368
25,288,1016,1358,1578,1506,1219,739,2370,358
24,289,1033,1368,1586,1508,1221,739,2353,347
23,290,1040,1371,1588,1511,1225,743,2312,326
23,292,1044,1381,1588,1509,1221,743,2282,318
23,295,1041,1370,1562,1497,1213,743,2246,308
30,308,1049,1382,1587,1508,1217,746,2221,299
34,327,1051,1389,1602,1513,1222,748,2200,284
36,346,1061,1397,1607,1510,1225,749,2167,279
40,350,1061,1391,1608,1510,1223,748,2140,274
41,354,1064,1393,1604,1508,1218,745,2111,265
45,361,1071,1395,1605,1512,1222,747,2062,244
44,364,1078,1397,1600,1513,1223,746,1996,235
45,370,1079,1395,1601,1514,1217,742,1950,230
46,374,1083,1395,1602,1518,1218,747,1926,222
47,378,1091,1406,1608,1520,1223,746,1821,198
48,378,1096,1409,1611,1522,1224,744,1788,190
49,385,1094,1404,1597,1509,1220,741,1736,186
60,386,1105,1408,1607,1514,1226,742,1701,178
61,407,1124,1429,1613,1528,1236,746,1664,167
73,426,1146,1442,1625,1535,1240,749,1639,164
83,443,1163,1451,1631,1539,1239,752,1610,161
85,443,1162,1456,1630,1540,1238,751,1585,157
90,454,1168,1462,1638,1540,1241,754,1494,146
93,469,1168,1464,1636,1544,1240,757,1419,141
98,480,1170,1458,1636,1543,1243,756,1389,139
99,483,1167,1460,1640,1540,1240,757,1363,134
98,490,1166,1467,1639,1540,1245,753,1269,125
98,488,1168,1466,1638,1536,1244,751,1240,121
98,488,1163,1457,1628,1522,1238,749,1207,114
102,500,1167,1463,1640,1531,1238,745,1175,107
110,513,1174,1468,1651,1533,1236,747,1139,105
120,524,1167,1466,1649,1536,1235,745,1106,100
133,522,1178,1472,1653,1535,1239,743,1080,97
138,520,1179,1471,1651,1539,1239,741,1049,95
150,527,1191,1482,1664,1553,1236,742,970,87
155,534,1192,1483,1663,1558,1235,741,937,84
155,537,1199,1492,1661,1564,1234,743,899,77
163,551,1205,1490,1662,1563,1238,743,876,75
165,562,1203,1497,1657,1566,1234,742,812,72
176,581,1214,1503,1668,1566,1239,742,770,70
178,585,1211,1494,1648,1555,1237,739,745,66
193,607,1227,1518,1661,1565,1247,740,717,62
213,625,1234,1514,1672,1572,1249,743,689,57
220,622,1232,1515,1678,1566,1248,744,674,52
231,633,1236,1522,1692,1570,1248,741,639,44
235,638,1236,1521,1693,1568,1246,737,619,41
243,643,1244,1525,1698,1565,1254,736,563,36
248,650,1246,1525,1696,1561,1253,737,546,34
251,657,1249,1524,1697,1563,1256,740,531,30
256,666,1250,1529,1704,1568,1255,739,513,29
260,673,1260,1529,1709,1570,1260,739,475,25
264,679,1263,1529,1713,1565,1260,739,463,26
265,682,1259,1509,1685,1560,1258,738,448,24
275,695,1262,1524,1707,1564,1258,737,445,23
293,701,1278,1532,1721,1580,1257,731,430,23
301,702,1279,1533,1721,1579,1256,723,422,21
314,707,1280,1533,1724,1577,1258,722,415,22
317,704,1281,1531,1718,1582,1260,720,407,21
328,715,1288,1529,1729,1582,1263,717,390,19
324,714,1289,1527,1725,1583,1263,713,376,19
324,721,1283,1524,1720,1583,1268,709,363,19
329,733,1286,1524,1724,1581,1267,708,356,19
332,737,1283,1524,1719,1582,1264,706,330,18
336,734,1285,1526,1721,1583,1269,705,326,18
