Andere,Arbeiders,Beheersloopbaan,Informatici,Personeel beheer van het verkeer,Support,Technisch personeel,Universitairen
56,3118,147,160,2076,1059,2830,1345
55,3111,148,162,2065,1056,2829,1349
53,3098,149,161,2062,1049,2834,1346
52,3059,148,160,2055,1046,2833,1347
57,3022,148,159,2026,1050,2822,1350
57,2986,146,159,2008,1045,2832,1355
58,2948,146,162,1987,1030,2828,1338
57,2930,146,157,1987,1030,2833,1354
53,2898,147,161,1981,1040,2836,1375
52,2886,146,161,1983,1042,2847,1379
51,2884,146,161,1975,1026,2842,1389
48,2873,147,161,1992,1023,2844,1387
47,2867,150,158,1979,1024,2861,1386
47,2856,150,158,1987,1028,2861,1391
49,2838,151,159,1969,1036,2860,1394
48,2820,151,157,1978,1042,2871,1400
49,2795,151,156,1967,1041,2871,1397
48,2764,152,157,1957,1041,2876,1404
47,2756,145,154,1926,1026,2865,1377
46,2742,150,157,1934,1029,2882,1406
47,2736,151,162,1924,1033,2891,1425
46,2732,151,161,1925,1026,2891,1444
46,2704,151,161,1918,1023,2887,1454
45,2685,151,162,1907,1023,2879,1450
42,2664,150,164,1893,1018,2868,1464
42,2627,149,163,1862,1011,2862,1478
43,2599,148,161,1853,1011,2850,1477
43,2589,148,160,1862,1002,2845,1481
43,2552,148,158,1840,982,2823,1492
42,2541,147,158,1832,979,2816,1495
41,2519,146,157,1808,971,2796,1483
41,2507,149,161,1806,971,2797,1495
41,2507,149,165,1808,975,2808,1522
40,2529,151,167,1811,984,2836,1522
40,2533,150,167,1806,990,2860,1527
40,2517,149,167,1794,995,2860,1526
39,2487,152,167,1781,982,2847,1532
37,2465,153,167,1768,971,2831,1539
37,2450,151,167,1767,980,2820,1540
35,2445,151,167,1757,979,2809,1540
33,2408,151,163,1744,969,2791,1533
32,2388,151,163,1733,966,2782,1535
36,2357,147,161,1717,960,2764,1522
33,2332,152,163,1737,958,2765,1528
33,2318,152,171,1727,960,2769,1546
34,2303,152,175,1708,954,2774,1548
34,2299,153,175,1717,948,2779,1547
34,2284,153,174,1705,951,2777,1544
33,2254,154,171,1705,939,2790,1556
33,2231,153,172,1689,955,2796,1553
35,2209,151,174,1685,963,2795,1549
33,2208,150,173,1684,966,2799,1553
31,2174,149,173,1683,964,2786,1550
28,2182,149,179,1689,956,2790,1556
28,2176,143,177,1675,946,2769,1544
26,2184,147,181,1722,946,2771,1560
23,2181,147,190,1714,936,2796,1581
23,2176,148,189,1698,939,2795,1583
23,2171,148,189,1713,934,2788,1590
22,2158,148,190,1700,934,2787,1595
22,2149,150,188,1700,935,2767,1596
22,2159,152,187,1691,937,2759,1589
22,2150,155,188,1698,938,2756,1591
23,2139,156,190,1717,935,2751,1598
20,2149,156,193,1718,928,2740,1596
20,2146,156,197,1715,922,2739,1607
20,2136,151,193,1706,915,2728,1577
19,2129,153,198,1719,922,2740,1608
19,2132,154,202,1716,928,2747,1644
17,2118,156,203,1718,933,2745,1643
17,2115,156,202,1724,936,2747,1650
19,2117,156,202,1708,940,2744,1648
19,2110,156,202,1722,948,2722,1652
19,2109,159,204,1708,944,2710,1651
18,2103,160,205,1704,937,2701,1658
17,2096,160,208,1708,941,2706,1661
16,2086,159,207,1697,938,2700,1660
