Bachelor,Geen diploma,Secundair 2e graad,Secundair diploma,Universitair
3302,1308,2217,2186,1778
3293,1307,2207,2182,1787
3279,1286,2213,2183,1792
3315,1265,2163,2165,1792
3354,1235,2147,2108,1790
3361,1216,2077,2143,1791
3340,1197,2045,2140,1775
3340,1193,2014,2157,1790
3342,1167,2002,2164,1816
3343,1152,2004,2181,1816
3323,1136,2011,2181,1823
3313,1122,2008,2202,1830
3295,1113,1999,2226,1840
3305,1095,1999,2234,1845
3304,1085,1987,2228,1852
3309,1065,1992,2243,1858
3323,1044,1988,2218,1855
3325,1024,1972,2218,1861
3352,1018,1937,2169,1821
3369,1004,1940,2175,1858
3466,999,1938,2089,1877
3453,992,1935,2098,1898
3448,982,1913,2093,1908
3438,974,1900,2079,1911
3430,955,1894,2064,1920
3435,945,1864,2021,1930
3423,932,1842,2009,1936
3405,925,1835,2021,1944
3370,902,1816,1996,1953
3366,893,1808,1986,1956
3339,883,1796,1960,1942
3332,876,1792,1959,1967
3348,868,1800,1960,1998
3367,856,1828,1986,2002
3372,841,1846,2002,2011
3394,829,1841,1974,2009
3339,806,1829,1945,2067
3305,787,1816,1947,2075
3297,774,1809,1951,2080
3378,762,1809,1850,2083
3357,737,1791,1830,2076
3340,732,1775,1818,2084
3310,725,1740,1815,2073
3306,712,1722,1842,2085
3320,703,1713,1831,2108
3318,691,1699,1828,2111
3316,688,1691,1841,2115
3312,672,1689,1834,2114
3306,647,1678,1841,2129
3313,622,1687,1830,2129
3330,607,1679,1823,2121
3335,605,1676,1820,2129
3328,570,1681,1805,2125
3333,552,1705,1809,2129
3305,546,1702,1793,2111
3337,532,1719,1817,2131
3411,525,1720,1754,2157
3414,519,1720,1734,2163
3421,507,1725,1732,2170
3413,498,1721,1724,2177
3427,482,1536,1864,2196
3416,481,1546,1856,2195
3422,472,1545,1857,2200
3417,464,1540,1879,2207
3410,454,1557,1870,2207
3409,454,1551,1866,2220
3399,450,1540,1857,2181
3409,444,1541,1874,2221
3427,441,1547,1874,2256
3425,431,1543,1878,2259
3433,423,1543,1881,2270
3429,416,1555,1870,2269
3432,414,1549,1888,2279
3415,410,1549,1871,2290
3408,407,1544,1858,2300
3417,403,1544,1863,2306
