,Gemeente,NSI-code,Vrouw,Man
0,Aalst (Aalst),41002,45277,43577
1,Aalter,44084,14608,14732
2,Aarlen,81001,15424,15394
3,Aarschot,24001,15599,14995
4,Aartselaar,11001,7368,7242
5,Aat,51004,15302,14328
6,Affligem,23105,6842,6624
7,Aiseau-Presles,52074,5603,5297
8,Alken,73001,5894,5863
9,Alveringem,38002,2437,2588
10,Amay,61003,7383,7065
11,Amel,63001,2718,2851
12,Andenne,92003,14290,13573
13,Anderlecht,21001,61386,61161
14,Anderlues,56001,6391,6107
15,Anhée,91005,3685,3536
16,Ans,62003,14951,13674
17,Anthisnes,61079,2136,2098
18,Antoing,57003,3890,3797
19,Antwerpen,11002,264530,266100
20,Anzegem,34002,7460,7569
21,Ardooie,37020,4614,4581
22,Arendonk,13001,6646,6651
23,As,71002,4168,4078
24,Asse,23002,17533,16961
25,Assenede,43002,7297,7152
26,Assesse,92006,3619,3655
27,Attert,81003,2797,2827
28,Aubange,81004,8807,8610
29,Aubel,63003,2157,2080
30,Avelgem,34003,5194,5097
31,Awans,62006,4756,4396
32,Aywaille,62009,6428,6239
33,Baarle-Hertog,13002,1474,1523
34,Baelen,63004,2216,2245
35,Balen,13003,11514,11486
36,Bastenaken,82003,8363,8255
37,Beaumont,56005,3598,3575
38,Beauraing,91013,4812,4515
39,Beernem,31003,7851,8115
40,Beerse,13004,9250,9128
41,Beersel,23003,13182,12831
42,Begijnendijk,24007,5295,5095
43,Bekkevoort,24008,3181,3278
44,Beloeil,51008,7170,7033
45,Bergen,53053,49239,47306
46,Beringen,71004,23592,23625
47,Berlaar,12002,5922,5808
48,Berlare,42003,7726,7548
49,Berloz,64008,1627,1653
50,Bernissart,51009,6106,5810
51,Bertem,24009,5224,5034
52,Bertogne,82005,1850,1893
53,Bertrix,84009,4540,4410
54,Bevekom,25005,3638,3535
55,Bever,23009,1141,1124
56,Beveren (Sint-Niklaas),46003,25023,24508
57,Beyne-Heusay,62015,6192,5756
58,Bierbeek,24011,5136,5141
59,Bilzen,73006,16432,16023
60,Binche,58002,17406,16064
61,Bitsingen,62011,4528,4460
62,Bièvre,91015,1710,1737
63,Blankenberge,31004,10332,10076
64,Blegny,62119,6864,6531
65,Bocholt,72003,6732,6776
66,Boechout,11004,7028,6705
67,Bonheiden,12005,7862,7457
68,Boom,11005,9473,9359
69,Boortmeerbeek,24014,6546,6422
70,Borgloon,73009,5654,5618
71,Borgworm,64074,8026,7286
72,Bornem,12007,10942,10657
73,Borsbeek,11007,5792,5434
74,Bouillon,84010,2747,2686
75,Boussu,53014,10460,9453
76,Boutersem,24016,4255,4131
77,Braives,64015,3232,3210
78,Brakel,45059,7522,7328
79,Brasschaat,11008,19917,18320
80,Brecht,11009,15113,15030
81,Bredene,35002,9166,9001
82,Bree,72004,8243,8081
83,Brugelette,51012,1913,1863
84,Brugge,31005,60685,57824
85,Brunehaut,57093,4086,4081
86,Brussel,21004,92279,96458
87,Buggenhout,42004,7476,7272
88,Burdinne,61010,1666,1640
89,Burg-Reuland,63087,1929,2011
90,Büllingen,63012,2654,2821
91,Bütgenbach,63013,2775,2832
92,Celles (Doornik),57018,2842,2833
93,Cerfontaine,93010,2511,2503
94,Chapelle-lez-Herlaimont,52010,7607,7065
95,Charleroi,52011,103507,98914
96,Chastre,25117,3937,3790
97,Chaudfontaine,62022,10726,9830
98,Chaumont-Gistoux,25018,5960,5725
99,Chimay,56016,4909,4860
100,Chiny,85007,2657,2635
101,Chièvres,51014,3530,3474
102,Châtelet,52012,18382,17145
103,Ciney,91030,8811,8196
104,Clavier,61012,2450,2398
105,Colfontaine,53082,10729,9985
106,Comblain-au-Pont,62026,2759,2562
107,Courcelles,52015,16065,15083
108,Court-Saint-Etienne,25023,5407,5196
109,Couvin,93014,7120,6751
110,Crisnée,64021,1770,1747
111,Dalhem,62027,3892,3757
112,Damme,31006,5537,5507
113,Daverdisse,84016,700,708
114,De Haan,35029,6518,6222
115,De Panne,38008,5633,5489
116,De Pinte,44012,5687,5359
117,Deerlijk,34009,6278,6078
118,Deinze,44083,22472,21843
119,Denderleeuw,41011,10592,10180
120,Dendermonde,42006,23711,22614
121,Dentergem,37002,4323,4376
122,Dessel,13006,4831,4855
123,Destelbergen,44013,9637,9219
124,Diepenbeek,71011,9630,9611
125,Diest,24020,12465,12051
126,Diksmuide,32003,8475,8451
127,Dilbeek,23016,22760,21335
128,Dilsen-Stokkem,72041,10540,10455
129,Dinant,91034,6752,6561
130,Dison,63020,7721,7486
131,Doische,93018,1522,1488
132,Donceel,64023,1543,1577
133,Doornik,57081,34845,33673
134,Dour,53020,8512,8041
135,Drogenbos,23098,3060,2710
136,Duffel,12009,9025,8745
137,Durbuy,83012,5765,5702
138,Ecaussinnes,55050,5793,5545
139,Edegem,11013,11549,10837
140,Edingen,51067,7366,6867
141,Eeklo,43005,11014,10761
142,Eghezée,92035,8452,8125
143,Eigenbrakel,25014,20908,19438
144,Elsene,21009,44570,42482
145,Elzele,51017,3013,3012
146,Engis,61080,3147,3122
147,Erezée,83013,1649,1688
148,Erpe-Mere,41082,10442,10164
149,Erquelinnes,56022,5163,4921
150,Esneux,62032,6588,6277
151,Essen,11016,9659,9682
152,Estaimpuis,57027,5371,5283
153,Estinnes,58003,3996,3944
154,Etalle,85009,3034,3018
155,Etterbeek,21005,25108,23427
156,Eupen,63023,10133,9741
157,Evere,21006,22606,21002
158,Evergem,44019,18327,17760
159,Faimes,64076,1990,2036
160,Farciennes,52018,5792,5441
161,Fauvillers,82009,1176,1192
162,Fernelmont,92138,4075,4040
163,Ferrières,61019,2495,2582
164,Fexhe-le-Haut-Clocher,64025,1662,1665
165,Fleurus,52021,11836,11087
166,Floreffe,92045,4108,3969
167,Florennes,93022,5691,5629
168,Florenville,85011,2933,2832
169,Flémalle,62120,13819,12858
170,Fléron,62038,8535,7700
171,Fontaine-lEvêque,52022,9268,8731
172,Fosses-la-Ville,92048,5245,5156
173,Frameries,53028,11407,10310
174,Frasnes-lez-Anvaing,51065,6106,5868
175,Froidchapelle,56029,2018,2031
176,Galmaarden,23023,4435,4371
177,Ganshoren,21008,13084,12168
178,Gavere,44020,6675,6530
179,Gedinne,91054,2330,2342
180,Geel,13008,20493,20653
181,Geer,64029,1785,1736
182,Geetbets,24028,3108,3093
183,Geldenaken,25048,7449,7109
184,Gembloux,92142,13323,13007
