Gebouwtype,Gewest,Jaar,Semester,Mediaanprijs
"villa’s, bungalows, landhuizen",Vlaams Gewest,1992,,173525.0
"villa’s, bungalows, landhuizen",Vlaams Gewest,2000,,220625.0
"villa’s, bungalows, landhuizen",Vlaams Gewest,2005,,235500.0
"villa’s, bungalows, landhuizen",Vlaams Gewest,2010,,295000.0
"villa’s, bungalows, landhuizen",Vlaams Gewest,2015,,324000.0
"villa’s, bungalows, landhuizen",Vlaams Gewest,2017,,335000.0
"villa’s, bungalows, landhuizen",Vlaams Gewest,2018,1ste semester 2018,335000.0
"villa’s, bungalows, landhuizen",Brussels Hoofdstedelijk Gewest,1992,,247894.0
"villa’s, bungalows, landhuizen",Brussels Hoofdstedelijk Gewest,2000,,368121.5
"villa’s, bungalows, landhuizen",Brussels Hoofdstedelijk Gewest,2005,,630000.0
"villa’s, bungalows, landhuizen",Brussels Hoofdstedelijk Gewest,2010,,715000.0
"villa’s, bungalows, landhuizen",Brussels Hoofdstedelijk Gewest,2015,,755000.0
"villa’s, bungalows, landhuizen",Brussels Hoofdstedelijk Gewest,2017,,810000.0
"villa’s, bungalows, landhuizen",Brussels Hoofdstedelijk Gewest,2018,1ste semester 2018,835000.0
"villa’s, bungalows, landhuizen",Waals Gewest,1992,,148736.0
"villa’s, bungalows, landhuizen",Waals Gewest,2000,,205752.0
"villa’s, bungalows, landhuizen",Waals Gewest,2005,,180000.0
"villa’s, bungalows, landhuizen",Waals Gewest,2010,,225000.0
"villa’s, bungalows, landhuizen",Waals Gewest,2015,,240000.0
"villa’s, bungalows, landhuizen",Waals Gewest,2017,,250000.0
"villa’s, bungalows, landhuizen",Waals Gewest,2018,1ste semester 2018,260000.0
