België,Gewest,Provincie,Arrondissement,Bevolking tewerkgesteld buiten haar provincie
België,Vlaams Gewest,Provincie Antwerpen,,0.177
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.446
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.154
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.281
België,Vlaams Gewest,Provincie Limburg,,0.237
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.186
België,Waals Gewest,Provincie Waals-Brabant,,0.484
België,Waals Gewest,Provincie Henegouwen,,0.271
België,Waals Gewest,Provincie Luik,,0.179
België,Waals Gewest,Provincie Luxemburg,,0.376
België,Waals Gewest,Provincie Namen,,0.369
België,,,,0.258
