België,Gewest,Provincie,Arrondissement,Verhuizingen in 2010
België,Vlaams Gewest,Provincie Antwerpen,,0.112
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.1
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.096
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.104
België,Vlaams Gewest,Provincie Limburg,,0.09
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.18
België,Waals Gewest,Provincie Waals-Brabant,,0.112
België,Waals Gewest,Provincie Henegouwen,,0.116
België,Waals Gewest,Provincie Luik,,0.122
België,Waals Gewest,Provincie Luxemburg,,0.122
België,Waals Gewest,Provincie Namen,,0.12
België,,,,0.115
