België,Gewest,Provincie,Arrondissement,Werkgelegenheidsgraad 20-64-jarigen
België,Vlaams Gewest,Provincie Antwerpen,,0.688
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.725
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.726
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.722
België,Vlaams Gewest,Provincie Limburg,,0.682
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.515
België,Waals Gewest,Provincie Waals-Brabant,,0.672
België,Waals Gewest,Provincie Henegouwen,,0.583
België,Waals Gewest,Provincie Luik,,0.608
België,Waals Gewest,Provincie Luxemburg,,0.664
België,Waals Gewest,Provincie Namen,,0.645
België,,,,0.658
