België,Gewest,Provincie,totaal,Gewone verblijfplaats op 01/01/2010 niveau 1,Werkende bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Gewone verblijfplaats onveranderd,305676
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Gewone verblijfplaats veranderd,64704
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,370380
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Gewone verblijfplaats onveranderd,661225
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Gewone verblijfplaats veranderd,85509
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,746734
België,Vlaams Gewest  ,Provincie Limburg,totaal,Gewone verblijfplaats onveranderd,330194
België,Vlaams Gewest  ,Provincie Limburg,totaal,Gewone verblijfplaats veranderd,33597
België,Vlaams Gewest  ,Provincie Limburg,totaal,,363791
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Gewone verblijfplaats onveranderd,571239
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Gewone verblijfplaats veranderd,68361
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,639600
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Gewone verblijfplaats onveranderd,428506
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,Gewone verblijfplaats veranderd,49133
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,totaal,,477639
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Gewone verblijfplaats onveranderd,455379
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,Gewone verblijfplaats veranderd,50290
België,Vlaams Gewest  ,Provincie West-Vlaanderen,totaal,,505669
België,Waals Gewest,Provincie Waals-Brabant,totaal,Gewone verblijfplaats onveranderd,137618
België,Waals Gewest,Provincie Waals-Brabant,totaal,Gewone verblijfplaats veranderd,18243
België,Waals Gewest,Provincie Waals-Brabant,totaal,,155861
België,Waals Gewest,Provincie Henegouwen,totaal,Gewone verblijfplaats onveranderd,417670
België,Waals Gewest,Provincie Henegouwen,totaal,Gewone verblijfplaats veranderd,52594
België,Waals Gewest,Provincie Henegouwen,totaal,,470264
België,Waals Gewest,Provincie Luik,totaal,Gewone verblijfplaats onveranderd,357419
België,Waals Gewest,Provincie Luik,totaal,Gewone verblijfplaats veranderd,46563
België,Waals Gewest,Provincie Luik,totaal,,403982
België,Waals Gewest,Provincie Luxemburg,totaal,Gewone verblijfplaats onveranderd,96950
België,Waals Gewest,Provincie Luxemburg,totaal,Gewone verblijfplaats veranderd,12746
België,Waals Gewest,Provincie Luxemburg,totaal,,109696
België,Waals Gewest,Provincie Namen,totaal,Gewone verblijfplaats onveranderd,166910
België,Waals Gewest,Provincie Namen,totaal,Gewone verblijfplaats veranderd,22445
België,Waals Gewest,Provincie Namen,totaal,,189355
België,,,totaal,Gewone verblijfplaats onveranderd,3928786
België,,,totaal,Gewone verblijfplaats veranderd,504185
België,,,totaal,,4432971
