Gebouwtype,Gewest,Jaar,Semester,Mediaanprijs
gewone woonhuizen,Vlaams Gewest,1992,,52058.0
gewone woonhuizen,Vlaams Gewest,2000,,83044.0
gewone woonhuizen,Vlaams Gewest,2005,,132000.0
gewone woonhuizen,Vlaams Gewest,2010,,180000.0
gewone woonhuizen,Vlaams Gewest,2015,,210000.0
gewone woonhuizen,Vlaams Gewest,2017,,220000.0
gewone woonhuizen,Vlaams Gewest,2018,1ste semester 2018,225000.0
gewone woonhuizen,Brussels Hoofdstedelijk Gewest,1992,,84490.5
gewone woonhuizen,Brussels Hoofdstedelijk Gewest,2000,,111552.0
gewone woonhuizen,Brussels Hoofdstedelijk Gewest,2005,,230000.0
gewone woonhuizen,Brussels Hoofdstedelijk Gewest,2010,,295000.0
gewone woonhuizen,Brussels Hoofdstedelijk Gewest,2015,,350000.0
gewone woonhuizen,Brussels Hoofdstedelijk Gewest,2017,,365000.0
gewone woonhuizen,Brussels Hoofdstedelijk Gewest,2018,1ste semester 2018,380000.0
gewone woonhuizen,Waals Gewest,1992,,37184.0
gewone woonhuizen,Waals Gewest,2000,,63213.0
gewone woonhuizen,Waals Gewest,2005,,90000.0
gewone woonhuizen,Waals Gewest,2010,,129500.0
gewone woonhuizen,Waals Gewest,2015,,140000.0
gewone woonhuizen,Waals Gewest,2017,,145000.0
gewone woonhuizen,Waals Gewest,2018,1ste semester 2018,147500.0
