Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Groep,Product Niveau 1,Kiloton olie equivalent (ovw)
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Vaste fossiele brandstoffen,Antraciet,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Vaste fossiele brandstoffen,Cokeskool,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Vaste fossiele brandstoffen,Andere bitumineuze kool,6.309
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Vaste fossiele brandstoffen,Subbitumineuze kool,29.3
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Vaste fossiele brandstoffen,Steenkool-briketten,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Vaste fossiele brandstoffen,Cokesoven-cokes,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Vaste fossiele brandstoffen,Koolteer,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Siderurgische gassen,Cokesovengas,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Siderurgische gassen,Hoogovengas,
Totale energievoorziening,Teruggewonnen en gerecycleerde producten,,Siderurgische gassen,Andere teruggewonnen gassen,
Totale energievoorziening,Invoer,,Vaste fossiele brandstoffen,Antraciet,215.917
Totale energievoorziening,Invoer,,Vaste fossiele brandstoffen,Cokeskool,1017.437
Totale energievoorziening,Invoer,,Vaste fossiele brandstoffen,Andere bitumineuze kool,793.26
Totale energievoorziening,Invoer,,Vaste fossiele brandstoffen,Subbitumineuze kool,0.238
Totale energievoorziening,Invoer,,Vaste fossiele brandstoffen,Steenkool-briketten,2.174
Totale energievoorziening,Invoer,,Vaste fossiele brandstoffen,Cokesoven-cokes,128.877
Totale energievoorziening,Invoer,,Vaste fossiele brandstoffen,Koolteer,193.18
Totale energievoorziening,Invoer,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),119.755
Totale energievoorziening,Invoer,,Siderurgische gassen,Cokesovengas,
Totale energievoorziening,Invoer,,Siderurgische gassen,Hoogovengas,
Totale energievoorziening,Invoer,,Siderurgische gassen,Andere teruggewonnen gassen,
Totale energievoorziening,Uitvoer,,Vaste fossiele brandstoffen,Antraciet,-12.346
Totale energievoorziening,Uitvoer,,Vaste fossiele brandstoffen,Cokeskool,
Totale energievoorziening,Uitvoer,,Vaste fossiele brandstoffen,Andere bitumineuze kool,-26.637
Totale energievoorziening,Uitvoer,,Vaste fossiele brandstoffen,Subbitumineuze kool,-0.043
Totale energievoorziening,Uitvoer,,Vaste fossiele brandstoffen,Steenkool-briketten,-1.574
Totale energievoorziening,Uitvoer,,Vaste fossiele brandstoffen,Cokesoven-cokes,-29.611
Totale energievoorziening,Uitvoer,,Vaste fossiele brandstoffen,Koolteer,
Totale energievoorziening,Uitvoer,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Totale energievoorziening,Uitvoer,,Siderurgische gassen,Cokesovengas,
Totale energievoorziening,Uitvoer,,Siderurgische gassen,Hoogovengas,
Totale energievoorziening,Uitvoer,,Siderurgische gassen,Andere teruggewonnen gassen,
Totale energievoorziening,Voorraadwijzigingen,,Vaste fossiele brandstoffen,Antraciet,-17.528
Totale energievoorziening,Voorraadwijzigingen,,Vaste fossiele brandstoffen,Cokeskool,134.505
Totale energievoorziening,Voorraadwijzigingen,,Vaste fossiele brandstoffen,Andere bitumineuze kool,14.604
Totale energievoorziening,Voorraadwijzigingen,,Vaste fossiele brandstoffen,Subbitumineuze kool,-0.065
Totale energievoorziening,Voorraadwijzigingen,,Vaste fossiele brandstoffen,Steenkool-briketten,0.15
Totale energievoorziening,Voorraadwijzigingen,,Vaste fossiele brandstoffen,Cokesoven-cokes,44.572
Totale energievoorziening,Voorraadwijzigingen,,Vaste fossiele brandstoffen,Koolteer,-15.469
Totale energievoorziening,Voorraadwijzigingen,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),0.315
Totale energievoorziening,Voorraadwijzigingen,,Siderurgische gassen,Cokesovengas,
Totale energievoorziening,Voorraadwijzigingen,,Siderurgische gassen,Hoogovengas,
Totale energievoorziening,Voorraadwijzigingen,,Siderurgische gassen,Andere teruggewonnen gassen,
Totale energievoorziening,,,Vaste fossiele brandstoffen,Antraciet,186.042
Totale energievoorziening,,,Vaste fossiele brandstoffen,Cokeskool,1151.942
Totale energievoorziening,,,Vaste fossiele brandstoffen,Andere bitumineuze kool,787.536
Totale energievoorziening,,,Vaste fossiele brandstoffen,Subbitumineuze kool,29.43
Totale energievoorziening,,,Vaste fossiele brandstoffen,Steenkool-briketten,0.749
Totale energievoorziening,,,Vaste fossiele brandstoffen,Cokesoven-cokes,143.838
Totale energievoorziening,,,Vaste fossiele brandstoffen,Koolteer,177.712
Totale energievoorziening,,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),120.07
Totale energievoorziening,,,Siderurgische gassen,Cokesovengas,
Totale energievoorziening,,,Siderurgische gassen,Hoogovengas,
Totale energievoorziening,,,Siderurgische gassen,Andere teruggewonnen gassen,
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,Antraciet,
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,Cokeskool,
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,Andere bitumineuze kool,4.264
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,Subbitumineuze kool,
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,Steenkool-briketten,
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,Cokesoven-cokes,
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,Koolteer,
Transformatie input,Productie van elektriciteit en warmte,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Transformatie input,Productie van elektriciteit en warmte,,Siderurgische gassen,Cokesovengas,1.227
Transformatie input,Productie van elektriciteit en warmte,,Siderurgische gassen,Hoogovengas,393.826
Transformatie input,Productie van elektriciteit en warmte,,Siderurgische gassen,Andere teruggewonnen gassen,17.376
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,Antraciet,
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,Cokeskool,1158.352
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Transformatie input,Cokesovens,,Vaste fossiele brandstoffen,Subbitumineuze kool,
