België,Gewest,Provincie,Arrondissement,Gemeente,Totale bevolking
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Antwerpen,498473
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gent,248358
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,204150
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Luik,195965
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,174383
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Schaarbeek,127525
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Brugge,117260
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,110175
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Anderlecht,108940
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Leuven,97270
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,92721
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,92661
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Elsene,82854
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Mechelen,82205
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),81286
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,78406
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,78296
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kortrijk,75223
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Hasselt,73930
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Niklaas (Sint-Niklaas),72735
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oostende,69980
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Doornik,69592
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Genk,65051
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,63363
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Roeselare,58452
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Verviers,56325
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Moeskroen,55257
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),52028
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,51581
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,48829
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,48117
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),46588
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,45430
