Gewest,Provincie,Arrondissement,Rubrieken niveau 1,Jaar,Totaal kadastraal inkomen
Vlaams Gewest,Provincie Antwerpen,,totaal onbebouwde percelen  (1TOT),1982,
Vlaams Gewest,Provincie Antwerpen,,totaal onbebouwde percelen  (1TOT),1990,18841431.932
Vlaams Gewest,Provincie Antwerpen,,totaal onbebouwde percelen  (1TOT),2000,22004008.686
Vlaams Gewest,Provincie Antwerpen,,totaal onbebouwde percelen  (1TOT),2005,22501914.0
Vlaams Gewest,Provincie Antwerpen,,totaal onbebouwde percelen  (1TOT),2010,23991552.0
Vlaams Gewest,Provincie Antwerpen,,totaal onbebouwde percelen  (1TOT),2015,25363101.0
Vlaams Gewest,Provincie Antwerpen,,totaal onbebouwde percelen  (1TOT),2020,26469223.0
Vlaams Gewest,Provincie Antwerpen,,totaal bebouwde percelen  (2TOT),1982,
Vlaams Gewest,Provincie Antwerpen,,totaal bebouwde percelen  (2TOT),1990,923081486.072
Vlaams Gewest,Provincie Antwerpen,,totaal bebouwde percelen  (2TOT),2000,1230057849.92
Vlaams Gewest,Provincie Antwerpen,,totaal bebouwde percelen  (2TOT),2005,1329871902.0
Vlaams Gewest,Provincie Antwerpen,,totaal bebouwde percelen  (2TOT),2010,1453935088.0
Vlaams Gewest,Provincie Antwerpen,,totaal bebouwde percelen  (2TOT),2015,1563239560.0
Vlaams Gewest,Provincie Antwerpen,,totaal bebouwde percelen  (2TOT),2020,1751539642.0
Vlaams Gewest,Provincie Antwerpen,,niet genormaliseerde percelen  (3TOT),1982,
Vlaams Gewest,Provincie Antwerpen,,niet genormaliseerde percelen  (3TOT),1990,8292.038
Vlaams Gewest,Provincie Antwerpen,,niet genormaliseerde percelen  (3TOT),2000,7959.861
Vlaams Gewest,Provincie Antwerpen,,niet genormaliseerde percelen  (3TOT),2005,6063.0
Vlaams Gewest,Provincie Antwerpen,,niet genormaliseerde percelen  (3TOT),2010,
Vlaams Gewest,Provincie Antwerpen,,niet genormaliseerde percelen  (3TOT),2015,
Vlaams Gewest,Provincie Antwerpen,,niet genormaliseerde percelen  (3TOT),2020,
Vlaams Gewest,Provincie Antwerpen,,gekadastreerde oppervlakte  (4TOT),1982,
Vlaams Gewest,Provincie Antwerpen,,gekadastreerde oppervlakte  (4TOT),1990,941931210.043
Vlaams Gewest,Provincie Antwerpen,,gekadastreerde oppervlakte  (4TOT),2000,1252069818.468
Vlaams Gewest,Provincie Antwerpen,,gekadastreerde oppervlakte  (4TOT),2005,1352379879.0
Vlaams Gewest,Provincie Antwerpen,,gekadastreerde oppervlakte  (4TOT),2010,1477926640.0
Vlaams Gewest,Provincie Antwerpen,,gekadastreerde oppervlakte  (4TOT),2015,1588602661.0
Vlaams Gewest,Provincie Antwerpen,,gekadastreerde oppervlakte  (4TOT),2020,1778008865.0
Vlaams Gewest,Provincie Antwerpen,,niet gekadastreerde oppervlakte  (5TOT),1982,
Vlaams Gewest,Provincie Antwerpen,,niet gekadastreerde oppervlakte  (5TOT),1990,
Vlaams Gewest,Provincie Antwerpen,,niet gekadastreerde oppervlakte  (5TOT),2000,
Vlaams Gewest,Provincie Antwerpen,,niet gekadastreerde oppervlakte  (5TOT),2005,
Vlaams Gewest,Provincie Antwerpen,,niet gekadastreerde oppervlakte  (5TOT),2010,
Vlaams Gewest,Provincie Antwerpen,,niet gekadastreerde oppervlakte  (5TOT),2015,
Vlaams Gewest,Provincie Antwerpen,,niet gekadastreerde oppervlakte  (5TOT),2020,
Vlaams Gewest,Provincie Antwerpen,,totale oppervlakte  (6TOT),1982,
Vlaams Gewest,Provincie Antwerpen,,totale oppervlakte  (6TOT),1990,
Vlaams Gewest,Provincie Antwerpen,,totale oppervlakte  (6TOT),2000,
Vlaams Gewest,Provincie Antwerpen,,totale oppervlakte  (6TOT),2005,
Vlaams Gewest,Provincie Antwerpen,,totale oppervlakte  (6TOT),2010,
Vlaams Gewest,Provincie Antwerpen,,totale oppervlakte  (6TOT),2015,
Vlaams Gewest,Provincie Antwerpen,,totale oppervlakte  (6TOT),2020,
Vlaams Gewest,Provincie Vlaams-Brabant,,totaal onbebouwde percelen  (1TOT),1982,
Vlaams Gewest,Provincie Vlaams-Brabant,,totaal onbebouwde percelen  (1TOT),1990,10529802.503
Vlaams Gewest,Provincie Vlaams-Brabant,,totaal onbebouwde percelen  (1TOT),2000,11269092.14
