België,Gewest,Provincie,Totaal,Arbeidsmarktsituatie niveau 1,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,Beroepsactief (werkend of werkloos),443877
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,Inactief,692901
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,Totaal,,1136778
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,Beroepsactief (werkend of werkloos),793236
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,Inactief,980031
België,Vlaams Gewest  ,Provincie Antwerpen,Totaal,,1773267
België,Vlaams Gewest  ,Provincie Limburg,Totaal,Beroepsactief (werkend of werkloos),385651
België,Vlaams Gewest  ,Provincie Limburg,Totaal,Inactief,461200
België,Vlaams Gewest  ,Provincie Limburg,Totaal,,846851
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,Beroepsactief (werkend of werkloos),671549
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,Inactief,777379
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,Totaal,,1448928
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,Beroepsactief (werkend of werkloos),496566
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,Inactief,592126
België,Vlaams Gewest  ,Provincie Vlaams-Brabant,Totaal,,1088692
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,Beroepsactief (werkend of werkloos),528270
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,Inactief,639732
België,Vlaams Gewest  ,Provincie West-Vlaanderen,Totaal,,1168002
België,Waals Gewest,Provincie Waals-Brabant,Totaal,Beroepsactief (werkend of werkloos),169270
België,Waals Gewest,Provincie Waals-Brabant,Totaal,Inactief,214378
België,Waals Gewest,Provincie Waals-Brabant,Totaal,,383648
België,Waals Gewest,Provincie Henegouwen,Totaal,Beroepsactief (werkend of werkloos),550932
België,Waals Gewest,Provincie Henegouwen,Totaal,Inactief,768813
België,Waals Gewest,Provincie Henegouwen,Totaal,,1319745
België,Waals Gewest,Provincie Luik,Totaal,Beroepsactief (werkend of werkloos),462803
België,Waals Gewest,Provincie Luik,Totaal,Inactief,619333
België,Waals Gewest,Provincie Luik,Totaal,,1082136
België,Waals Gewest,Provincie Luxemburg,Totaal,Beroepsactief (werkend of werkloos),119693
België,Waals Gewest,Provincie Luxemburg,Totaal,Inactief,153512
België,Waals Gewest,Provincie Luxemburg,Totaal,,273205
België,Waals Gewest,Provincie Namen,Totaal,Beroepsactief (werkend of werkloos),212213
België,Waals Gewest,Provincie Namen,Totaal,Inactief,267173
België,Waals Gewest,Provincie Namen,Totaal,,479386
België,,,Totaal,Beroepsactief (werkend of werkloos),4834060
België,,,Totaal,Inactief,6166578
België,,,Totaal,,11000638
