Gewest,Rubrieken niveau 1,Jaar,Aantal percelen,Totale oppervlakte
Vlaams Gewest,totaal onbebouwde percelen  (1TOT),2020,2110503.0,989323.351
Vlaams Gewest,totaal bebouwde percelen  (2TOT),2020,4141469.0,266586.586
Vlaams Gewest,niet genormaliseerde percelen  (3TOT),2020,,
Vlaams Gewest,gekadastreerde oppervlakte  (4TOT),2020,6251972.0,1255909.937
Vlaams Gewest,niet gekadastreerde oppervlakte  (5TOT),2020,,106644.458
Vlaams Gewest,totale oppervlakte  (6TOT),2020,,1362554.395
Brussels Hoofdstedelijk Gewest,totaal onbebouwde percelen  (1TOT),2020,17167.0,5127.48
Brussels Hoofdstedelijk Gewest,totaal bebouwde percelen  (2TOT),2020,643116.0,7751.89
Brussels Hoofdstedelijk Gewest,niet genormaliseerde percelen  (3TOT),2020,,
Brussels Hoofdstedelijk Gewest,gekadastreerde oppervlakte  (4TOT),2020,660283.0,12879.369
Brussels Hoofdstedelijk Gewest,niet gekadastreerde oppervlakte  (5TOT),2020,,3362.615
Brussels Hoofdstedelijk Gewest,totale oppervlakte  (6TOT),2020,,16241.984
Waals Gewest,totaal onbebouwde percelen  (1TOT),2020,2243127.0,1457308.0
Waals Gewest,totaal bebouwde percelen  (2TOT),2020,2077978.0,144591.889
Waals Gewest,niet genormaliseerde percelen  (3TOT),2020,,
Waals Gewest,gekadastreerde oppervlakte  (4TOT),2020,4321105.0,1601899.889
Waals Gewest,niet gekadastreerde oppervlakte  (5TOT),2020,,88215.397
Waals Gewest,totale oppervlakte  (6TOT),2020,,1690115.286
