België,Gewest,Jaar,Totaal,Geslacht,Werkgelegenheidsgraad,Werkloosheidsgraad,Activiteitsgraad
België,Brussels Hoofdstedelijk Gewest,2017,Totaal,Mannen,0.619,0.151,0.729
België,Brussels Hoofdstedelijk Gewest,2017,Totaal,Vrouwen,0.505,0.149,0.593
België,Brussels Hoofdstedelijk Gewest,2017,Totaal,,0.562,0.15,0.661
België,Brussels Hoofdstedelijk Gewest,2018,Totaal,Mannen,0.612,0.145,0.716
België,Brussels Hoofdstedelijk Gewest,2018,Totaal,Vrouwen,0.524,0.119,0.595
België,Brussels Hoofdstedelijk Gewest,2018,Totaal,,0.568,0.134,0.655
België,Brussels Hoofdstedelijk Gewest,2019,Totaal,Mannen,0.62,0.128,0.711
België,Brussels Hoofdstedelijk Gewest,2019,Totaal,Vrouwen,0.518,0.126,0.593
België,Brussels Hoofdstedelijk Gewest,2019,Totaal,,0.569,0.127,0.652
België,Brussels Hoofdstedelijk Gewest,2020,Totaal,Mannen,0.62,0.121,0.705
België,Brussels Hoofdstedelijk Gewest,2020,Totaal,Vrouwen,0.511,0.128,0.586
België,Brussels Hoofdstedelijk Gewest,2020,Totaal,,0.565,0.124,0.646
België,Brussels Hoofdstedelijk Gewest,2021,Totaal,Mannen,0.627,0.127,0.718
België,Brussels Hoofdstedelijk Gewest,2021,Totaal,Vrouwen,0.52,0.122,0.592
België,Brussels Hoofdstedelijk Gewest,2021,Totaal,,0.573,0.125,0.655
België,Vlaams Gewest,2017,Totaal,Mannen,0.719,0.04,0.749
België,Vlaams Gewest,2017,Totaal,Vrouwen,0.631,0.048,0.663
België,Vlaams Gewest,2017,Totaal,,0.675,0.044,0.706
België,Vlaams Gewest,2018,Totaal,Mannen,0.728,0.035,0.755
België,Vlaams Gewest,2018,Totaal,Vrouwen,0.659,0.033,0.682
België,Vlaams Gewest,2018,Totaal,,0.694,0.035,0.718
België,Vlaams Gewest,2019,Totaal,Mannen,0.738,0.033,0.764
België,Vlaams Gewest,2019,Totaal,Vrouwen,0.668,0.031,0.689
België,Vlaams Gewest,2019,Totaal,,0.703,0.033,0.727
België,Vlaams Gewest,2020,Totaal,Mannen,0.727,0.035,0.753
België,Vlaams Gewest,2020,Totaal,Vrouwen,0.66,0.036,0.685
België,Vlaams Gewest,2020,Totaal,,0.694,0.035,0.719
België,Vlaams Gewest,2021,Totaal,Mannen,0.729,0.043,0.762
België,Vlaams Gewest,2021,Totaal,Vrouwen,0.67,0.035,0.694
België,Vlaams Gewest,2021,Totaal,,0.7,0.039,0.728
België,Waals Gewest,2017,Totaal,Mannen,0.617,0.105,0.689
België,Waals Gewest,2017,Totaal,Vrouwen,0.537,0.09,0.59
België,Waals Gewest,2017,Totaal,,0.577,0.098,0.639
België,Waals Gewest,2018,Totaal,Mannen,0.624,0.09,0.685
België,Waals Gewest,2018,Totaal,Vrouwen,0.544,0.08,0.592
België,Waals Gewest,2018,Totaal,,0.584,0.085,0.638
België,Waals Gewest,2019,Totaal,Mannen,0.623,0.082,0.679
België,Waals Gewest,2019,Totaal,Vrouwen,0.561,0.06,0.597
België,Waals Gewest,2019,Totaal,,0.592,0.072,0.638
België,Waals Gewest,2020,Totaal,Mannen,0.628,0.082,0.683
België,Waals Gewest,2020,Totaal,Vrouwen,0.556,0.065,0.595
België,Waals Gewest,2020,Totaal,,0.592,0.074,0.639
België,Waals Gewest,2021,Totaal,Mannen,0.633,0.093,0.698
België,Waals Gewest,2021,Totaal,Vrouwen,0.56,0.085,0.612
België,Waals Gewest,2021,Totaal,,0.596,0.089,0.655
België,,2017,Totaal,Mannen,0.675,0.072,0.728
België,,2017,Totaal,Vrouwen,0.587,0.071,0.632
België,,2017,Totaal,,0.631,0.071,0.68
België,,2018,Totaal,Mannen,0.682,0.063,0.728
België,,2018,Totaal,Vrouwen,0.607,0.056,0.643
België,,2018,Totaal,,0.645,0.06,0.686
België,,2019,Totaal,Mannen,0.689,0.058,0.731
België,,2019,Totaal,Vrouwen,0.617,0.05,0.649
België,,2019,Totaal,,0.653,0.054,0.69
België,,2020,Totaal,Mannen,0.684,0.058,0.726
België,,2020,Totaal,Vrouwen,0.61,0.054,0.645
België,,2020,Totaal,,0.647,0.056,0.686
België,,2021,Totaal,Mannen,0.687,0.067,0.737
België,,2021,Totaal,Vrouwen,0.618,0.059,0.657
België,,2021,Totaal,,0.653,0.063,0.697
