totaal,Land van staatsburgerschap niveau 1,totaal.1,Jaar van aankomst sinds 2000 niveau 1,Bevolking
totaal,Belgen,totaal,Ooit in het buitenland verbleven en aangekomen in 2000 of daarna,300142
totaal,Belgen,totaal,"Ooit in het buitenland verbleven en aangekomen in 1999 of daarvoor, of nooit in het buitenland verbleven",9531868
totaal,Belgen,totaal,,9832010
totaal,Buitenlanders,totaal,Ooit in het buitenland verbleven en aangekomen in 2000 of daarna,679685
totaal,Buitenlanders,totaal,"Ooit in het buitenland verbleven en aangekomen in 1999 of daarvoor, of nooit in het buitenland verbleven",472276
totaal,Buitenlanders,totaal,,1151961
totaal,Staatloos,totaal,Ooit in het buitenland verbleven en aangekomen in 2000 of daarna,552
totaal,Staatloos,totaal,"Ooit in het buitenland verbleven en aangekomen in 1999 of daarvoor, of nooit in het buitenland verbleven",192
totaal,Staatloos,totaal,,744
totaal,Niet aangegeven,totaal,Ooit in het buitenland verbleven en aangekomen in 2000 of daarna,9675
totaal,Niet aangegeven,totaal,"Ooit in het buitenland verbleven en aangekomen in 1999 of daarvoor, of nooit in het buitenland verbleven",6248
totaal,Niet aangegeven,totaal,,15923
totaal,,totaal,Ooit in het buitenland verbleven en aangekomen in 2000 of daarna,990054
totaal,,totaal,"Ooit in het buitenland verbleven en aangekomen in 1999 of daarvoor, of nooit in het buitenland verbleven",10010584
totaal,,totaal,,11000638
