totaal,Plaats van tewerkstelling niveau 1,totaal.1,Hoogst behaalde opleidingsniveau,Werkende bevolking
totaal,In het buitenland,totaal,Geen diploma of getuigschrift,941
totaal,In het buitenland,totaal,Lager onderwijs (ISCED 1),2082
totaal,In het buitenland,totaal,Lager secundair onderwijs (ISCED 2),10023
totaal,In het buitenland,totaal,Hoger secundair onderwijs (ISCED 3),19095
totaal,In het buitenland,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),1891
totaal,In het buitenland,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",29048
totaal,In het buitenland,totaal,Doctoraat (ISCED 6),1059
totaal,In het buitenland,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),28157
totaal,In het buitenland,totaal,,92296
totaal,In België,totaal,Geen diploma of getuigschrift,48645
totaal,In België,totaal,Lager onderwijs (ISCED 1),200197
totaal,In België,totaal,Lager secundair onderwijs (ISCED 2),722856
totaal,In België,totaal,Hoger secundair onderwijs (ISCED 3),1381551
totaal,In België,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),190678
totaal,In België,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",1498824
totaal,In België,totaal,Doctoraat (ISCED 6),30031
totaal,In België,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),267893
totaal,In België,totaal,,4340675
totaal,,totaal,Geen diploma of getuigschrift,49586
totaal,,totaal,Lager onderwijs (ISCED 1),202279
totaal,,totaal,Lager secundair onderwijs (ISCED 2),732879
totaal,,totaal,Hoger secundair onderwijs (ISCED 3),1400646
totaal,,totaal,Postsecundair niet-hoger onderwijs (ISCED 4),192569
totaal,,totaal,"Hoger onderwijs - graduaat/bachelor, licentiaat/master (ISCED 5)",1527872
totaal,,totaal,Doctoraat (ISCED 6),31090
totaal,,totaal,Niet aangegeven (voor personen van 15 jaar of ouder),296050
totaal,,totaal,,4432971
