Sectie,Maand,Primo-registraties,Opnieuw ingeschreven ond.,Schrappingen,Btw-plichtig ond. aan het einde van de maand
"A Landbouw, bosbouw en visserij",November 2022,92,13,-107,50009
B Winning van delfstoffen,November 2022,2,0,0,210
C Industrie,November 2022,298,40,-239,57095
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",November 2022,7,1,-7,1364
E Distributie van water/ afval- en afvalwaterbeheer en sanering,November 2022,18,0,-5,1831
F Bouwnijverheid,November 2022,1211,96,-641,157325
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,November 2022,1082,200,-1046,190129
H Vervoer en opslag,November 2022,272,29,-236,30332
I Verschaffen van accommodatie en maaltijden,November 2022,442,62,-377,63718
J Informatie en communicatie,November 2022,499,46,-266,61303
K Financiële activiteiten en verzekeringen,November 2022,57,4,-35,9548
L Exploitatie van en handel in onroerend goed,November 2022,255,20,-108,34395
M Vrije beroepen en wetenschappelijke en technische activiteiten,November 2022,1515,135,-783,224682
N Administratieve en ondersteunende diensten,November 2022,583,60,-351,71197
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,November 2022,2,0,-1,921
P Onderwijs,November 2022,246,27,-148,26287
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,November 2022,596,11,-192,47062
"R Kunst, amusement en recreatie",November 2022,317,21,-174,43295
S Overige diensten,November 2022,482,88,-378,75462
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,November 2022,5,0,-1,162
U Extraterritoriale organisaties en lichamen,November 2022,0,0,0,27
Onbekende economische activiteit,November 2022,13,1,-3,319
