Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Groep,Kiloton olie equivalent (ovw)
Totale energievoorziening,Primaire productie,,Aardgas,3.999
Totale energievoorziening,Invoer,,Aardgas,17721.215
Totale energievoorziening,Uitvoer,,Aardgas,-2535.035
Totale energievoorziening,Internationale maritieme bunkers,,Aardgas,-5.851
Totale energievoorziening,Voorraadwijzigingen,,Aardgas,12.192
Totale energievoorziening,,,Aardgas,15196.52
Transformatie input,Productie van elektriciteit en warmte,,Aardgas,3374.77
Transformatie input,Hoogovens,,Aardgas,43.53
Transformatie input,,,Aardgas,3418.3
Transformatie output,Gemengd in aardgas,,Aardgas,6.728
Transformatie output,,,Aardgas,6.728
Energie sector,Productie van elektriciteit en warmte,,Aardgas,8.366
Energie sector,Olieraffinaderijen,,Aardgas,590.973
Energie sector,Liquefactie (LNG) en hervergassingsinstallaties,,Aardgas,22.508
Energie sector,,,Aardgas,621.847
Distributieverliezen,,,Aardgas,23.321
Finale consumptie,Industrie sector,IJzer en staal,Aardgas,453.122
Finale consumptie,Industrie sector,Chemie en petrochemie,Aardgas,1433.61
Finale consumptie,Industrie sector,Non ferro metalen,Aardgas,113.856
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Aardgas,485.377
Finale consumptie,Industrie sector,Transportmaterialen,Aardgas,37.299
Finale consumptie,Industrie sector,Machinerie,Aardgas,135.297
Finale consumptie,Industrie sector,Extractieve industrie,Aardgas,15.895
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Aardgas,994.211
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Aardgas,141.692
Finale consumptie,Industrie sector,Hout en houtproducten,Aardgas,22.758
Finale consumptie,Industrie sector,Bouw,Aardgas,76.119
Finale consumptie,Industrie sector,Textiel en leer,Aardgas,79.568
Finale consumptie,Industrie sector,Niet gespecifieerd Industrie,Aardgas,91.952
Finale consumptie,Industrie sector,,Aardgas,4080.757
Finale consumptie,Transport sector,Wegverkeer,Aardgas,69.576
Finale consumptie,Transport sector,Binnenlandse scheepvaart,Aardgas,0.515
Finale consumptie,Transport sector,Transport via pijpleiding,Aardgas,26.817
Finale consumptie,Transport sector,,Aardgas,96.908
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Aardgas,1990.363
Finale consumptie,Andere sectoren,Huishoudens,Aardgas,3599.383
Finale consumptie,Andere sectoren,Land- en bosbouw,Aardgas,384.002
Finale consumptie,Andere sectoren,,Aardgas,5973.748
Finale consumptie,Niet energetisch verbruik,,Aardgas,1023.888
Finale consumptie,,,Aardgas,11175.302
Statistisch verschil,,,Aardgas,-35.523
