Totaal,Niveau 1,Jaar,Maand,Consumptieprijsindex
Totaal,1. Voeding en niet-alcoholische dranken,2022,Januari 2022,112.493
Totaal,1. Voeding en niet-alcoholische dranken,2022,Februari 2022,113.336
Totaal,1. Voeding en niet-alcoholische dranken,2022,Maart 2022,115.179
Totaal,1. Voeding en niet-alcoholische dranken,2022,April 2022,116.795
Totaal,1. Voeding en niet-alcoholische dranken,2022,Mei 2022,117.589
Totaal,1. Voeding en niet-alcoholische dranken,2022,Juni 2022,119.623
Totaal,1. Voeding en niet-alcoholische dranken,2022,Juli 2022,121.52
Totaal,1. Voeding en niet-alcoholische dranken,2022,Augustus 2022,122.703
Totaal,1. Voeding en niet-alcoholische dranken,2022,September 2022,120.86
Totaal,1. Voeding en niet-alcoholische dranken,2022,Oktober 2022,124.402
Totaal,1. Voeding en niet-alcoholische dranken,2022,November 2022,126.285
Totaal,1. Voeding en niet-alcoholische dranken,2022,December 2022,126.876
Totaal,1. Voeding en niet-alcoholische dranken,2023,Januari 2023,130.972
Totaal,2. Alcoholische dranken en tabak,2022,Januari 2022,133.672
Totaal,2. Alcoholische dranken en tabak,2022,Februari 2022,138.041
Totaal,2. Alcoholische dranken en tabak,2022,Maart 2022,136.203
Totaal,2. Alcoholische dranken en tabak,2022,April 2022,137.967
Totaal,2. Alcoholische dranken en tabak,2022,Mei 2022,140.966
Totaal,2. Alcoholische dranken en tabak,2022,Juni 2022,138.948
Totaal,2. Alcoholische dranken en tabak,2022,Juli 2022,138.206
Totaal,2. Alcoholische dranken en tabak,2022,Augustus 2022,142.168
Totaal,2. Alcoholische dranken en tabak,2022,September 2022,148.037
Totaal,2. Alcoholische dranken en tabak,2022,Oktober 2022,141.135
Totaal,2. Alcoholische dranken en tabak,2022,November 2022,147.447
Totaal,2. Alcoholische dranken en tabak,2022,December 2022,144.31
Totaal,2. Alcoholische dranken en tabak,2023,Januari 2023,142.92
Totaal,3. Kleding en schoeisel,2022,Januari 2022,105.543
Totaal,3. Kleding en schoeisel,2022,Februari 2022,105.962
Totaal,3. Kleding en schoeisel,2022,Maart 2022,106.106
Totaal,3. Kleding en schoeisel,2022,April 2022,104.964
Totaal,3. Kleding en schoeisel,2022,Mei 2022,104.361
Totaal,3. Kleding en schoeisel,2022,Juni 2022,103.645
Totaal,3. Kleding en schoeisel,2022,Juli 2022,103.66
Totaal,3. Kleding en schoeisel,2022,Augustus 2022,105.074
Totaal,3. Kleding en schoeisel,2022,September 2022,108.383
Totaal,3. Kleding en schoeisel,2022,Oktober 2022,109.984
Totaal,3. Kleding en schoeisel,2022,November 2022,112.01
Totaal,3. Kleding en schoeisel,2022,December 2022,112.819
Totaal,3. Kleding en schoeisel,2023,Januari 2023,112.842
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,Januari 2022,136.925
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,Februari 2022,137.972
