Jaar,Maand,Basisjaar,Consumptieprijsindex
2022,Januari 2022,1914 = 100,27190.13
2022,Januari 2022,1988 = 100,204.28
2022,Januari 2022,1996 = 100,166.44
2022,Januari 2022,2004 = 100,144.82
2022,Januari 2022,2013 = 100,118.32
2022,Februari 2022,1914 = 100,27362.48
2022,Februari 2022,1988 = 100,205.57
2022,Februari 2022,1996 = 100,167.5
2022,Februari 2022,2004 = 100,145.74
2022,Februari 2022,2013 = 100,119.07
2022,Maart 2022,1914 = 100,27504.95
2022,Maart 2022,1988 = 100,206.64
2022,Maart 2022,1996 = 100,168.37
2022,Maart 2022,2004 = 100,146.5
2022,Maart 2022,2013 = 100,119.69
2022,April 2022,1914 = 100,27596.87
2022,April 2022,1988 = 100,207.34
2022,April 2022,1996 = 100,168.93
2022,April 2022,2004 = 100,146.99
2022,April 2022,2013 = 100,120.09
2022,Mei 2022,1914 = 100,27808.29
2022,Mei 2022,1988 = 100,208.92
2022,Mei 2022,1996 = 100,170.22
2022,Mei 2022,2004 = 100,148.12
2022,Mei 2022,2013 = 100,121.01
2022,Juni 2022,1914 = 100,28044.99
2022,Juni 2022,1988 = 100,210.7
2022,Juni 2022,1996 = 100,171.67
2022,Juni 2022,2004 = 100,149.38
2022,Juni 2022,2013 = 100,122.04
2022,Juli 2022,1914 = 100,28277.09
2022,Juli 2022,1988 = 100,212.45
2022,Juli 2022,1996 = 100,173.09
2022,Juli 2022,2004 = 100,150.61
2022,Juli 2022,2013 = 100,123.05
2022,Augustus 2022,1914 = 100,28506.89
2022,Augustus 2022,1988 = 100,214.17
2022,Augustus 2022,1996 = 100,174.5
2022,Augustus 2022,2004 = 100,151.84
2022,Augustus 2022,2013 = 100,124.05
2022,September 2022,1914 = 100,28780.35
2022,September 2022,1988 = 100,216.23
2022,September 2022,1996 = 100,176.18
2022,September 2022,2004 = 100,153.29
2022,September 2022,2013 = 100,125.24
2022,Oktober 2022,1914 = 100,29462.86
2022,Oktober 2022,1988 = 100,221.35
2022,Oktober 2022,1996 = 100,180.35
2022,Oktober 2022,2004 = 100,156.93
2022,Oktober 2022,2013 = 100,128.21
2022,November 2022,1914 = 100,29396.22
2022,November 2022,1988 = 100,220.85
2022,November 2022,1996 = 100,179.95
2022,November 2022,2004 = 100,156.57
2022,November 2022,2013 = 100,127.92
2022,December 2022,1914 = 100,29350.26
2022,December 2022,1988 = 100,220.51
2022,December 2022,1996 = 100,179.66
2022,December 2022,2004 = 100,156.33
2022,December 2022,2013 = 100,127.72
2023,Januari 2023,1914 = 100,29377.84
2023,Januari 2023,1988 = 100,220.72
2023,Januari 2023,1996 = 100,179.83
2023,Januari 2023,2004 = 100,156.48
2023,Januari 2023,2013 = 100,127.84
