België,Gewest,Jaar,Diersoort,Aantal slachtingen,Totaal slachtgewicht
België,Vlaams + Brussels Hoofdstedeli,2021,Runderen,558182,157995784
België,Vlaams + Brussels Hoofdstedeli,2021,Varkens,10793312,1062770171
België,Vlaams + Brussels Hoofdstedeli,2021,Schapen (totaal),73682,1623925
België,Vlaams + Brussels Hoofdstedeli,2021,Geiten,20421,360946
België,Vlaams + Brussels Hoofdstedeli,2021,Paarden totaal,1521,489954
België,Vlaams + Brussels Hoofdstedeli,2021,Gevogelte,254101182,391269670
België,Waals Gewest,2021,Runderen,208757,89125962
België,Waals Gewest,2021,Varkens,791347,77232197
België,Waals Gewest,2021,Schapen (totaal),47592,1049373
België,Waals Gewest,2021,Geiten,1878,23329
België,Waals Gewest,2021,Paarden totaal,10,3673
België,Waals Gewest,2021,Gevogelte,49291104,63845715
België,,2021,Runderen,766939,247121746
België,,2021,Varkens,11584659,1140002368
België,,2021,Schapen (totaal),121274,2673298
België,,2021,Geiten,22299,384275
België,,2021,Paarden totaal,1531,493627
België,,2021,Gevogelte,303392286,455115385
