Industrie (zonder bouw),Belangrijke industriegroepen,Referentiemaand,Basisjaar,Index - Binnenlandse markt
Industrie (zonder bouw),"Totale industrie, zonder energie",December 2021,2010,135.9
Industrie (zonder bouw),"Totale industrie, zonder energie",Januari 2022,2010,138.59
Industrie (zonder bouw),"Totale industrie, zonder energie",Februari 2022,2010,140.39
Industrie (zonder bouw),"Totale industrie, zonder energie",Maart 2022,2010,146.59
Industrie (zonder bouw),"Totale industrie, zonder energie",April 2022,2010,150.98
Industrie (zonder bouw),"Totale industrie, zonder energie",Mei 2022,2010,152.87
Industrie (zonder bouw),"Totale industrie, zonder energie",Juni 2022,2010,153.97
Industrie (zonder bouw),"Totale industrie, zonder energie",Juli 2022,2010,153.61
Industrie (zonder bouw),"Totale industrie, zonder energie",Augustus 2022,2010,154.74
Industrie (zonder bouw),"Totale industrie, zonder energie",September 2022,2010,153.45
Industrie (zonder bouw),"Totale industrie, zonder energie",Oktober 2022,2010,153.56
Industrie (zonder bouw),"Totale industrie, zonder energie",November 2022,2010,153.96
Industrie (zonder bouw),"Totale industrie, zonder energie",December 2022,2010,155.14
Industrie (zonder bouw),Intermediaire goederen en energie,December 2021,2010,190.37
Industrie (zonder bouw),Intermediaire goederen en energie,Januari 2022,2010,217.46
Industrie (zonder bouw),Intermediaire goederen en energie,Februari 2022,2010,218.22
Industrie (zonder bouw),Intermediaire goederen en energie,Maart 2022,2010,228.27
Industrie (zonder bouw),Intermediaire goederen en energie,April 2022,2010,234.23
Industrie (zonder bouw),Intermediaire goederen en energie,Mei 2022,2010,237.55
Industrie (zonder bouw),Intermediaire goederen en energie,Juni 2022,2010,239.86
Industrie (zonder bouw),Intermediaire goederen en energie,Juli 2022,2010,238.57
Industrie (zonder bouw),Intermediaire goederen en energie,Augustus 2022,2010,251.9
Industrie (zonder bouw),Intermediaire goederen en energie,September 2022,2010,262.27
Industrie (zonder bouw),Intermediaire goederen en energie,Oktober 2022,2010,272.07
Industrie (zonder bouw),Intermediaire goederen en energie,November 2022,2010,263.52
Industrie (zonder bouw),Intermediaire goederen en energie,December 2022,2010,264.15
Industrie (zonder bouw),Intermediaire goederen,December 2021,2010,149.21
Industrie (zonder bouw),Intermediaire goederen,Januari 2022,2010,152.74
Industrie (zonder bouw),Intermediaire goederen,Februari 2022,2010,155.1
Industrie (zonder bouw),Intermediaire goederen,Maart 2022,2010,164.01
Industrie (zonder bouw),Intermediaire goederen,April 2022,2010,171.2
Industrie (zonder bouw),Intermediaire goederen,Mei 2022,2010,173.63
Industrie (zonder bouw),Intermediaire goederen,Juni 2022,2010,175.01
Industrie (zonder bouw),Intermediaire goederen,Juli 2022,2010,173.6
Industrie (zonder bouw),Intermediaire goederen,Augustus 2022,2010,174.8
Industrie (zonder bouw),Intermediaire goederen,September 2022,2010,171.73
Industrie (zonder bouw),Intermediaire goederen,Oktober 2022,2010,170.87
Industrie (zonder bouw),Intermediaire goederen,November 2022,2010,170.86
Industrie (zonder bouw),Intermediaire goederen,December 2022,2010,172.9
Industrie (zonder bouw),Investeringsgoederen,December 2021,2010,119.65
Industrie (zonder bouw),Investeringsgoederen,Januari 2022,2010,120.37
Industrie (zonder bouw),Investeringsgoederen,Februari 2022,2010,121.22
Industrie (zonder bouw),Investeringsgoederen,Maart 2022,2010,128.31
Industrie (zonder bouw),Investeringsgoederen,April 2022,2010,130.04
Industrie (zonder bouw),Investeringsgoederen,Mei 2022,2010,131.41
Industrie (zonder bouw),Investeringsgoederen,Juni 2022,2010,129.68
Industrie (zonder bouw),Investeringsgoederen,Juli 2022,2010,128.62
Industrie (zonder bouw),Investeringsgoederen,Augustus 2022,2010,129.22
Industrie (zonder bouw),Investeringsgoederen,September 2022,2010,128.63
Industrie (zonder bouw),Investeringsgoederen,Oktober 2022,2010,129.13
Industrie (zonder bouw),Investeringsgoederen,November 2022,2010,129.43
Industrie (zonder bouw),Investeringsgoederen,December 2022,2010,127.71
Industrie (zonder bouw),Duurzame consumptiegoederen,December 2021,2010,125.77
Industrie (zonder bouw),Duurzame consumptiegoederen,Januari 2022,2010,129.28
Industrie (zonder bouw),Duurzame consumptiegoederen,Februari 2022,2010,130.2
