NACE-groepen,Referentiemaand,Bruto-index,Tendens van de index
Totaal detailhandel met uitzondering van de brandstoffen,September 2022,118.552,121.261
Totaal detailhandel met uitzondering van de brandstoffen,Oktober 2022,121.602,121.606
Totaal detailhandel met uitzondering van de brandstoffen,November 2022,122.678,121.884
Totaal detailhandel met uitzondering van de brandstoffen,December 2022,145.121,122.132
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,September 2022,108.314,113.414
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,Oktober 2022,113.814,113.744
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,November 2022,112.461,113.984
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,December 2022,136.824,114.116
Overige detailhandel in niet-gespecialiseerde winkels,September 2022,114.612,126.511
Overige detailhandel in niet-gespecialiseerde winkels,Oktober 2022,128.961,127.578
Overige detailhandel in niet-gespecialiseerde winkels,November 2022,141.515,128.583
Overige detailhandel in niet-gespecialiseerde winkels,December 2022,172.418,129.48
Detailhandel in niet-gespecialiseerde winkels,September 2022,108.61,113.628
Detailhandel in niet-gespecialiseerde winkels,Oktober 2022,114.768,113.91
Detailhandel in niet-gespecialiseerde winkels,November 2022,114.157,114.104
Detailhandel in niet-gespecialiseerde winkels,December 2022,139.126,114.199
Voedingsmiddelen in gespecialiseerde winkels,September 2022,111.499,112.465
Voedingsmiddelen in gespecialiseerde winkels,Oktober 2022,111.06,112.057
Voedingsmiddelen in gespecialiseerde winkels,November 2022,110.979,111.722
Voedingsmiddelen in gespecialiseerde winkels,December 2022,138.675,111.197
Motorbrandstoffen in gespecialiseerde winkels,September 2022,134.221,135.981
Motorbrandstoffen in gespecialiseerde winkels,Oktober 2022,139.777,136.484
Motorbrandstoffen in gespecialiseerde winkels,November 2022,122.61,137.186
Motorbrandstoffen in gespecialiseerde winkels,December 2022,135.701,138.216
"Voedingsmiddelen, dranken en tabak",September 2022,108.915,113.176
"Voedingsmiddelen, dranken en tabak",Oktober 2022,113.413,113.45
"Voedingsmiddelen, dranken en tabak",November 2022,112.255,113.665
"Voedingsmiddelen, dranken en tabak",December 2022,137.09,113.793
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),September 2022,125.196,127.002
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),Oktober 2022,127.462,127.405
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),November 2022,130.031,127.756
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),December 2022,150.816,128.107
ICT-apparatuur in gespecialiseerde winkels,September 2022,105.206,105.529
ICT-apparatuur in gespecialiseerde winkels,Oktober 2022,105.455,106.022
ICT-apparatuur in gespecialiseerde winkels,November 2022,116.253,105.664
ICT-apparatuur in gespecialiseerde winkels,December 2022,140.765,104.91
Andere consumentenartikelen in gespecialiseerde winkels,September 2022,126.926,128.223
Andere consumentenartikelen in gespecialiseerde winkels,Oktober 2022,130.29,128.516
Andere consumentenartikelen in gespecialiseerde winkels,November 2022,130.019,128.494
Andere consumentenartikelen in gespecialiseerde winkels,December 2022,140.182,128.319
Cultuur- en recreatieartikelen in gespecialiseerde winkels,September 2022,112.939,116.136
Cultuur- en recreatieartikelen in gespecialiseerde winkels,Oktober 2022,113.438,115.823
Cultuur- en recreatieartikelen in gespecialiseerde winkels,November 2022,117.023,115.473
Cultuur- en recreatieartikelen in gespecialiseerde winkels,December 2022,151.277,115.209
Detailhandel in andere artikelen in gespecialiseerde winkels,September 2022,119.138,113.881
Detailhandel in andere artikelen in gespecialiseerde winkels,Oktober 2022,121.139,113.938
Detailhandel in andere artikelen in gespecialiseerde winkels,November 2022,117.402,113.979
Detailhandel in andere artikelen in gespecialiseerde winkels,December 2022,143.741,114.002
Markt- en straathandel,September 2022,126.751,138.952
Markt- en straathandel,Oktober 2022,137.854,139.575
Markt- en straathandel,November 2022,137.284,142.024
Markt- en straathandel,December 2022,155.96,141.075
Detailhandel via postorderbedrijven of via internet,September 2022,219.797,223.036
Detailhandel via postorderbedrijven of via internet,Oktober 2022,212.896,223.376
Detailhandel via postorderbedrijven of via internet,November 2022,265.381,223.679
Detailhandel via postorderbedrijven of via internet,December 2022,253.464,224.503
"Detailhandel, niet in winkels en exclusief markt-en straathandel",September 2022,197.9,199.383
"Detailhandel, niet in winkels en exclusief markt-en straathandel",Oktober 2022,193.771,199.951
"Detailhandel, niet in winkels en exclusief markt-en straathandel",November 2022,228.703,200.426
"Detailhandel, niet in winkels en exclusief markt-en straathandel",December 2022,227.416,201.313
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",September 2022,107.254,106.289
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",Oktober 2022,110.402,106.595
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",November 2022,105.898,106.914
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",December 2022,129.976,107.208
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,September 2022,116.692,117.804
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,Oktober 2022,116.487,118.228
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,November 2022,118.196,118.666
Farmaceutische producten/ medische en orthopedische artikelen/ parfumerie en schoonheidsproducten in gespecialiseerde winkels,December 2022,146.921,119.06
