België,Gewest,Provincie,totaal,Grootte van de agglomeratie niveau 1,Bevolking
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,1 000 000 of meer inwoners,1136377.0
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,500 000 - 999 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,200 000 - 499 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,100 000 - 199 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,50 000 - 99 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,20 000 - 49 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,10 000 - 19 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,5 000 - 9 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,2 000 - 4 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,1 000 - 1 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,500 - 999 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,200 - 499 inwoners,
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,minder dan 200 inwoners,401.0
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,1136778.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,1 000 000 of meer inwoners,1419966.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,500 000 - 999 999 inwoners,
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,200 000 - 499 999 inwoners,
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,100 000 - 199 999 inwoners,
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,50 000 - 99 999 inwoners,82831.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,20 000 - 49 999 inwoners,52884.0
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,10 000 - 19 999 inwoners,107628.0
