België,Gewest,Provincie,Arrondissement,Koppel zonder kinderen
België,Vlaams Gewest,Provincie Antwerpen,,0.278
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.282
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.31
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.292
België,Vlaams Gewest,Provincie Limburg,,0.297
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.152
België,Waals Gewest,Provincie Waals-Brabant,,0.247
België,Waals Gewest,Provincie Henegouwen,,0.226
België,Waals Gewest,Provincie Luik,,0.222
België,Waals Gewest,Provincie Luxemburg,,0.237
België,Waals Gewest,Provincie Namen,,0.236
België,,,,0.255
