België,Gewest,Provincie,Arrondissement,Bevolking geboren buiten de EU
België,Vlaams Gewest,Provincie Antwerpen,,0.08
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.062
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.031
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.05
België,Vlaams Gewest,Provincie Limburg,,0.051
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.256
België,Waals Gewest,Provincie Waals-Brabant,,0.072
België,Waals Gewest,Provincie Henegouwen,,0.049
België,Waals Gewest,Provincie Luik,,0.078
België,Waals Gewest,Provincie Luxemburg,,0.044
België,Waals Gewest,Provincie Namen,,0.047
België,,,,0.079
