België,Gewest,Provincie,Arrondissement,Bevolking van 65 jaar of ouder
België,Vlaams Gewest,Provincie Antwerpen,,0.177
België,Vlaams Gewest,Provincie Vlaams-Brabant,,0.177
België,Vlaams Gewest,Provincie West-Vlaanderen,,0.207
België,Vlaams Gewest,Provincie Oost-Vlaanderen,,0.181
België,Vlaams Gewest,Provincie Limburg,,0.168
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,0.134
België,Waals Gewest,Provincie Waals-Brabant,,0.161
België,Waals Gewest,Provincie Henegouwen,,0.164
België,Waals Gewest,Provincie Luik,,0.168
België,Waals Gewest,Provincie Luxemburg,,0.152
België,Waals Gewest,Provincie Namen,,0.16
België,,,,0.171
