Karakteristieken,Jaar,Land,Armoederisico (AR)
Totaal,2013,België,0.151
Totaal,2014,België,0.155
Totaal,2015,België,0.149
Mannen,2013,België,0.146
Mannen,2014,België,0.15
Mannen,2015,België,0.141
Vrouwen,2013,België,0.155
Vrouwen,2014,België,0.159
Vrouwen,2015,België,0.156
0-15,2013,België,0.168
0-15,2014,België,0.179
0-15,2015,België,0.174
16-24,2013,België,0.17
16-24,2014,België,0.204
16-24,2015,België,0.195
25-49,2013,België,0.138
25-49,2014,België,0.144
25-49,2015,België,0.135
50-64,2013,België,0.117
50-64,2014,België,0.118
50-64,2015,België,0.121
65+,2013,België,0.184
65+,2014,België,0.161
65+,2015,België,0.152
"2 volwassenen, beiden <65 jaar",2013,België,0.087
"2 volwassenen, beiden <65 jaar",2014,België,0.081
"2 volwassenen, beiden <65 jaar",2015,België,0.086
"2 volwassenen, minstens één is 65+ jaar",2013,België,0.169
"2 volwassenen, minstens één is 65+ jaar",2014,België,0.141
"2 volwassenen, minstens één is 65+ jaar",2015,België,0.125
Andere huishoudens zonder afhankelijke kinderen,2013,België,0.06
Andere huishoudens zonder afhankelijke kinderen,2014,België,0.092
Andere huishoudens zonder afhankelijke kinderen,2015,België,0.092
Totaal geen afhankelijke kinderen,2013,België,0.153
Totaal geen afhankelijke kinderen,2014,België,0.142
Totaal geen afhankelijke kinderen,2015,België,0.137
"Alleenstaande ouders, minstens één afhankelijk kind",2013,België,0.342
"Alleenstaande ouders, minstens één afhankelijk kind",2014,België,0.364
"Alleenstaande ouders, minstens één afhankelijk kind",2015,België,0.357
"2 volwassenen, 1 afhankelijk kind",2013,België,0.106
"2 volwassenen, 1 afhankelijk kind",2014,België,0.103
"2 volwassenen, 1 afhankelijk kind",2015,België,0.095
"2 volwassenen, 2 afhankelijke kinderen",2013,België,0.078
"2 volwassenen, 2 afhankelijke kinderen",2014,België,0.102
"2 volwassenen, 2 afhankelijke kinderen",2015,België,0.093
"2 volwassenen, 3+ afhankelijke kinderen",2013,België,0.199
"2 volwassenen, 3+ afhankelijke kinderen",2014,België,0.2
"2 volwassenen, 3+ afhankelijke kinderen",2015,België,0.211
Andere huishoudens met afhankelijke kinderen,2013,België,0.119
Andere huishoudens met afhankelijke kinderen,2014,België,0.176
Andere huishoudens met afhankelijke kinderen,2015,België,0.14
Totaal met afhankelijke kinderen,2013,België,0.149
Totaal met afhankelijke kinderen,2014,België,0.166
Totaal met afhankelijke kinderen,2015,België,0.16
"Alleenstaande, man <65 jaar",2013,België,0.27
"Alleenstaande, man <65 jaar",2014,België,0.232
"Alleenstaande, man <65 jaar",2015,België,0.21
"Alleenstaande, vrouw <65 jaar",2013,België,0.255
"Alleenstaande, vrouw <65 jaar",2014,België,0.28
"Alleenstaande, vrouw <65 jaar",2015,België,0.256
"Alleenstaande, man  65+ jaar",2013,België,0.184
"Alleenstaande, man  65+ jaar",2014,België,0.172
"Alleenstaande, man  65+ jaar",2015,België,0.182
"Alleenstaande, vrouw 65+ jaar",2013,België,0.223
"Alleenstaande, vrouw 65+ jaar",2014,België,0.181
"Alleenstaande, vrouw 65+ jaar",2015,België,0.186
Totaal alleenstaanden,2013,België,0.245
Totaal alleenstaanden,2014,België,0.224
Totaal alleenstaanden,2015,België,0.212
Eigenaars,2013,België,0.081
Eigenaars,2014,België,0.084
Eigenaars,2015,België,0.081
Huurders,2013,België,0.346
Huurders,2014,België,0.347
Huurders,2015,België,0.328
Werkenden,2013,België,0.044
Werkenden,2014,België,0.048
Werkenden,2015,België,0.046
Werklozen,2013,België,0.462
Werklozen,2014,België,0.429
Werklozen,2015,België,0.405
Gepensioneerden,2013,België,0.151
Gepensioneerden,2014,België,0.129
Gepensioneerden,2015,België,0.124
Andere niet-actieven,2013,België,0.292
Andere niet-actieven,2014,België,0.313
Andere niet-actieven,2015,België,0.303
Opleidingsniveau: laag,2013,België,0.254
Opleidingsniveau: laag,2014,België,0.258
Opleidingsniveau: laag,2015,België,0.245
Opleidingsniveau: gemiddelde,2013,België,0.117
Opleidingsniveau: gemiddelde,2014,België,0.133
Opleidingsniveau: gemiddelde,2015,België,0.138
Opleidingsniveau: hoog,2013,België,0.072
Opleidingsniveau: hoog,2014,België,0.067
Opleidingsniveau: hoog,2015,België,0.067
Huishoudens zonder kinderen: W=0,2013,België,0.502
Huishoudens zonder kinderen: W=0,2014,België,0.479
Huishoudens zonder kinderen: W=0,2015,België,0.428
Huishoudens zonder kinderen: 0<W<1,2013,België,0.059
Huishoudens zonder kinderen: 0<W<1,2014,België,0.082
Huishoudens zonder kinderen: 0<W<1,2015,België,0.084
Huishoudens zonder kinderen: W=1,2013,België,0.028
Huishoudens zonder kinderen: W=1,2014,België,0.029
Huishoudens zonder kinderen: W=1,2015,België,0.024
Huishoudens met kinderen: W=0,2013,België,0.71
Huishoudens met kinderen: W=0,2014,België,0.744
Huishoudens met kinderen: W=0,2015,België,0.728
"Huishoudens met kinderen: 0<W<0,5",2013,België,0.432
"Huishoudens met kinderen: 0<W<0,5",2014,België,0.43
"Huishoudens met kinderen: 0<W<0,5",2015,België,0.453
"Huishoudens met kinderen: 0,5<=W<1",2013,België,0.082
"Huishoudens met kinderen: 0,5<=W<1",2014,België,0.088
"Huishoudens met kinderen: 0,5<=W<1",2015,België,0.08
Huishoudens met kinderen: W=1,2013,België,0.014
Huishoudens met kinderen: W=1,2014,België,0.027
Huishoudens met kinderen: W=1,2015,België,0.031
