Totaal,Rechtsvorm,Jaar,Alle plaatsen,Gewest,Aantal btw-plichtige
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Vlaams Gewest,307556.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,38320.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Waals Gewest,149505.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Buitenland,4559.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,Onbekend,36.0
Totaal,Natuurlijke persoon,2021,Alle plaatsen,,499976.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Vlaams Gewest,46550.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,3732.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Waals Gewest,6614.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Buitenland,1.0
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,Onbekend,
Totaal,VGN (vennootschap onder gemeenschappelijke naam) of VEG (vennootschap bij wijze van enkelvoudige geldschieting),2021,Alle plaatsen,,56897.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Vlaams Gewest,39821.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,9167.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Waals Gewest,15198.0
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Buitenland,
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,Onbekend,
Totaal,NV (naamloze vennootschap) of VGD (vennootschap bij wijze van geldschieten op aandelen),2021,Alle plaatsen,,64186.0
Totaal,BVBA,2021,Alle plaatsen,Vlaams Gewest,252028.0
Totaal,BVBA,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,55311.0
Totaal,BVBA,2021,Alle plaatsen,Waals Gewest,89142.0
Totaal,BVBA,2021,Alle plaatsen,Buitenland,2.0
Totaal,BVBA,2021,Alle plaatsen,Onbekend,
Totaal,BVBA,2021,Alle plaatsen,,396483.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Vlaams Gewest,4168.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,2148.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Waals Gewest,4249.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Buitenland,1.0
Totaal,Coöperative vennootschap,2021,Alle plaatsen,Onbekend,
Totaal,Coöperative vennootschap,2021,Alle plaatsen,,10566.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Vlaams Gewest,5309.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,1025.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Waals Gewest,4524.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Buitenland,16.0
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,Onbekend,
Totaal,Handelsvereniging in deelneming of tijdelijke handelsvereniging,2021,Alle plaatsen,,10874.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Vlaams Gewest,3.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Brussels Hoofdstedelijk Gewest,5.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Waals Gewest,2.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Buitenland,15901.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,Onbekend,1.0
Totaal,Handelsvennootschap van buitenlands recht,2021,Alle plaatsen,,15912.0
