Gewest,Provincie,Arrondissement,Jaar,Rubrieken niveau 1,Totale oppervlakte
Vlaams Gewest,Provincie Antwerpen,,2020,totaal onbebouwde percelen  (1TOT),196346.057
Vlaams Gewest,Provincie Antwerpen,,2020,totaal bebouwde percelen  (2TOT),65506.211
Vlaams Gewest,Provincie Antwerpen,,2020,niet genormaliseerde percelen  (3TOT),
Vlaams Gewest,Provincie Antwerpen,,2020,gekadastreerde oppervlakte  (4TOT),261852.268
Vlaams Gewest,Provincie Antwerpen,,2020,niet gekadastreerde oppervlakte  (5TOT),25759.691
Vlaams Gewest,Provincie Antwerpen,,2020,totale oppervlakte  (6TOT),287611.959
Vlaams Gewest,Provincie Vlaams-Brabant,,2020,totaal onbebouwde percelen  (1TOT),154216.804
Vlaams Gewest,Provincie Vlaams-Brabant,,2020,totaal bebouwde percelen  (2TOT),43225.815
Vlaams Gewest,Provincie Vlaams-Brabant,,2020,niet genormaliseerde percelen  (3TOT),
Vlaams Gewest,Provincie Vlaams-Brabant,,2020,gekadastreerde oppervlakte  (4TOT),197442.618
Vlaams Gewest,Provincie Vlaams-Brabant,,2020,niet gekadastreerde oppervlakte  (5TOT),14393.38
Vlaams Gewest,Provincie Vlaams-Brabant,,2020,totale oppervlakte  (6TOT),211835.999
Vlaams Gewest,Provincie West-Vlaanderen,,2020,totaal onbebouwde percelen  (1TOT),238420.585
Vlaams Gewest,Provincie West-Vlaanderen,,2020,totaal bebouwde percelen  (2TOT),56222.581
Vlaams Gewest,Provincie West-Vlaanderen,,2020,niet genormaliseerde percelen  (3TOT),
Vlaams Gewest,Provincie West-Vlaanderen,,2020,gekadastreerde oppervlakte  (4TOT),294643.166
Vlaams Gewest,Provincie West-Vlaanderen,,2020,niet gekadastreerde oppervlakte  (5TOT),25014.409
Vlaams Gewest,Provincie West-Vlaanderen,,2020,totale oppervlakte  (6TOT),319657.576
Vlaams Gewest,Provincie Oost-Vlaanderen,,2020,totaal onbebouwde percelen  (1TOT),216582.942
Vlaams Gewest,Provincie Oost-Vlaanderen,,2020,totaal bebouwde percelen  (2TOT),59671.277
Vlaams Gewest,Provincie Oost-Vlaanderen,,2020,niet genormaliseerde percelen  (3TOT),
Vlaams Gewest,Provincie Oost-Vlaanderen,,2020,gekadastreerde oppervlakte  (4TOT),276254.219
Vlaams Gewest,Provincie Oost-Vlaanderen,,2020,niet gekadastreerde oppervlakte  (5TOT),24452.175
Vlaams Gewest,Provincie Oost-Vlaanderen,,2020,totale oppervlakte  (6TOT),300706.395
Vlaams Gewest,Provincie Limburg,,2020,totaal onbebouwde percelen  (1TOT),183756.964
Vlaams Gewest,Provincie Limburg,,2020,totaal bebouwde percelen  (2TOT),41960.701
Vlaams Gewest,Provincie Limburg,,2020,niet genormaliseerde percelen  (3TOT),
Vlaams Gewest,Provincie Limburg,,2020,gekadastreerde oppervlakte  (4TOT),225717.665
Vlaams Gewest,Provincie Limburg,,2020,niet gekadastreerde oppervlakte  (5TOT),17024.803
Vlaams Gewest,Provincie Limburg,,2020,totale oppervlakte  (6TOT),242742.468
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,2020,totaal onbebouwde percelen  (1TOT),5127.48
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,2020,totaal bebouwde percelen  (2TOT),7751.89
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,2020,niet genormaliseerde percelen  (3TOT),
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,2020,gekadastreerde oppervlakte  (4TOT),12879.369
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,2020,niet gekadastreerde oppervlakte  (5TOT),3362.615
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,2020,totale oppervlakte  (6TOT),16241.984
Waals Gewest,Provincie Waals-Brabant,,2020,totaal onbebouwde percelen  (1TOT),86088.748
Waals Gewest,Provincie Waals-Brabant,,2020,totaal bebouwde percelen  (2TOT),17501.598
Waals Gewest,Provincie Waals-Brabant,,2020,niet genormaliseerde percelen  (3TOT),
Waals Gewest,Provincie Waals-Brabant,,2020,gekadastreerde oppervlakte  (4TOT),103590.346
Waals Gewest,Provincie Waals-Brabant,,2020,niet gekadastreerde oppervlakte  (5TOT),6128.096
Waals Gewest,Provincie Waals-Brabant,,2020,totale oppervlakte  (6TOT),109718.442
Waals Gewest,Provincie Henegouwen,,2020,totaal onbebouwde percelen  (1TOT),310266.64
Waals Gewest,Provincie Henegouwen,,2020,totaal bebouwde percelen  (2TOT),46660.857
Waals Gewest,Provincie Henegouwen,,2020,niet genormaliseerde percelen  (3TOT),
Waals Gewest,Provincie Henegouwen,,2020,gekadastreerde oppervlakte  (4TOT),356927.497
Waals Gewest,Provincie Henegouwen,,2020,niet gekadastreerde oppervlakte  (5TOT),24355.719
Waals Gewest,Provincie Henegouwen,,2020,totale oppervlakte  (6TOT),381283.216
Waals Gewest,Provincie Luik,,2020,totaal onbebouwde percelen  (1TOT),324217.903
Waals Gewest,Provincie Luik,,2020,totaal bebouwde percelen  (2TOT),39349.923
Waals Gewest,Provincie Luik,,2020,niet genormaliseerde percelen  (3TOT),
Waals Gewest,Provincie Luik,,2020,gekadastreerde oppervlakte  (4TOT),363567.826
Waals Gewest,Provincie Luik,,2020,niet gekadastreerde oppervlakte  (5TOT),22142.645
Waals Gewest,Provincie Luik,,2020,totale oppervlakte  (6TOT),385710.471
Waals Gewest,Provincie Luxemburg,,2020,totaal onbebouwde percelen  (1TOT),410137.121
Waals Gewest,Provincie Luxemburg,,2020,totaal bebouwde percelen  (2TOT),16778.543
Waals Gewest,Provincie Luxemburg,,2020,niet genormaliseerde percelen  (3TOT),
Waals Gewest,Provincie Luxemburg,,2020,gekadastreerde oppervlakte  (4TOT),426915.665
Waals Gewest,Provincie Luxemburg,,2020,niet gekadastreerde oppervlakte  (5TOT),19010.704
Waals Gewest,Provincie Luxemburg,,2020,totale oppervlakte  (6TOT),445926.369
Waals Gewest,Provincie Namen,,2020,totaal onbebouwde percelen  (1TOT),326597.587
Waals Gewest,Provincie Namen,,2020,totaal bebouwde percelen  (2TOT),24300.969
Waals Gewest,Provincie Namen,,2020,niet genormaliseerde percelen  (3TOT),
Waals Gewest,Provincie Namen,,2020,gekadastreerde oppervlakte  (4TOT),350898.556
Waals Gewest,Provincie Namen,,2020,niet gekadastreerde oppervlakte  (5TOT),16578.232
Waals Gewest,Provincie Namen,,2020,totale oppervlakte  (6TOT),367476.788
