Geaggregeerd niveau 1,Geaggregeerd niveau 2,Jaar,Aant. actieve ondernemingen in t,Aant. werknemers in de actieve ondernemingen in t
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,B: Winning van delfstoffen,2020,0,0.0
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,C: Industrie,2020,264,13142.0
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,"D: Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2020,2,
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,E: Distributie van water/ afval- en afvalwaterbeheer en sanering,2020,17,874.0
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,F: Bouwnijverheid,2020,238,7822.0
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,G: Groot- en detailhandel/ reparatie van auto’s en motorfietsen,2020,425,15416.0
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,H: Vervoer en opslag,2020,190,12862.0
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,I: Verschaffen van accommodatie en maaltijden,2020,67,2214.0
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,J: Informatie en communicatie,2020,190,11351.0
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,L: Exploitatie van en handel in onroerend goed,2020,28,
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,M: Vrije beroepen en wetenschappelijke en technische activiteiten,2020,241,11534.0
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,N: Administratieve en ondersteunende diensten,2020,283,35275.0
B-N_S95_X_K: Industrie en marktdiensten/ Reparatie van computers en consumentenartikelen/ exclusief financiële activiteiten en verzekeringen,S95: Reparatie van computers en consumentenartikelen,2020,0,0.0
K: Financiële activiteiten en verzekeringen,"K64: Financiële dienstverlening, exclusief verzekeringen en pensioenfondsen",2020,8,
K: Financiële activiteiten en verzekeringen,"K65: Verzekeringen en pensioenfondsen, exclusief verplichte sociale verzekeringen",2020,4,
K: Financiële activiteiten en verzekeringen,K66: Ondersteunende activiteiten voor verzekeringen en pensioenfondsen,2020,37,1736.0
