totaal,Plaats van tewerkstelling niveau 1,Totaal,Leeftijdsgroep,Werkende bevolking
totaal,In het buitenland,Totaal,15 t/m 29 jaar,14169
totaal,In het buitenland,Totaal,30 t/m 49 jaar,57312
totaal,In het buitenland,Totaal,50 t/m 64 jaar,20322
totaal,In het buitenland,Totaal,65 t/m 84 jaar,488
totaal,In het buitenland,Totaal,85 jaar of ouder,5
totaal,In het buitenland,Totaal,,92296
totaal,In België,Totaal,15 t/m 29 jaar,846090
totaal,In België,Totaal,30 t/m 49 jaar,2348567
totaal,In België,Totaal,50 t/m 64 jaar,1101451
totaal,In België,Totaal,65 t/m 84 jaar,43929
totaal,In België,Totaal,85 jaar of ouder,638
totaal,In België,Totaal,,4340675
totaal,,Totaal,15 t/m 29 jaar,860259
totaal,,Totaal,30 t/m 49 jaar,2405879
totaal,,Totaal,50 t/m 64 jaar,1121773
totaal,,Totaal,65 t/m 84 jaar,44417
totaal,,Totaal,85 jaar of ouder,643
totaal,,Totaal,,4432971
