België,Gewest,Provincie,Arrondissement,Gemeente,Aantal particuliere huishoudens
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Antwerpen,232734
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Gent,117371
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Luik,103060
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Charleroi,95390
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Brussel,88841
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Schaarbeek,56354
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Brugge,52300
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Namen,50362
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Elsene,49402
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Anderlecht,48656
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Leuven,48071
België,Waals Gewest,Provincie Henegouwen,Arrondissement Bergen,Bergen,44460
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Jans-Molenbeek,38839
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Ukkel,36772
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Aalst (Aalst),36289
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Oostende,Oostende,35660
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Mechelen,34943
België,Waals Gewest,Provincie Henegouwen,Arrondissement Zinnik,La Louvière,33486
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Hasselt,33248
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Kortrijk,32612
België,Waals Gewest,Provincie Henegouwen,Arrondissement Doornik,Doornik,31452
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Sint-Niklaas (Sint-Niklaas),30674
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Seraing,30068
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Lambrechts-Woluwe,26137
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Verviers,25730
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Gillis,25467
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Genk,24785
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Roeselare,24736
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Vorst (Brussel-Hoofdstad),24550
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Etterbeek,24439
België,Waals Gewest,Provincie Henegouwen,Arrondissement Moeskroen,Moeskroen,24257
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Jette,21499
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Dendermonde,Dendermonde,19175
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Beveren (Sint-Niklaas),19067
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Turnhout,18553
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Pieters-Woluwe,18059
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Herstal,17167
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Sint-Truiden,16960
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Heist-op-den-Berg,16835
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Brugge,Knokke-Heist,16715
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Beringen,16482
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Evere,16460
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Dilbeek,16430
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Vilvoorde,16102
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Châtelet,15953
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Sint-Niklaas,Lokeren,15925
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Eigenbrakel,15722
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Geel,15651
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Ninove,15635
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brasschaat,15598
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Halle (Halle-Vilvoorde),15288
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,15104
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Lier,15001
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Oudergem,14958
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Grimbergen,14952
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Ieper,Ieper,14900
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Tienen,14615
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Maasmechelen,14566
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Mol,14515
België,Waals Gewest,Provincie Henegouwen,Arrondissement Thuin,Binche,14264
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Schoten,14059
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Menen,13906
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Waver,13830
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Geraardsbergen,13749
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Ottignies-Louvain-la-Neuve,13507
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Evergem,13432
België,Vlaams Gewest,Provincie Limburg,Arrondissement Maaseik,Lommel,13309
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Zaventem,13109
België,Waals Gewest,Provincie Henegouwen,Arrondissement Charleroi,Courcelles,12969
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Tongeren,12921
België,Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,Sint-Joost-ten-Node,12859
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Sint-Pieters-Leeuw,12770
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Wevelgem,12684
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Oudenaarde,12679
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Aarschot,12656
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Halle-Vilvoorde,Asse,12630
België,Vlaams Gewest,Provincie Limburg,Arrondissement Tongeren,Bilzen,12421
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Ans,12343
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,12259
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Deinze,12245
België,Waals Gewest,Provincie Henegouwen,Arrondissement Aat,Aat,12160
België,Waals Gewest,Provincie Waals-Brabant,Arrondissement Nijvel,Nijvel,11956
België,Vlaams Gewest,Provincie Limburg,Arrondissement Hasselt,Heusden-Zolder,11901
België,Waals Gewest,Provincie Namen,Arrondissement Namen,Sambreville,11851
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Herentals,11727
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Izegem,11665
