België,Gewest,Provincie,totaal,Aantal kamers per bewoner,Bewoonde conventionele woningen
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Minder dan 0,5 kamer per bewoner",3433
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",26670
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",38861
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",29893
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",43098
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",67010
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",28613
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,"3,0 kamers of meer per bewoner",197959
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,Niet aangegeven,52045
België,Brussels Hoofdstedelijk Gewest  ,Brussels Hoofdstedelijk Gewest  ,totaal,,487582
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Minder dan 0,5 kamer per bewoner",1004
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",13849
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",38372
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",47631
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",93372
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",111217
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",82280
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,"3,0 kamers of meer per bewoner",316892
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,Niet aangegeven,28051
België,Vlaams Gewest  ,Provincie Antwerpen,totaal,,732668
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Minder dan 0,5 kamer per bewoner",187
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",3402
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",14775
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",18649
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",47978
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",54017
België,Vlaams Gewest  ,Provincie Limburg,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",33043
België,Vlaams Gewest  ,Provincie Limburg,totaal,"3,0 kamers of meer per bewoner",154228
België,Vlaams Gewest  ,Provincie Limburg,totaal,Niet aangegeven,10539
België,Vlaams Gewest  ,Provincie Limburg,totaal,,336818
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Minder dan 0,5 kamer per bewoner",473
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Van 0,5 tot minder dan 1,0 kamer per bewoner",8327
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Van 1,0 tot minder dan 1,25 kamer per bewoner",28991
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Van 1,25 tot minder dan 1,5 kamer per bewoner",37524
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Van 1,5 tot minder dan 2,0 kamers per bewoner",80290
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Van 2,0 tot minder dan 2,5 kamers per bewoner",90773
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"Van 2,5 tot minder dan 3,0 kamers per bewoner",68354
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,"3,0 kamers of meer per bewoner",271750
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,Niet aangegeven,20663
België,Vlaams Gewest  ,Provincie Oost-Vlaanderen,totaal,,607145
