België,Gewest,Jaar,Maand,Oprichtingsgraad
België,Waals Gewest,2020,maart,0.005
België,Waals Gewest,2020,april,0.006
België,Waals Gewest,2020,mei,0.005
België,Waals Gewest,2020,juni,0.005
België,Waals Gewest,2020,juli,0.012
België,Waals Gewest,2020,augustus,0.007
België,Waals Gewest,2020,september,0.006
België,Waals Gewest,2020,oktober,0.014
België,Waals Gewest,2020,november,0.006
België,Waals Gewest,2020,december,0.005
België,Waals Gewest,2021,januari,
België,Waals Gewest,2021,februari,
België,Vlaams Gewest,2020,maart,0.007
België,Vlaams Gewest,2020,april,0.008
België,Vlaams Gewest,2020,mei,0.006
België,Vlaams Gewest,2020,juni,0.007
België,Vlaams Gewest,2020,juli,0.013
België,Vlaams Gewest,2020,augustus,0.008
België,Vlaams Gewest,2020,september,0.008
België,Vlaams Gewest,2020,oktober,0.015
België,Vlaams Gewest,2020,november,0.008
België,Vlaams Gewest,2020,december,0.007
België,Vlaams Gewest,2021,januari,
België,Vlaams Gewest,2021,februari,
België,Brussels Hoofdstedelijk Gewest,2020,maart,0.007
België,Brussels Hoofdstedelijk Gewest,2020,april,0.008
België,Brussels Hoofdstedelijk Gewest,2020,mei,0.006
België,Brussels Hoofdstedelijk Gewest,2020,juni,0.006
België,Brussels Hoofdstedelijk Gewest,2020,juli,0.01
België,Brussels Hoofdstedelijk Gewest,2020,augustus,0.006
België,Brussels Hoofdstedelijk Gewest,2020,september,0.007
België,Brussels Hoofdstedelijk Gewest,2020,oktober,0.013
België,Brussels Hoofdstedelijk Gewest,2020,november,0.008
België,Brussels Hoofdstedelijk Gewest,2020,december,0.007
België,Brussels Hoofdstedelijk Gewest,2021,januari,
België,Brussels Hoofdstedelijk Gewest,2021,februari,
België,,2020,maart,0.007
België,,2020,april,0.007
België,,2020,mei,0.006
België,,2020,juni,0.006
België,,2020,juli,0.012
België,,2020,augustus,0.008
België,,2020,september,0.007
België,,2020,oktober,0.014
België,,2020,november,0.007
België,,2020,december,0.006
België,,2021,januari,
België,,2021,februari,
